,parentId,authorDisplayName,replyComment,publishedAt,likeCount
80,Ugw10om8jUYbU015GPB4AaABAg,Colonel Kurtz,@Why It Matters Podcast I found you and gave you a bump. :) Good luck and let's see about a crossover show in a month.,2021-01-17T20:15:49Z,0
81,Ugw10om8jUYbU015GPB4AaABAg,Why It Matters Podcast,"I’m not sure how to post a link here, but my Twitter is @WhyItMattersYT.

Thank you as well, I’d love to follow and retweet your video as well",2021-01-17T19:44:49Z,1
82,UgyPTSuCbw-KHpSQKMN4AaABAg,Why It Matters Podcast,I’ll check those out too! :),2021-02-18T12:57:11Z,0
83,UgyPTSuCbw-KHpSQKMN4AaABAg,Leo Whippet-Johnson,"That umbrella guy and spiritually empowering coaching have some amazing videos, tug has all the audio and SEC methodically goes through all the witness statements and points out all the cock ups amber makes and all the contradictions her and the freeloader friends have in the statements, some are hilarious but still tragic for johnny",2021-02-18T12:34:20Z,0
84,UgyPTSuCbw-KHpSQKMN4AaABAg,Why It Matters Podcast,I’ll definitely check them out! 😊,2021-01-17T17:10:54Z,0
85,Ugym5DR70pBeWCyZ2tt4AaABAg,Why It Matters Podcast,"I think people are finally starting to wise up a bit, hopefully soon all these manipulators will get what they deserve and the truth can start meaning something again.",2021-01-17T17:09:37Z,0
86,Ugy5U-xXEXOoYDIdaox4AaABAg,Why It Matters Podcast,"That one is a bit extreme, but amber heard is most certainly on that crazy list!",2021-01-17T17:07:32Z,0
87,UgzwI--jxsMhgcSLCk14AaABAg,Leo Whippet-Johnson,"When she said shut up and sit down if you havent been strangled did me in, oh ok I havent been battered (I have) so I'm just gonna  ignore a liar and abuser trying to lord the moral ground, get your arse back on the pole lady!",2021-02-18T12:31:15Z,0
88,UgzwI--jxsMhgcSLCk14AaABAg,Why It Matters Podcast,👍🏻 I can’t believe amber even had the nerve to say petitions don’t do anything so stop complaining. She’s just beyond words sometimes,2021-01-16T23:34:44Z,3
89,UgzOvRaRnjs-dWV29e14AaABAg,Why It Matters Podcast,Thank you so much! 😊,2021-01-16T16:12:46Z,0
90,Ugwnjzeowwi2DwK8Wbt4AaABAg,Why It Matters Podcast,And demented lol,2021-01-16T06:18:25Z,4
91,Ugwzv_QwMOhWLIsQoa14AaABAg,Why It Matters Podcast,"I’m hoping too! She would kill it in that roll, and it would be a in the near future to hear amber heard gets blacklisted from Hollywood. A man can dream right?",2021-01-16T05:38:47Z,4
92,UgwXTR2J0_QLrdAzvnh4AaABAg,Why It Matters Podcast,"If she doesn’t face criminal charges, we all need to still speak up and talk about these issues. And let Hollywood know with our wallets by boycotting her movies",2021-01-16T03:59:52Z,1
93,UgzB0R1VLJ_n8gwjwHF4AaABAg,Cat Meissner,@humility1st ✨meow💜,2021-03-05T00:48:13Z,1
94,UgzB0R1VLJ_n8gwjwHF4AaABAg,humility1st,Very!  Hi Cat happy meow,2021-03-05T00:45:49Z,1
95,UgwW1V8-zDBMGAfev5N4AaABAg,Why It Matters Podcast,Always! 👍🏻,2021-01-16T03:56:13Z,2
96,Ugwu7KNlZeYckhe6iXZ4AaABAg,Ray Karena,"@Why It Matters Podcast 

The amount of dishonesty on turdy's 💩💩💩 behalf and the mainstream media  narrative against J.D is ridiculous...",2021-01-16T06:47:31Z,6
97,Ugwu7KNlZeYckhe6iXZ4AaABAg,Why It Matters Podcast,The amount of ridiculousness that has gone on through this whole thing is beyond insane!,2021-01-16T02:33:04Z,10
98,UgymNrBNmelBuJ5X3fh4AaABAg,Why It Matters Podcast,Blunt but well put lol,2021-01-16T02:13:52Z,0
99,UgxIT_HtXKceB4JPLeB4AaABAg,Why It Matters Podcast,Absolutely!,2021-01-15T20:44:44Z,0
100,Ugxfo_SNDL1u-HVbnSp4AaABAg,Why It Matters Podcast,"I’m sure I’ll be making more videos on her just because there’s so much to talk about like the donations, and thank you for taking time out to comment and show support for Johnny as well!",2021-01-15T20:21:19Z,6
101,Ugx3jXVCyrHvo-lh5v54AaABAg,Shirley Hosteen,"Wo men  are not happy either way, cry 😭 about it self ☠️",2021-05-25T14:12:34Z,1
102,Ugx3jXVCyrHvo-lh5v54AaABAg,John Wick,"@Why It Matters Podcast right the media would lose interest if a famous liar is exposed, the next me too story would instantly be either disinterest or skepticism and eventually total tuned out audience.. her exposure has already happened. What’s going it happen is inevitable, the best thing media can do is recognize this right away and act like they’re shocked",2021-02-24T09:32:42Z,2
103,Ugx3jXVCyrHvo-lh5v54AaABAg,Why It Matters Podcast,"Because the mainstream media only caters to whatever movement can get them enough traction and money. For them that’s me too movement. 

They can either boost the me too movement with the headline actress in abusive relationship speaks up. Or go with me too movement board member accused of beating her husband. Which would essentially kill any support for that group.",2021-01-15T17:46:27Z,9
104,UgwEskAvHyq_I4zxKV54AaABAg,Luke Maher,"@Why It Matters Podcast there are so many things and stories they could do with Superman. Take inspiration from all the classic storylines and give their own take on it, yet they're more focused on these other movies and spin offs that hardly any of us are asking for. If they had a studio head that loves DC comics or just comics in general, like Marvel has with Kevin Feige. The possibilities of great storytelling for not only Superman, but all the other DC heroes would be endless, even if Marvel and Disney doesn't always stick the landing with each character or movie.",2021-01-15T19:01:04Z,0
105,UgwEskAvHyq_I4zxKV54AaABAg,Why It Matters Podcast,"Totally agree, I think they chose amber just for looks. Which shouldn’t be the all factor. I mean Jason mamoa doesn’t look like the blonde aquaman we’re used to. Yet he carries it really well.

But hey you know Warner bros and DC don’t know what they’re doing when you can’t even figure out what to do with Superman. One of the greatest comic characters to ever exist.",2021-01-15T18:36:07Z,2
106,UgwEskAvHyq_I4zxKV54AaABAg,Luke Maher,"@Why It Matters Podcast Exactly! Couldn't have said it better myself. Jason and Emilia already have better chemistry on and off screen than him and Amber ever will. And aside from already being a FAR better actress with actual talent, Emilia is able to express kindness within a character, while also being able to convince us she can hold her own in a fight. Amber, even when she's playing a character who is supposed to be heroic, all we can see is how evil of a person she truly is. Emilia just oozes that role model type, like Gal does. 

I'd be surprised if there's still parents out there that allow their children to look up to Amber as Mera. She doesn't deserve to be Mera or even be allowed to act in general. Besides she doesn't even have anything of value for us to latch onto. There are far better actresses out there in terms of looks and talent. WB should give Emilia the role, but we all know that'd be smart and wise decision, which WB sadly isn't good at making, at least at this moment.",2021-01-15T18:15:02Z,3
107,UgwEskAvHyq_I4zxKV54AaABAg,Why It Matters Podcast,"If it was up to me, I would cast Emilia Clarke instead. Let the character be in the hands of someone who has a good personality and can be a roll model for kids. 

And then when the character becomes very popular, amber heard will have to just watch all the success that she won’t be apart of.",2021-01-15T17:42:00Z,9
108,Ugyb4GfR1nH-RAONFqJ4AaABAg,Why It Matters Podcast,I’m just still stunned at the fact she’s still not in prison. Really shows the equality between men and women these days. Even though if this situation was reversed Johnny Depp would most certainly be in huge trouble.,2021-01-14T11:27:12Z,0
