,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwsbiD6s9thkizoYYp4AaABAg,Rock Candy,he's unlikely to find anyone worse...but i really hope he can heal and fully move on,2021-06-23T10:28:35Z,0
1,UgwsbiD6s9thkizoYYp4AaABAg,Pedro Gallegos,"Just DON'T marry a
Western  American woman. 
& Any man will be fine..",2021-06-05T16:19:43Z,0
2,UgwWWnl7MkV1HLYlJ1p4AaABAg,Starlit Sky,@My self She wasn't talking to us.... lol,2021-06-03T14:28:49Z,1
3,UgwWWnl7MkV1HLYlJ1p4AaABAg,My self,Yet here you are..... 🙄,2021-06-03T13:57:19Z,4
4,UgwWWnl7MkV1HLYlJ1p4AaABAg,honey pink betta ,@Starlit Sky was not talking to you thanks,2021-06-02T22:03:15Z,1
5,UgwWWnl7MkV1HLYlJ1p4AaABAg,Starlit Sky,Just stop watching!!,2021-06-02T21:20:56Z,3
6,UgxN58YX2hCXm7Zyqr94AaABAg,Talula Dahlin’,I agree with you. I find myself watching 2 minutes and then leaving because I’ve heard it before.,2021-06-03T14:19:43Z,0
7,UgxN58YX2hCXm7Zyqr94AaABAg,British Fandom Gurl,Don't watch then. Simple,2021-06-02T20:15:27Z,3
