kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.defaultAudioLanguage,snippet.defaultLanguage
youtube#video,4ypsJ1Jw1-N94t54xzhsMLWlrl0,-pyLOhO5ZgU,2020-07-16T21:37:46Z,UC76Ox8Kmn2RGXdm8A1EJoPQ,Amber Heard accused of taking survivors sexual assault story and using it for herself! Pure Evil!,"If these allegations are true, then Amber Heard is a very evil individual that needs to be held accountable for her actions. And I'm talkin at least one decade or more of prison time.",https://i.ytimg.com/vi/-pyLOhO5ZgU/default.jpg,120,90,https://i.ytimg.com/vi/-pyLOhO5ZgU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-pyLOhO5ZgU/hqdefault.jpg,480,360,Orange Hat Reviews,"['Me Too', '#MeToo', 'Amber Heard', 'Johnny Depp', 'False Accusations']",24,none,Amber Heard accused of taking survivors sexual assault story and using it for herself! Pure Evil!,"If these allegations are true, then Amber Heard is a very evil individual that needs to be held accountable for her actions. And I'm talkin at least one decade or more of prison time.",PT4M16S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,120,11,0,3,,,,,,,,
youtube#video,1WSUiSSZ1jqgkFLszu0qCYjnU30,0adv_NRnGO8,2021-03-25T22:09:23Z,UCgvSv4X_fb6fbZQR6kqTyWQ,10 Times Johnny Depp tried to WARN us ABOUT Amber Heard,"In the beginning everybody believed Amber Heard's accusations against Johnny Depp, however in this video we reveal 10 times Johnny Depp tried to warn us about Amber Heard.

Currently Amber Heard is under a ton of critique and is getting an enormous amount of hate due to her alleged lies on what really happened between her and her ex husband Johnny Depp.

Make sure to let us know what you think in the comments and subscribe to stay updated on everything happening in the celeb world. 

Stay safe, much love!

Subscribe to our Instagram to stay up to date on the run:
Instagram: https://www.instagram.com/celebrity23insider/

Subscribe to Celebrity Insider on YouTube to get the newst stories about the famous and for the funniest, most exciting and bizarre facts about their past.",https://i.ytimg.com/vi/0adv_NRnGO8/default.jpg,120,90,https://i.ytimg.com/vi/0adv_NRnGO8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0adv_NRnGO8/hqdefault.jpg,480,360,Celebrity Insider,"['johnny depp', 'johnny depp interview', 'johnny depp news', 'depp', 'celebrity news', 'depp heard', 'johnny depp wins', 'johnny depp fired', 'celebrities', 'johnny depp amber heard', 'amber heard johnny depp', 'johnny depp loses case', 'hollywood', 'johnny depp trial', 'johnny depp audio', 'hollywood life', 'pirates of the caribbean', 'johnny depp and amber heard', 'johnny depp amber heard audio', 'amber heard', 'johnny depp amber heard court', 'hollywood fix', 'celebrity insider', 'celeb news']",22,none,10 Times Johnny Depp tried to WARN us ABOUT Amber Heard,"In the beginning everybody believed Amber Heard's accusations against Johnny Depp, however in this video we reveal 10 times Johnny Depp tried to warn us about Amber Heard.

Currently Amber Heard is under a ton of critique and is getting an enormous amount of hate due to her alleged lies on what really happened between her and her ex husband Johnny Depp.

Make sure to let us know what you think in the comments and subscribe to stay updated on everything happening in the celeb world. 

Stay safe, much love!

Subscribe to our Instagram to stay up to date on the run:
Instagram: https://www.instagram.com/celebrity23insider/

Subscribe to Celebrity Insider on YouTube to get the newst stories about the famous and for the funniest, most exciting and bizarre facts about their past.",PT11M42S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,579,37,0,10,https://i.ytimg.com/vi/0adv_NRnGO8/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/0adv_NRnGO8/maxresdefault.jpg,1280.0,720.0,,
youtube#video,reDimP3v_IyLl3npreivqXlK810,4slLCSFsDqo,2020-03-13T10:55:20Z,UCF1k9s39byJPyHxi9zAWvZw,Dailymail's Amber Heard & Johnny Depp Audios [PART 4],"This video/audio is provided by Dailymail.co.uk, I do not own it.",https://i.ytimg.com/vi/4slLCSFsDqo/default.jpg,120,90,https://i.ytimg.com/vi/4slLCSFsDqo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4slLCSFsDqo/hqdefault.jpg,480,360,Bjornikof,,25,none,Dailymail's Amber Heard & Johnny Depp Audios [PART 4],"This video/audio is provided by Dailymail.co.uk, I do not own it.",PT2M14S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,96,0,0,1,https://i.ytimg.com/vi/4slLCSFsDqo/sddefault.jpg,640.0,480.0,,,,,
youtube#video,oO9mEU3h-7x8U1E5uameA9j1O2w,5SClPhvoOHE,2017-11-30T10:33:46Z,UCdt-HsC0P6JO-YQUp9yAnyA,'Fantastic Beasts' director David Yates defends Johnny Depp despite Amber Heard’s abuse accusations,"'Fantastic Beasts' director David Yates defends keeping Johnny Depp despite Amber Heard’s abuse accusations

Johnny Depp appears at the end of Fantastic Beasts and Where to Find Them as the villainous Grindelwald, and will have a larger role in the sequel, an unsettling prospect for many considering the domestic abuse allegations leveled against him by his ex-wife Amber Heard. The two reached a settlement after her suit, and issued a statement that read “our relationship was intensely passionate and at times volatile, but always bound by love. Neither party has made false accusations for financial gains.” Despite a Hollywood climate that has recently cracked down on abusive men in power such as Harvey Weinstein, director David Yates told Entertainment Weekly that he has no concerns about working with Depp. “Honestly, there’s an issue at the moment where there’s a lot of people being accused of things, they’re being accused by multiple victims, and it’s compelling and frightening,” Yates said. “With Johnny, it seems to me there was one person who took a pop at him and claimed something. I can only tell you about the man I see every day: He’s full of decency and kindness, and that’s all I see. Whatever accusation was out there doesn’t tally with the kind of human being I’ve been working with.”


Yates also noted that Depp’s exes, including Winona Ryder, have spoken positively of him. “By testament, some of the women in [Depp’s] life have said the same thing — ‘that’s not the human being we know,’” Yates said. “It’s very different [than cases] where there are multiple accusers over many years that need to be examined and we need to reflect on our industry that allows that to roll on year in and year out. Johnny isn’t in that category in any shape or form. So to me, it doesn’t bear any more analysis. It’s a dead issue.”",https://i.ytimg.com/vi/5SClPhvoOHE/default.jpg,120,90,https://i.ytimg.com/vi/5SClPhvoOHE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5SClPhvoOHE/hqdefault.jpg,480,360,love tv,"[""'Fantastic Beasts' director David Yates defends Johnny Depp despite Amber Heard’s abuse accusations""]",22,none,'Fantastic Beasts' director David Yates defends Johnny Depp despite Amber Heard’s abuse accusations,"'Fantastic Beasts' director David Yates defends keeping Johnny Depp despite Amber Heard’s abuse accusations

Johnny Depp appears at the end of Fantastic Beasts and Where to Find Them as the villainous Grindelwald, and will have a larger role in the sequel, an unsettling prospect for many considering the domestic abuse allegations leveled against him by his ex-wife Amber Heard. The two reached a settlement after her suit, and issued a statement that read “our relationship was intensely passionate and at times volatile, but always bound by love. Neither party has made false accusations for financial gains.” Despite a Hollywood climate that has recently cracked down on abusive men in power such as Harvey Weinstein, director David Yates told Entertainment Weekly that he has no concerns about working with Depp. “Honestly, there’s an issue at the moment where there’s a lot of people being accused of things, they’re being accused by multiple victims, and it’s compelling and frightening,” Yates said. “With Johnny, it seems to me there was one person who took a pop at him and claimed something. I can only tell you about the man I see every day: He’s full of decency and kindness, and that’s all I see. Whatever accusation was out there doesn’t tally with the kind of human being I’ve been working with.”


Yates also noted that Depp’s exes, including Winona Ryder, have spoken positively of him. “By testament, some of the women in [Depp’s] life have said the same thing — ‘that’s not the human being we know,’” Yates said. “It’s very different [than cases] where there are multiple accusers over many years that need to be examined and we need to reflect on our industry that allows that to roll on year in and year out. Johnny isn’t in that category in any shape or form. So to me, it doesn’t bear any more analysis. It’s a dead issue.”",PT1M35S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,39,0,0,0,https://i.ytimg.com/vi/5SClPhvoOHE/sddefault.jpg,640.0,480.0,,,,en-GB,
youtube#video,dEY7rSeMuUHGbl8Ml_SMfAYmQ_I,8BCcI0mE66s,2021-04-05T13:00:02Z,UCfzvM8Wy5Y34jrxXKmq69Dg,Why Amber Heard Will NEVER Cast in a Hollywood Movie Again!,"Why Amber Heard Will NEVER Cast in a Hollywood Movie Again!

When Amber Heard alleged that she was not to blame at the hands of her ex-husband actor Johnny Depp his career took a dive. Regardless of the lack of evidence, the media chose to believe Heard and the biggest film studios followed suit. This led to Johnny Depp losing some of his biggest roles. However, the tables have turned and now Amber Heard is finding that her career as an A-list Hollywood actress might be over. 

The allegations first surfaced in 2016, when the #MeToo and #BelieveAllWomen movements were fresh on the minds of the Hollywood press and film producers. So, when Amber Heard came forth with a black eye and accused her, then, husband Johnny Depp of physically abusing her the Hollywood press and film industry took her side without questioning it. Be sure to watch the whole video and in addition, do us a favor and like the video and subscribe and turn on the notification bell. We’ll see you in the next video!

#AmberHeard
#JohnnyDepp
#AmberHeardCareer

Related Videos:

Amber Heard Officially FIRED From Aquaman 2 Role! (REACTIONS)
https://www.youtube.com/watch?v=QBCEXSVjBrM

10 Celebrities Who Defended Johnny Depp Against Amber Heard...
https://www.youtube.com/watch?v=74bDLtT6Khw

Amber Heard Faces 10 Years In Prison For Accusations Against Johnny Depp!!!
https://www.youtube.com/watch?v=UvsHWTGHmts

Celebrities Who Defended Amber Heard
https://www.youtube.com/watch?v=52K_6mnTYF4

MORE Celebrities Who Defended Johnny Depp Against Amber Heard!!!
https://www.youtube.com/watch?v=TzqAslwfhig

I do not take any ownership of the music displayed in this video. Ownership belongs to the respected owner(s). Used under fair use policy.* Music used for entertainment purposes displayed in this video. Ownership belongs to the respected owner(s). Used under fair use policy.* Music used for entertainment purposes only.",https://i.ytimg.com/vi/8BCcI0mE66s/default.jpg,120,90,https://i.ytimg.com/vi/8BCcI0mE66s/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8BCcI0mE66s/hqdefault.jpg,480,360,Celeb Happened,"['amber heard', 'amber heard johnny depp', 'johnny depp amber heard', 'johnny depp', 'jhonny depp']",24,none,Why Amber Heard Will NEVER Cast in a Hollywood Movie Again!,"Why Amber Heard Will NEVER Cast in a Hollywood Movie Again!

When Amber Heard alleged that she was not to blame at the hands of her ex-husband actor Johnny Depp his career took a dive. Regardless of the lack of evidence, the media chose to believe Heard and the biggest film studios followed suit. This led to Johnny Depp losing some of his biggest roles. However, the tables have turned and now Amber Heard is finding that her career as an A-list Hollywood actress might be over. 

The allegations first surfaced in 2016, when the #MeToo and #BelieveAllWomen movements were fresh on the minds of the Hollywood press and film producers. So, when Amber Heard came forth with a black eye and accused her, then, husband Johnny Depp of physically abusing her the Hollywood press and film industry took her side without questioning it. Be sure to watch the whole video and in addition, do us a favor and like the video and subscribe and turn on the notification bell. We’ll see you in the next video!

#AmberHeard
#JohnnyDepp
#AmberHeardCareer

Related Videos:

Amber Heard Officially FIRED From Aquaman 2 Role! (REACTIONS)
https://www.youtube.com/watch?v=QBCEXSVjBrM

10 Celebrities Who Defended Johnny Depp Against Amber Heard...
https://www.youtube.com/watch?v=74bDLtT6Khw

Amber Heard Faces 10 Years In Prison For Accusations Against Johnny Depp!!!
https://www.youtube.com/watch?v=UvsHWTGHmts

Celebrities Who Defended Amber Heard
https://www.youtube.com/watch?v=52K_6mnTYF4

MORE Celebrities Who Defended Johnny Depp Against Amber Heard!!!
https://www.youtube.com/watch?v=TzqAslwfhig

I do not take any ownership of the music displayed in this video. Ownership belongs to the respected owner(s). Used under fair use policy.* Music used for entertainment purposes displayed in this video. Ownership belongs to the respected owner(s). Used under fair use policy.* Music used for entertainment purposes only.",PT8M5S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,79,5,0,0,https://i.ytimg.com/vi/8BCcI0mE66s/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/8BCcI0mE66s/maxresdefault.jpg,1280.0,720.0,,
youtube#video,n552pdXHOsaTT94Ej65tjoQXYOg,aOrS2KQJUDw,2015-12-09T20:44:45Z,UC_eo3zUCP3UFwMvBjnGf5Kg,Amber Heard plaide non coupable aux accusations d'import illégal de chiens en Australie,"Amber Heard plaide non coupable aux accusations d'import illégal de chiens en Australie. Si elle est déclarée coupable, elle pourrait faire face à 10 ans de prison et une amende de 75 000 dollars.",https://i.ytimg.com/vi/aOrS2KQJUDw/default.jpg,120,90,https://i.ytimg.com/vi/aOrS2KQJUDw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/aOrS2KQJUDw/hqdefault.jpg,480,360,Splash News TV French,"['Amber Heard', 'illégal', 'chien', 'prison', 'célébrité', 'star', 'people', 'Splash News', 'accusation', 'import', 'importation', 'Johnny Depp']",24,none,Amber Heard plaide non coupable aux accusations d'import illégal de chiens en Australie,"Amber Heard plaide non coupable aux accusations d'import illégal de chiens en Australie. Si elle est déclarée coupable, elle pourrait faire face à 10 ans de prison et une amende de 75 000 dollars.",PT59S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,517,5,0,0,https://i.ytimg.com/vi/aOrS2KQJUDw/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/aOrS2KQJUDw/maxresdefault.jpg,1280.0,720.0,fr,
youtube#video,ifjPXyJiekK13TUij_tIlxKQ7cA,BQzrySn1M3k,2015-12-16T18:06:28Z,UC_eo3zUCP3UFwMvBjnGf5Kg,Amber Heard devra faire face aux accusations de contrebande,"Amber Heard va devoir être présente à son procès pour contrebande en Australie, qui va commencer le 18 avril 2016.",https://i.ytimg.com/vi/BQzrySn1M3k/default.jpg,120,90,https://i.ytimg.com/vi/BQzrySn1M3k/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BQzrySn1M3k/hqdefault.jpg,480,360,Splash News TV French,"['Amber Heard', 'Australie', 'contrebande', 'accusation', 'guerre des terriers', 'johnny depp', 'célébrité', 'star', 'people', 'terrier', 'Johnny Depp', 'Splash News', 'BBC']",24,none,Amber Heard devra faire face aux accusations de contrebande,"Amber Heard va devoir être présente à son procès pour contrebande en Australie, qui va commencer le 18 avril 2016.",PT55S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,664,9,0,0,https://i.ytimg.com/vi/BQzrySn1M3k/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/BQzrySn1M3k/maxresdefault.jpg,1280.0,720.0,fr,
youtube#video,Sn3ub3bUF3zf-xz8Y3_vUcGIqqA,c4Zb6Y3ScvM,2019-04-16T08:14:45Z,UCVBZ7bN9BPx3LkMkWSMQL1g,Les nouvelles accusations de violences d’Amber Heard à l’encontre de Johnny Depp,"Deux ans après leur divorce, et alors que Johnny Depp porte plainte pour diffamation après les déclarations d'Amber Heard soutenant qu'il la battait, de nouvelles preuves fournies par l'actrice risquent de mettre à mal pour un temps la carrière du Pirate des Caraïbes. 
Source: http://www.gala.fr/l_actu/news_de_stars/les-nouvelles-accusations-de-violences-damber-heard-a-lencontre-de-johnny-depp-risquent-de-le-mettre-dans-de-sales-draps_428360 
Subscribe: https://goo.gl/N5Xus5",https://i.ytimg.com/vi/c4Zb6Y3ScvM/default.jpg,120,90,https://i.ytimg.com/vi/c4Zb6Y3ScvM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/c4Zb6Y3ScvM/hqdefault.jpg,480,360,Celebrity News,"['Affaire Heard/Depp', 'divorce', 'couple', 'violences conjugales', 'Hollywood', 'procès', 'rupture', 'accusations', 'argent', 'Cinéma', 'séparation', 'violences', 'dispute', 'Plainte', 'révélations', 'Johnny Depp', 'Amber Heard']",24,none,Les nouvelles accusations de violences d’Amber Heard à l’encontre de Johnny Depp,"Deux ans après leur divorce, et alors que Johnny Depp porte plainte pour diffamation après les déclarations d'Amber Heard soutenant qu'il la battait, de nouvelles preuves fournies par l'actrice risquent de mettre à mal pour un temps la carrière du Pirate des Caraïbes. 
Source: http://www.gala.fr/l_actu/news_de_stars/les-nouvelles-accusations-de-violences-damber-heard-a-lencontre-de-johnny-depp-risquent-de-le-mettre-dans-de-sales-draps_428360 
Subscribe: https://goo.gl/N5Xus5",PT5M50S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,21,0,0,0,https://i.ytimg.com/vi/c4Zb6Y3ScvM/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/c4Zb6Y3ScvM/maxresdefault.jpg,1280.0,720.0,fr,
youtube#video,8-GG95Z2ojVV9fGiMZk9ArDUmx4,DJNe4rgWjS4,2020-10-25T15:14:06Z,UCeooMl4PFAM9kLPHvavt2KQ,Johnny Depp Hits 7 MILLION Followers on Instagram and Amber Heard Accused of Stalking Him!,Johnny Depp Hits 7 MILLION Followers on Instagram and Amber Heard Accused of Stalking Him!,https://i.ytimg.com/vi/DJNe4rgWjS4/default.jpg,120,90,https://i.ytimg.com/vi/DJNe4rgWjS4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/DJNe4rgWjS4/hqdefault.jpg,480,360,eHacker,"['amber heard vs johnny depp', 'johnny depp', 'justice for johnny depp', 'amber heard and johnny depp', 'johnny depp and amber heard', 'amber heard', 'amber heard instagram', 'amber heard twitter', 'amber heard vs megan fox', 'amber heard abuses johnny depp', 'amber heard elon musk', 'johnny depp vs the sun', '#justiceforjohnnydepp', 'johnny depp vs amber heard', 'amber heard audio', 'johnny depp amber heard audio']",24,none,Johnny Depp Hits 7 MILLION Followers on Instagram and Amber Heard Accused of Stalking Him!,Johnny Depp Hits 7 MILLION Followers on Instagram and Amber Heard Accused of Stalking Him!,PT6M55S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,5313,572,0,219,https://i.ytimg.com/vi/DJNe4rgWjS4/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/DJNe4rgWjS4/maxresdefault.jpg,1280.0,720.0,,
youtube#video,tzL5OCeC7ArCXYfoC8csN-6jaeY,e0Qry9i4wZA,2019-03-05T06:29:04Z,UCVBZ7bN9BPx3LkMkWSMQL1g,Amber Heard répond aux accusations d’infidélité de Johnny Depp et contre attaque,"Accusations de violences conjugales, de tromperies… Depuis leur divorce houleux, Johnny Depp et Amber Heard n'en finissent plus de se déchirer. Une guerre qui vient de connaître un nouvel épisode. Poursuivie en justice par l'acteur, son ex-femme n'a pas tardé à lui répondre. 
Source: http://www.gala.fr/l_actu/news_de_stars/amber-heard-repond-aux-accusations-dinfidelite-de-johnny-depp-et-contre-attaque_426530 
Subscribe: https://goo.gl/N5Xus5",https://i.ytimg.com/vi/e0Qry9i4wZA/default.jpg,120,90,https://i.ytimg.com/vi/e0Qry9i4wZA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/e0Qry9i4wZA/hqdefault.jpg,480,360,Celebrity News,"['divorce', 'Affaire Heard/Depp', 'couple', 'violences conjugales', 'Hollywood', 'accusations', 'procès', 'séparation', 'Amber Heard', 'Johnny Depp']",24,none,Amber Heard répond aux accusations d’infidélité de Johnny Depp et contre attaque,"Accusations de violences conjugales, de tromperies… Depuis leur divorce houleux, Johnny Depp et Amber Heard n'en finissent plus de se déchirer. Une guerre qui vient de connaître un nouvel épisode. Poursuivie en justice par l'acteur, son ex-femme n'a pas tardé à lui répondre. 
Source: http://www.gala.fr/l_actu/news_de_stars/amber-heard-repond-aux-accusations-dinfidelite-de-johnny-depp-et-contre-attaque_426530 
Subscribe: https://goo.gl/N5Xus5",PT3M59S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,247,1,0,0,https://i.ytimg.com/vi/e0Qry9i4wZA/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/e0Qry9i4wZA/maxresdefault.jpg,1280.0,720.0,fr,
