kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount
youtube#video,REoonwekRco1cKQH8UQQYM1hbVM,QxxCHS7hZGY,2015-09-16T06:40:18Z,UCl27JBW8mJuic4CIM4Z-n9Q,Danish Girl TIFF 2015 premiere - Eddie Redmayne Alicia Vikander Amber Heard Video 3,,https://i.ytimg.com/vi/QxxCHS7hZGY/default.jpg,120,90,https://i.ytimg.com/vi/QxxCHS7hZGY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/QxxCHS7hZGY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/QxxCHS7hZGY/sddefault.jpg,640,480,https://i.ytimg.com/vi/QxxCHS7hZGY/maxresdefault.jpg,1280.0,720.0,cybermelli,24,none,Danish Girl TIFF 2015 premiere - Eddie Redmayne Alicia Vikander Amber Heard Video 3,,PT4M7S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,3288,19,0,12
youtube#video,W3hAXzBl4hQogQnCbXmW4W3KAN0,t1ga1lQE_6k,2021-06-25T16:39:57Z,UCHEG6fQZtKBf-pzCuzG01Hg,"The Murder Of A Batterer, One Example and Why It Happened (Amber Heard Playlist!!)",https://www.cnn.com/2021/06/25/europe/valerie-bacot-trial-verdict-cmd-intl/index.html,https://i.ytimg.com/vi/t1ga1lQE_6k/default.jpg,120,90,https://i.ytimg.com/vi/t1ga1lQE_6k/mqdefault.jpg,320,180,https://i.ytimg.com/vi/t1ga1lQE_6k/hqdefault.jpg,480,360,https://i.ytimg.com/vi/t1ga1lQE_6k/sddefault.jpg,640,480,,,,Asshats Love Johnny Depp!! Johnny Depp Es Racista!!,1,none,"The Murder Of A Batterer, One Example and Why It Happened (Amber Heard Playlist!!)",https://www.cnn.com/2021/06/25/europe/valerie-bacot-trial-verdict-cmd-intl/index.html,PT11M1S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,1,,0,
