kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height
youtube#video,Gcnx1FQrosG368jHhH8f7hoyWw4,3yVzbb0O_aE,2020-03-12T23:16:57Z,UC8AGq7bm-x4teGcvQonvnPw,New Court Papers Reveal Amber Heard Used Children as PROPS to Impress Johnny Depp | New Petition!,"Let me know what you think!

💕 Don't Forget to Like & Subscribe! 💕

Justice For Johnny Playlist!
https://www.youtube.com/playlist?list=PLI8xGey4a8zmnnZ8ocQVACo788KHgf_DL


If you want to support my Channel, please check out my patreon And subscribe star below:

Patreon:
https://www.patreon.com/user?u=21542407

Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand

#JusticeForJohnnyDepp #AmberHeard #aquaman",https://i.ytimg.com/vi/3yVzbb0O_aE/default.jpg,120,90,https://i.ytimg.com/vi/3yVzbb0O_aE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3yVzbb0O_aE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3yVzbb0O_aE/sddefault.jpg,640,480,Nerdette's NewsStand,"['Aquaman 2', 'dceu', 'Amber heard', 'Johnny Depp', 'pirates of the Caribbean', 'fantastic beasts', 'Hollywood news', 'drama', 'controversy', 'entertainment', 'domestic abuse', 'Johnny Depp lawsuit', 'Johnny Depp sues Amber heard', 'Amber heard audio recordings', 'Johnny Depp domestic abuse', '#justiceforjohnnydepp', 'Amber heard petition', ""L'Oreal"", 'Amber heard defamation', ""Johnny Depp's laywer"", 'Amber Heard instagram', 'the sun', 'Johnny Depp Defamation suit', 'Johnny Depp court papers', 'Amber Heard assistant']",24,none,New Court Papers Reveal Amber Heard Used Children as PROPS to Impress Johnny Depp | New Petition!,"Let me know what you think!

💕 Don't Forget to Like & Subscribe! 💕

Justice For Johnny Playlist!
https://www.youtube.com/playlist?list=PLI8xGey4a8zmnnZ8ocQVACo788KHgf_DL


If you want to support my Channel, please check out my patreon And subscribe star below:

Patreon:
https://www.patreon.com/user?u=21542407

Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand

#JusticeForJohnnyDepp #AmberHeard #aquaman",en,PT11M3S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,27145,965,0,358,,,
youtube#video,jypcJvZBwApiMRC8VfXWgdznJZQ,6N5OZQ_GyrA,2016-08-11T08:36:15Z,UCFmZ9kPjRnTpAkmppKldYKQ,Separação de Amber e Johnny Depp fica mais complicada,"O polêmico divórcio entre Amber Heard e Johnny Depp parece longe do fim porque, até agora, os dois não chegaram a um acordo. 

Curta, compartilhe e se inscreva no canal para mais vídeos: https://www.youtube.com/channel/UCFmZ9kPjRnTpAkmppKldYKQ?sub_confirmation=1

Curta nossa página no Facebook: http://facebook.com/zoomin.tvbrasil

Siga-nos no Twitter: http://twitter.com/zoomintvbrasil

E no Instagram: http://instagram.com/zoomintvbrasil

Vídeos que você também pode gostar:

Amber Heard pede o divórcio para Johnny Depp - https://youtu.be/ijMDlAG6_vo

Johnny Depp está orgulhoso da filha Lily-Rose - https://youtu.be/rfvpjCgj3Ac",https://i.ytimg.com/vi/6N5OZQ_GyrA/default.jpg,120,90,https://i.ytimg.com/vi/6N5OZQ_GyrA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6N5OZQ_GyrA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6N5OZQ_GyrA/sddefault.jpg,640,480,ZoominTV Brasil,"['Amber Heard', 'Divórcio', 'Johnny Depp', 'Julgamento', 'Novela', 'Restrição', 'Tribunal', 'Vídeo', 'Zoomin', 'Zoomin in']",24,none,Separação de Amber e Johnny Depp fica mais complicada,"O polêmico divórcio entre Amber Heard e Johnny Depp parece longe do fim porque, até agora, os dois não chegaram a um acordo. 

Curta, compartilhe e se inscreva no canal para mais vídeos: https://www.youtube.com/channel/UCFmZ9kPjRnTpAkmppKldYKQ?sub_confirmation=1

Curta nossa página no Facebook: http://facebook.com/zoomin.tvbrasil

Siga-nos no Twitter: http://twitter.com/zoomintvbrasil

E no Instagram: http://instagram.com/zoomintvbrasil

Vídeos que você também pode gostar:

Amber Heard pede o divórcio para Johnny Depp - https://youtu.be/ijMDlAG6_vo

Johnny Depp está orgulhoso da filha Lily-Rose - https://youtu.be/rfvpjCgj3Ac",,PT1M1S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1848,27,0,0,https://i.ytimg.com/vi/6N5OZQ_GyrA/maxresdefault.jpg,1280.0,720.0
youtube#video,X0Gp3iBg72Dg-yYVdSmt6a1X4bU,AV247X4uvhY,2021-04-21T18:35:22Z,UC3l-bobp_xuBlL_lRRS5RmA,Amber Heard's GIRLFRIEND Bianca Butti filming Johnny Depp SUPPORTERS,"For a documentary?

The girlfriend of Amber Heard filmed Johnny Depp supporters throughout the UK trial, on her Osmo Pocket Mobile. 

#johnnydepp #amberheard #justiceforjohnnydepp",https://i.ytimg.com/vi/AV247X4uvhY/default.jpg,120,90,https://i.ytimg.com/vi/AV247X4uvhY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/AV247X4uvhY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/AV247X4uvhY/sddefault.jpg,640,480,UnBoxPHD,"['Amber heard girlfriend', 'biana butti', 'Amber heard', 'Johnny depp']",22,none,Amber Heard's GIRLFRIEND Bianca Butti filming Johnny Depp SUPPORTERS,"For a documentary?

The girlfriend of Amber Heard filmed Johnny Depp supporters throughout the UK trial, on her Osmo Pocket Mobile. 

#johnnydepp #amberheard #justiceforjohnnydepp",en-GB,PT1M15S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,2827,94,0,46,https://i.ytimg.com/vi/AV247X4uvhY/maxresdefault.jpg,1280.0,720.0
youtube#video,oufH5XxL6Lk9Qoaaf-Jpqz_yuPw,PL4lQDLawPY,2019-03-14T19:42:47Z,UC8AGq7bm-x4teGcvQonvnPw,Aquaman 2 (Hopefully) No More?? | Johnny Depp Takes Action Against Amber Heard |When #MeToo Fails..,"Aquaman star Amber heard has long been accusing Johnny Depp of domestic abuse. But was the new evidence that we've seen, it looks more like Johnny Depp was the one that was truly the victim in this circumstance. Let me know what you think, and below are some links if you need help. 

If you are in an abusive relationship, make sure you reach out, someone will be able to help you. There are agencies and shelters in place for victims of domestic abuse, you are not alone.

https://www.domesticshelters.org/help#?page=1

https://ncadv.org/get-help",https://i.ytimg.com/vi/PL4lQDLawPY/default.jpg,120,90,https://i.ytimg.com/vi/PL4lQDLawPY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/PL4lQDLawPY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/PL4lQDLawPY/sddefault.jpg,640,480,Nerdette's NewsStand,"['Aquaman', 'dceu', 'Amber heard', 'Johnny Depp', 'pirates of the Caribbean', 'fantastic beasts', 'Hollywood news', 'drama', 'controversy', 'entertainment', 'domestic abuse', '#metoo', 'help with domestic abuse', 'Johnny Depp lawsuit', 'Johnny Depp sues Amber heard', 'disney']",24,none,Aquaman 2 (Hopefully) No More?? | Johnny Depp Takes Action Against Amber Heard |When #MeToo Fails..,"Aquaman star Amber heard has long been accusing Johnny Depp of domestic abuse. But was the new evidence that we've seen, it looks more like Johnny Depp was the one that was truly the victim in this circumstance. Let me know what you think, and below are some links if you need help. 

If you are in an abusive relationship, make sure you reach out, someone will be able to help you. There are agencies and shelters in place for victims of domestic abuse, you are not alone.

https://www.domesticshelters.org/help#?page=1

https://ncadv.org/get-help",,PT11M36S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,12044,469,0,259,,,
youtube#video,Ed6Ab2oNtPmIwbJTQIqMF1iz258,Q-n8f56ehsM,2016-05-27T03:36:05Z,UCdtXPiqI2cLorKaPrfpKc4g,"A History Johnny Depp's Past Romances: Kate Moss, Amber Heard, Winona Ryder & More Famous Exes!",ET has a rundown of the 'Alice Through the Looking Glass' actor's love life over the years.,https://i.ytimg.com/vi/Q-n8f56ehsM/default.jpg,120,90,https://i.ytimg.com/vi/Q-n8f56ehsM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Q-n8f56ehsM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Q-n8f56ehsM/sddefault.jpg,640,480,Entertainment Tonight,"['etonline', 'divorce', 'kate moss', 'Famous Exes', 'amber heard', 'johnny depp', 'et', 'ET Online', 'entertainment tonight', 'winona ryder', 'trending']",24,none,"A History Johnny Depp's Past Romances: Kate Moss, Amber Heard, Winona Ryder & More Famous Exes!",ET has a rundown of the 'Alice Through the Looking Glass' actor's love life over the years.,,PT2M21S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,35192,210,0,19,,,
youtube#video,CfykoffdQYPqCC0ub508I4zB3vs,qaV81d6q89M,2020-02-05T02:00:08Z,UCjFzDGMRSpfdPwqT4din1AA,Petition To Remove Amber Heard From Aquaman 2 Passes 140K Signatures,#aquaman2 #justiceforjohnnydepp,https://i.ytimg.com/vi/qaV81d6q89M/default.jpg,120,90,https://i.ytimg.com/vi/qaV81d6q89M/mqdefault.jpg,320,180,https://i.ytimg.com/vi/qaV81d6q89M/hqdefault.jpg,480,360,https://i.ytimg.com/vi/qaV81d6q89M/sddefault.jpg,640,480,Ikereviews,"['aquaman 2', 'aquaman', 'dc', 'dceu 2', 'ikereviews', 'ike reviews']",22,none,Petition To Remove Amber Heard From Aquaman 2 Passes 140K Signatures,#aquaman2 #justiceforjohnnydepp,en,PT6M32S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,48,2,0,0,https://i.ytimg.com/vi/qaV81d6q89M/maxresdefault.jpg,1280.0,720.0
youtube#video,kcg-aShHXnqzoSWi5N8kSp_xoTQ,vUl1sBmeCJk,2020-07-20T17:23:14Z,UC3l-bobp_xuBlL_lRRS5RmA,Amber Heard LEAVES Court | DAY 10,#johnnydepp #AmberHeard,https://i.ytimg.com/vi/vUl1sBmeCJk/default.jpg,120,90,https://i.ytimg.com/vi/vUl1sBmeCJk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/vUl1sBmeCJk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/vUl1sBmeCJk/sddefault.jpg,640,480,UnBoxPHD,"['johnny Depp v amber', 'amber Heard leaves court']",22,none,Amber Heard LEAVES Court | DAY 10,#johnnydepp #AmberHeard,,PT59S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,4237,156,0,52,https://i.ytimg.com/vi/vUl1sBmeCJk/maxresdefault.jpg,1280.0,720.0
youtube#video,6vA4QDBsnJUipVjWgoCL6TebgJk,wEkfmrR3r7I,2016-05-28T23:01:10Z,UCW2QcKZiU8aUGg4yxCIditg,Johnny Depp interdit d'approcher sa future ex-femme Amber Heard,"Amber Heard a obtenu d'un tribunal de Los Angeles une mesure d'éloignement pour son mari, Johnny Depp. Ce dernier a interdiction de l'approcher à moins de 100 mètres jusqu'à un prochain jugement le 17 juin. L'actrice texane de 30 ans l'accuse de violences conjugales, verbales et physiques, photos à l'appui. Elle affirme que Johnny Depp lui a notamment lancé un téléphone portable au visage samedi dernier. 

  #BREAKING Amber Heard -- Claims Johnny Depp&#39;s Violence Triggered by Drug, Alcoho…
LIRE L’ARTICLE: http://fr.euronews.com/2016/05/28/johnny-depp-interdit-d-approcher-sa-future-ex-femme-amber-heard

Aujourd'hui dans l'actualité : les titres en vidéo https://www.youtube.com/playlist?list=UUW2QcKZiU8aUGg4yxCIditg

euronews : la chaîne d'information la plus regardée en Europe.
Abonnez-vous ! http://www.youtube.com/subscription_center?add_user=euronewsfr

euronews est disponible en 13 langues: https://www.youtube.com/user/euronewsnetwork/channels

En français : 
Site internet : http://fr.euronews.com
Facebook : https://www.facebook.com/euronews
Twitter : http://twitter.com/euronewsfr
Google+ :  https://plus.google.com/+euronewsfr/",https://i.ytimg.com/vi/wEkfmrR3r7I/default.jpg,120,90,https://i.ytimg.com/vi/wEkfmrR3r7I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/wEkfmrR3r7I/hqdefault.jpg,480,360,https://i.ytimg.com/vi/wEkfmrR3r7I/sddefault.jpg,640,480,euronews (en français),"['euronews', 'world', 'Violence', 'Etats-Unis', 'Johnny Depp', 'Violence contre les femmes']",25,none,Johnny Depp interdit d'approcher sa future ex-femme Amber Heard,"Amber Heard a obtenu d'un tribunal de Los Angeles une mesure d'éloignement pour son mari, Johnny Depp. Ce dernier a interdiction de l'approcher à moins de 100 mètres jusqu'à un prochain jugement le 17 juin. L'actrice texane de 30 ans l'accuse de violences conjugales, verbales et physiques, photos à l'appui. Elle affirme que Johnny Depp lui a notamment lancé un téléphone portable au visage samedi dernier. 

  #BREAKING Amber Heard -- Claims Johnny Depp&#39;s Violence Triggered by Drug, Alcoho…
LIRE L’ARTICLE: http://fr.euronews.com/2016/05/28/johnny-depp-interdit-d-approcher-sa-future-ex-femme-amber-heard

Aujourd'hui dans l'actualité : les titres en vidéo https://www.youtube.com/playlist?list=UUW2QcKZiU8aUGg4yxCIditg

euronews : la chaîne d'information la plus regardée en Europe.
Abonnez-vous ! http://www.youtube.com/subscription_center?add_user=euronewsfr

euronews est disponible en 13 langues: https://www.youtube.com/user/euronewsnetwork/channels

En français : 
Site internet : http://fr.euronews.com
Facebook : https://www.facebook.com/euronews
Twitter : http://twitter.com/euronewsfr
Google+ :  https://plus.google.com/+euronewsfr/",,PT54S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,26387,53,0,39,,,
youtube#video,xHHzXBa-JErXDyUh1M2rZi_pZU4,XtA1ysRYbqY,2020-07-23T10:28:42Z,UC3l-bobp_xuBlL_lRRS5RmA,Amber Heard ARRIVES at Court (On Time) DAY 13,#johnnydepp #AmberHeard,https://i.ytimg.com/vi/XtA1ysRYbqY/default.jpg,120,90,https://i.ytimg.com/vi/XtA1ysRYbqY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/XtA1ysRYbqY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/XtA1ysRYbqY/sddefault.jpg,640,480,UnBoxPHD,"['johnny Depp v amber Heard', 'amber Heard ARRIVES at court', 'amber Heard court case']",22,none,Amber Heard ARRIVES at Court (On Time) DAY 13,#johnnydepp #AmberHeard,,PT1M14S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,5306,51,0,39,https://i.ytimg.com/vi/XtA1ysRYbqY/maxresdefault.jpg,1280.0,720.0
youtube#video,nQC5YLdOR3EqxAUbxlSmgjfXPIY,yg7Jf59mgBQ,2019-05-18T13:57:20Z,UC52X5wxOL_s5yw0dQk7NtgA,"Penelope Cruz, Bella Hadid and Amber Heard dazzle on Cannes 'Pain and Glory' carpet","Global stars including Deepika Padukone, Anja Rubik and Araya A. Hargate also wore striking outfits. (May 18)

Subscribe for more Breaking News: http://smarturl.it/AssociatedPress 
Website: https://apnews.com
Twitter: https://twitter.com/AP
Facebook: https://facebook.com/APNews
Google+: https://plus.google.com/115892241801867723374
Instagram: https://www.instagram.com/APNews/
​

You can license this story through AP Archive: http://www.aparchive.com/metadata/youtube/d33b5e8b247ff8a49882ab0d96050b39",https://i.ytimg.com/vi/yg7Jf59mgBQ/default.jpg,120,90,https://i.ytimg.com/vi/yg7Jf59mgBQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/yg7Jf59mgBQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/yg7Jf59mgBQ/sddefault.jpg,640,480,Associated Press,"['cannes 2019', 'cannes film festival', 'Antonio Banderas', 'entertainment', 'cannes', '4211497', 'celebrities', 'Associated Press', 'Pedro Almodovar', 'film festival', 'Amber Heard', 'Penelope Cruz', 'film', 'Cannes Pain and Glory (CR)', '2ebd5bda9f034a79b597fe97d4dbfa48', 'Arts and entertainment', 'Bella Hadid', 'Deepika Padukone']",26,none,"Penelope Cruz, Bella Hadid and Amber Heard dazzle on Cannes 'Pain and Glory' carpet","Global stars including Deepika Padukone, Anja Rubik and Araya A. Hargate also wore striking outfits. (May 18)

Subscribe for more Breaking News: http://smarturl.it/AssociatedPress 
Website: https://apnews.com
Twitter: https://twitter.com/AP
Facebook: https://facebook.com/APNews
Google+: https://plus.google.com/115892241801867723374
Instagram: https://www.instagram.com/APNews/
​

You can license this story through AP Archive: http://www.aparchive.com/metadata/youtube/d33b5e8b247ff8a49882ab0d96050b39",en-US,PT1M10S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,1613,7,0,2,https://i.ytimg.com/vi/yg7Jf59mgBQ/maxresdefault.jpg,1280.0,720.0
