kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.defaultLanguage,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.defaultAudioLanguage
youtube#video,VI5_D6jhA1TJ3Pqclghmj2KdSJI,2CnoFiCF9-Y,2020-09-14T17:59:36Z,UC4ltvXoxGZobqqduv9iXOWg,"AH & her team start using The CHEWBACCA DEFENSE!! (Depp, Amber, South Park)","AH & her team start using The CHEWBACCA DEFENSE!! (Depp, Amber, South Park)

Yes, you read that correctly. AH and her team are using the Chewbacca defense from an episode of South Park. Overloading people with evidence that doesn't even need to be there. 

Asking for every tiny detail overloads people's minds and they cannot think straight. 

TWITTER: www.twitter.com/Adam_Waldman

Hello and welcome to Come Geek Some! For all things Geek, like and subscribe to the channel! 

If you would like to support the channel and help us grow! 
Donations: https://streamlabs.com/comegeeksome

I'm an avid Adobe Premiere Pro user and have been for quite some time! I would recommend the software to anyone (IF they have the spare money a month)

PS4 player with PC gameplay now and again. Still NOT used to PC gaming!

Interact with us on Twitter! https://twitter.com/ComeGeekSome1
Twitch: https://www.twitch.tv/geeksomegaming

#AmberHeard #JohnnyDepp #SouthPark",https://i.ytimg.com/vi/2CnoFiCF9-Y/default.jpg,120,90,https://i.ytimg.com/vi/2CnoFiCF9-Y/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2CnoFiCF9-Y/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2CnoFiCF9-Y/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2CnoFiCF9-Y/maxresdefault.jpg,1280.0,720.0,Come Geek Some,"['Come Geek Some', '2020', 'awesome', 'Amber Heard', 'Depp', 'Heard', 'Aquaman', 'Aquaman 2', 'io', 'elon musk', 'amber heard', 'amber', 'heard', 'johnny', 'depp', 'johnny depp', 'justiceforjohnnydepp', 'justiceforjohnny', 'amber heard johnny depp', 'amber heard aquaman', 'amber heard vs johnny depp', 'johnny depp defamation lawsuit', 'johnny depp lawsuit', 'johnny depp sues amber heard', 'justice for johnny depp', 'Disney', 'Breaking News', 'South Park', 'the chewbacca defense', 'the chewbacca defense south park', 'her', 'team']",24,none,en-GB,"AH & her team start using The CHEWBACCA DEFENSE!! (Depp, Amber, South Park)","AH & her team start using The CHEWBACCA DEFENSE!! (Depp, Amber, South Park)

Yes, you read that correctly. AH and her team are using the Chewbacca defense from an episode of South Park. Overloading people with evidence that doesn't even need to be there. 

Asking for every tiny detail overloads people's minds and they cannot think straight. 

TWITTER: www.twitter.com/Adam_Waldman

Hello and welcome to Come Geek Some! For all things Geek, like and subscribe to the channel! 

If you would like to support the channel and help us grow! 
Donations: https://streamlabs.com/comegeeksome

I'm an avid Adobe Premiere Pro user and have been for quite some time! I would recommend the software to anyone (IF they have the spare money a month)

PS4 player with PC gameplay now and again. Still NOT used to PC gaming!

Interact with us on Twitter! https://twitter.com/ComeGeekSome1
Twitch: https://www.twitch.tv/geeksomegaming

#AmberHeard #JohnnyDepp #SouthPark",PT9M29S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,16451,818,0,153,
youtube#video,J6iupdvGnrSqhIuy4X4AhEQhu9w,4fSfuPw1VHw,2021-12-18T19:42:28Z,UC3l-bobp_xuBlL_lRRS5RmA,Johnny vs Amber Discovery Plus Documentary,"Hear Johnny Depp's UK Lawyer speak about that TMZ video. 

#johnnydepp #amberheard amber",https://i.ytimg.com/vi/4fSfuPw1VHw/default.jpg,120,90,https://i.ytimg.com/vi/4fSfuPw1VHw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4fSfuPw1VHw/hqdefault.jpg,480,360,,,,,,,UnBoxPHD,"['Johnny vs Amber discovery', 'Johnny and Amber discovery documentary', 'Johnny depp discovery plus', 'Johnny depp', 'Amber heard']",27,none,,Johnny vs Amber Discovery Plus Documentary,"Hear Johnny Depp's UK Lawyer speak about that TMZ video. 

#johnnydepp #amberheard amber",PT1M42S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,8582,126,0,67,en-GB
youtube#video,ZJi2Dg0ppGOuqULPFQI5cms77TE,4YdFRF1pgx8,2020-08-12T21:13:07Z,UCg9dN6dk0KFjuX1TmTeXcFw,Johnny Depp and Amber Heard  Will The Judge Finally Uncover The Truth,"#primevideo  #marvel #netflix

Welcome with cane Video Clip.

We will bring content weekly with the hottest news from the cinema, series and hollywood curiosities.

Subscribe to our channel and stay on top.

see you later!
Video Clip Team

Tags:

pewdiepie asmr music markiplier old town road pewdiepie vs t series billie eilish fortnite david dobrik jacksepticeye james charles joe rogan baby shark bts dantdm snl game grumps cnn wwe lofi minecraft kardashian kim kardashian taylor taylor swift shane dawson t series fox news msnbc ssundee fgteev lofi hip hop mrbeast ariana grande stephen colbert gacha life flamingo nightcore jake paul songs lazarbeam eminem tyt vanossgaming taylor swift post malone jeffree star memes game of thrones cardi b trump study music avengers endgame obama espn john liver blackpink coryxkenshin juice wrld logan paul unspeakable nba youngboy try not to laugh mr beast roblox dude perfect last week tonight peppa pig dunkey andrew yang ufc popularmmos game theory chad wild clay jre ninja buzzfeed unsolved drake
colbert borderlands 3 ben shapiro sml projared nfl seth meyers rachel maddow itsfunneh tik tok undisputed critical role jeffy trevor noah trisha paytas queen blippi
tati gmm nintendo sssniperwolf tfue first take ryan’s toy review 7 rings sunflower post malone pokemon sword and shield pewdiepie markiplier pewdiepie vs t series
david dobrik jacksepticeye james charles joe rogan dantdm snl game grumps bts pewdiepie asmr billie eilish baby shark badabun blackpink old town road music
peliculas completas en español fortnite pewdiepie vs t series minecraft senorita
ariana grande alan walker calma tik tok music bad bunny wwe queen eminem enes batur la rosa de guadalupe ed sheeran taki taki despacito peppa pig songs maluma
michael jackson t series paulo londra ozuna bad guy taylor swift free fire youtube
imagine dragons karaoke twice  nightcore video film hollywood geo news live
anuel roblox james charles aaj tak live 7 rings justin bieber bruno mars
kill this love post malone doraemon gacha life markiplier china game of thrones
marshmello музыка maroon 5 bohemian rhapsody linkin park dance monkey
anuel aa felipe neto 5 minute crafts lady gaga dross cardi b los polinesios squeezie
con calma coldplay rihanna selena gomez mikecrack rap pubg sia soolking drake
funny videos shawn mendes jacksepticeye vegetta777 song movies аид cocomelon
dua lipa joe rogan avengers endgame david dobrik romeo santos slime gta 5
believer barbie daddy y yankee how to register to vote how to be single
how i met your mother how to get away with a murder how to tie a tie
how to get away with murder how to lose weight how many ounces in a cup
how many ounces in a pound how many ounces in a gallon how many weeks in a year how to screenshot on macs how to get pregnant how to download youtube video how to screenshot on mac how old is donald trump how to lose weight fast
how to make pancakes how to train your dragon how many cups in a quart how to make money how many grams in an ounce how many ft in a mile how old is hillary clinton how to lose belly fat how to train your dragon 2 how to download videos from youtube how to boil eggs how to delete instagram account how to take a screenshot on a mac how many quarts in a gallon how many cups in a gallon how many liters in a gallon how many days till christmas how old am i how to get rid of bed bugs
how to make pizza how many grams in a pound how many ounces in a quart
how to have sex how do you spell how to use snapchat how do you say
how to make french toast how to make love how to make slime how many tablespoons in a cup how many oz in a cup how to write a check
how to tie a bowtie how to delete facebook how many days in a year how many days until christmas how to make money online how to solve a rubix cube how many countries in the world how many teaspoons in a tablespoon how long to boil eggs
how many cm in an inch how to write a cover letter how many ounces in a liter
how to train your dragon 3 how much house can i afford how to gain weight
how to take a screenshot how to delete facebook account how many mb in a gb
how tall is kevin hart how to save money how old is justin bieber how many people are in the world how to make money fast how to draw a dog how to get rid of acne
how many oz in a gallon how to get rid of blackheads how to get away with a murderer season 2 how to cook quinoa how many calories in a banana
how many km in a mile how to draw anime how to make scrambled eggs
how to get rid of pimples how to cook spaghetti squash how to make an omelet
how to change wifi password how to cook asparagus how many cups in a pint
how many sq feet in an acre how to change gmail password how to eat pussy
rice how to lose a guy in 10 days how to be single movie
how to calculate percentage how to hard boil eggs how many steps in a mile
make cake how many ounces in a pint how to hack wifi
how deep is your love lyrics how old are you how do reset iphone",https://i.ytimg.com/vi/4YdFRF1pgx8/default.jpg,120,90,https://i.ytimg.com/vi/4YdFRF1pgx8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4YdFRF1pgx8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4YdFRF1pgx8/sddefault.jpg,640.0,480.0,,,,Top Video,,1,none,,Johnny Depp and Amber Heard  Will The Judge Finally Uncover The Truth,"#primevideo  #marvel #netflix

Welcome with cane Video Clip.

We will bring content weekly with the hottest news from the cinema, series and hollywood curiosities.

Subscribe to our channel and stay on top.

see you later!
Video Clip Team

Tags:

pewdiepie asmr music markiplier old town road pewdiepie vs t series billie eilish fortnite david dobrik jacksepticeye james charles joe rogan baby shark bts dantdm snl game grumps cnn wwe lofi minecraft kardashian kim kardashian taylor taylor swift shane dawson t series fox news msnbc ssundee fgteev lofi hip hop mrbeast ariana grande stephen colbert gacha life flamingo nightcore jake paul songs lazarbeam eminem tyt vanossgaming taylor swift post malone jeffree star memes game of thrones cardi b trump study music avengers endgame obama espn john liver blackpink coryxkenshin juice wrld logan paul unspeakable nba youngboy try not to laugh mr beast roblox dude perfect last week tonight peppa pig dunkey andrew yang ufc popularmmos game theory chad wild clay jre ninja buzzfeed unsolved drake
colbert borderlands 3 ben shapiro sml projared nfl seth meyers rachel maddow itsfunneh tik tok undisputed critical role jeffy trevor noah trisha paytas queen blippi
tati gmm nintendo sssniperwolf tfue first take ryan’s toy review 7 rings sunflower post malone pokemon sword and shield pewdiepie markiplier pewdiepie vs t series
david dobrik jacksepticeye james charles joe rogan dantdm snl game grumps bts pewdiepie asmr billie eilish baby shark badabun blackpink old town road music
peliculas completas en español fortnite pewdiepie vs t series minecraft senorita
ariana grande alan walker calma tik tok music bad bunny wwe queen eminem enes batur la rosa de guadalupe ed sheeran taki taki despacito peppa pig songs maluma
michael jackson t series paulo londra ozuna bad guy taylor swift free fire youtube
imagine dragons karaoke twice  nightcore video film hollywood geo news live
anuel roblox james charles aaj tak live 7 rings justin bieber bruno mars
kill this love post malone doraemon gacha life markiplier china game of thrones
marshmello музыка maroon 5 bohemian rhapsody linkin park dance monkey
anuel aa felipe neto 5 minute crafts lady gaga dross cardi b los polinesios squeezie
con calma coldplay rihanna selena gomez mikecrack rap pubg sia soolking drake
funny videos shawn mendes jacksepticeye vegetta777 song movies аид cocomelon
dua lipa joe rogan avengers endgame david dobrik romeo santos slime gta 5
believer barbie daddy y yankee how to register to vote how to be single
how i met your mother how to get away with a murder how to tie a tie
how to get away with murder how to lose weight how many ounces in a cup
how many ounces in a pound how many ounces in a gallon how many weeks in a year how to screenshot on macs how to get pregnant how to download youtube video how to screenshot on mac how old is donald trump how to lose weight fast
how to make pancakes how to train your dragon how many cups in a quart how to make money how many grams in an ounce how many ft in a mile how old is hillary clinton how to lose belly fat how to train your dragon 2 how to download videos from youtube how to boil eggs how to delete instagram account how to take a screenshot on a mac how many quarts in a gallon how many cups in a gallon how many liters in a gallon how many days till christmas how old am i how to get rid of bed bugs
how to make pizza how many grams in a pound how many ounces in a quart
how to have sex how do you spell how to use snapchat how do you say
how to make french toast how to make love how to make slime how many tablespoons in a cup how many oz in a cup how to write a check
how to tie a bowtie how to delete facebook how many days in a year how many days until christmas how to make money online how to solve a rubix cube how many countries in the world how many teaspoons in a tablespoon how long to boil eggs
how many cm in an inch how to write a cover letter how many ounces in a liter
how to train your dragon 3 how much house can i afford how to gain weight
how to take a screenshot how to delete facebook account how many mb in a gb
how tall is kevin hart how to save money how old is justin bieber how many people are in the world how to make money fast how to draw a dog how to get rid of acne
how many oz in a gallon how to get rid of blackheads how to get away with a murderer season 2 how to cook quinoa how many calories in a banana
how many km in a mile how to draw anime how to make scrambled eggs
how to get rid of pimples how to cook spaghetti squash how to make an omelet
how to change wifi password how to cook asparagus how many cups in a pint
how many sq feet in an acre how to change gmail password how to eat pussy
rice how to lose a guy in 10 days how to be single movie
how to calculate percentage how to hard boil eggs how many steps in a mile
make cake how many ounces in a pint how to hack wifi
how deep is your love lyrics how old are you how do reset iphone",PT11M50S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,82,1,0,0,en-US
youtube#video,TwDcHE_Ax94OBiLSjhoK4De00Iw,5bMzPzl-qwc,2020-07-24T21:31:39Z,UCyDxgBqN7roi53DS5B81vNQ,Amber Heard accused of 'attacking sister' after video emerges in court,"Johnny Depp ’s lawyers introduced new video evidence from an ""anonymous source"" which they claim shows Amber Heard had ""attacked"" her sister, the High Court heard.  The American actor, 57, is suing News Group Newspapers (NGN), publisher of The Sun, for an article they ran in 2018 branding the star ""a wife beater"" – an allegation he strenuously denies.  During the third week of the libel case, Heard and her sister Whitney Henriquez gave evidence against Depp who they claimed was violent towards Heard on numerous occasions.  According to Deadline.com, during the hearing on Friday, Depp's barrister David Sherborne told the court they had received a clip from a ""confidential source"" on Thursday night after Henriquez gave evidence earlier in the day, stating her sibling had never attacked her.    Henrique gave evidence, claiming she saw Depp punch Heard “really hard in the head … multiple times” in Los Angeles in March 2015.  Henriquez said that Heard punched Depp on that occasion, but only did so ""in my defence"" because she claimed her sister thought Depp was going to push her down the stairs.    Sherborne then claimed to the court that Henriquez had ""tailored"" her evidence ""to meet her sister’s evidence"".    Sherborne told Justice Nicol: “After she [Ms Henriquez] gave evidence yesterday, one of our team was contacted by an individual, on the basis of being kept confidential.  ""We were contacted to explain that Ms Amber Heard had a history of violence and attacking people and this video, which was attached, of her sister Whitney [Henriquez] was taken shortly after Amber Heard had attacked her and Ms Whitney [Henriquez] was filmed with people commenting on the bruises on her face and body.""  He continued: "" In the context of the attack, what I will call ‘the stairs incident’, and the evidence we say of the attack by Ms Amber Heard on Mr Depp, Ms Whitney [Henriquez] you will recall protested that it was only in self-defence and it is the one physical attack that Ms Amber Heard admits to.""     Sherborne explained that Henriquez’s evidence about the altercation in March 2015 is ""the only occasion on which any other human being is supposed to have witnessed” Depp being violent towards Heard.  He added: ""The reliability of Ms Whitney [Henriquez] is critical.""  Sherborne told the court: ""We are entitled to put [allegations of] violence to Ms Whitney [Henriquez] … we want to play the video tape to her and ask her about the incident in which Ms Amber Heard attacked her.""",https://i.ytimg.com/vi/5bMzPzl-qwc/default.jpg,120,90,https://i.ytimg.com/vi/5bMzPzl-qwc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5bMzPzl-qwc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/5bMzPzl-qwc/sddefault.jpg,640.0,480.0,,,,Entertainment today,['More OnAmber Heard'],22,none,,Amber Heard accused of 'attacking sister' after video emerges in court,"Johnny Depp ’s lawyers introduced new video evidence from an ""anonymous source"" which they claim shows Amber Heard had ""attacked"" her sister, the High Court heard.  The American actor, 57, is suing News Group Newspapers (NGN), publisher of The Sun, for an article they ran in 2018 branding the star ""a wife beater"" – an allegation he strenuously denies.  During the third week of the libel case, Heard and her sister Whitney Henriquez gave evidence against Depp who they claimed was violent towards Heard on numerous occasions.  According to Deadline.com, during the hearing on Friday, Depp's barrister David Sherborne told the court they had received a clip from a ""confidential source"" on Thursday night after Henriquez gave evidence earlier in the day, stating her sibling had never attacked her.    Henrique gave evidence, claiming she saw Depp punch Heard “really hard in the head … multiple times” in Los Angeles in March 2015.  Henriquez said that Heard punched Depp on that occasion, but only did so ""in my defence"" because she claimed her sister thought Depp was going to push her down the stairs.    Sherborne then claimed to the court that Henriquez had ""tailored"" her evidence ""to meet her sister’s evidence"".    Sherborne told Justice Nicol: “After she [Ms Henriquez] gave evidence yesterday, one of our team was contacted by an individual, on the basis of being kept confidential.  ""We were contacted to explain that Ms Amber Heard had a history of violence and attacking people and this video, which was attached, of her sister Whitney [Henriquez] was taken shortly after Amber Heard had attacked her and Ms Whitney [Henriquez] was filmed with people commenting on the bruises on her face and body.""  He continued: "" In the context of the attack, what I will call ‘the stairs incident’, and the evidence we say of the attack by Ms Amber Heard on Mr Depp, Ms Whitney [Henriquez] you will recall protested that it was only in self-defence and it is the one physical attack that Ms Amber Heard admits to.""     Sherborne explained that Henriquez’s evidence about the altercation in March 2015 is ""the only occasion on which any other human being is supposed to have witnessed” Depp being violent towards Heard.  He added: ""The reliability of Ms Whitney [Henriquez] is critical.""  Sherborne told the court: ""We are entitled to put [allegations of] violence to Ms Whitney [Henriquez] … we want to play the video tape to her and ask her about the incident in which Ms Amber Heard attacked her.""",PT3M26S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,48,2,0,0,
youtube#video,bI1tpiSypQ3fJfECvUVa7EP4R1U,6w8JWvRc94c,2020-07-17T18:07:46Z,UC42i9EuweZ7NqAk8K6uQb3Q,Amber Heard's interior designer slates Johnny Depp's US lawyer,"Amber Heard's interior designer, Laura Divenere, slates Johnny Depp's US lawyer Adam Waldman after he allegedly called her a 'liar'. Following a stream of texts between Depp's lawyer and Ms Divenere, she did not...",https://i.ytimg.com/vi/6w8JWvRc94c/default.jpg,120,90,https://i.ytimg.com/vi/6w8JWvRc94c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6w8JWvRc94c/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6w8JWvRc94c/sddefault.jpg,640.0,480.0,,,,CELEB FIGURE,,22,none,,Amber Heard's interior designer slates Johnny Depp's US lawyer,"Amber Heard's interior designer, Laura Divenere, slates Johnny Depp's US lawyer Adam Waldman after he allegedly called her a 'liar'. Following a stream of texts between Depp's lawyer and Ms Divenere, she did not...",PT35S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,173,0,0,0,
youtube#video,Lcq3pIon8GqNPe-5ZkLJnFmayK0,97Jk9STNYd0,2021-06-19T13:15:00Z,UCAmaiEYnoTgj-dmjp8DpepQ,"""AMBER HEARD's NEW MOVIE ROLE!"" In AVENGERS Movie 2022…!? | The Gossipy","""AMBER HEARD's NEW MOVIE ROLE!"" In AVENGERS Movie 2022…!? | The Gossipy

Amber Heard might be the new Avengers movie! Disney is reportedly eyeing her for a new role in the marvel cinematic universe. Amber Heard's Avengers won't sit well with Johnny Depp fans if she is indeed casted. Especially with all drama going on with Johnny Depp Amber Heard court case.

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

Now it turns out that Amber Heard may have not written the statement or OP ED in accusations against Johnny Depp. This could another case of defamation or fraud. Let's break it down in today's video.

#AmberHeard #JohnnyDepp #JusticeForJohnnyDepp #AmberHeardJail​ #AmberHeardCourt​ #JusticeForJohnny #AmberAvengers
--------------------------------------------------------------------------------------------------------------------------------
Welcome toThe Gossipy. We make interesting videos about Hollywood in English. We give you a closer look in the lives of celebrities like Kanye West, Ed Sheeran, The Rock, Jay Z, Selena Gomez, Kylie Jenner, Kim Kardashian, Rihanna and 100s more.

We tell you interesting things about these Hollywood celebrities that you may have never heard before.
Subscribe - https://www.youtube.com/channel/UCAmaiEYnoTgj-dmjp8DpepQ?sub_confirmation=1
''THE CHANNEL GOAL IS TO GET ALL THE YOU TUBE PLAY BUTTONS"". So please do subscribe to our channel to be a part of The Gossipy community, It is really important to grow together as a family and "" we promise you, we will not let you down"".

Cheers!",https://i.ytimg.com/vi/97Jk9STNYd0/default.jpg,120,90,https://i.ytimg.com/vi/97Jk9STNYd0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/97Jk9STNYd0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/97Jk9STNYd0/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/97Jk9STNYd0/maxresdefault.jpg,1280.0,720.0,The Gossipy,"['The Gossipy', 'johnny depp amber heard', 'celebrity craze', 'celebrity', 'hollywood life', 'celeb news', 'amber heard', 'johnny depp', 'amber heard johnny depp', 'amber heard johnny depp fight video', 'amber heard interview', 'amber heard fired', 'justice for johnny depp', 'avengers', 'amber heard aquaman', 'amber heard aquaman 2', 'clevver news', 'informoverload', 'that umbrella guy', 'johnny depp loses case', 'aquaman 2 amber heard', 'thatumbrellaguy']",24,none,en-US,"""AMBER HEARD's NEW MOVIE ROLE!"" In AVENGERS Movie 2022…!? | The Gossipy","""AMBER HEARD's NEW MOVIE ROLE!"" In AVENGERS Movie 2022…!? | The Gossipy

Amber Heard might be the new Avengers movie! Disney is reportedly eyeing her for a new role in the marvel cinematic universe. Amber Heard's Avengers won't sit well with Johnny Depp fans if she is indeed casted. Especially with all drama going on with Johnny Depp Amber Heard court case.

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

Now it turns out that Amber Heard may have not written the statement or OP ED in accusations against Johnny Depp. This could another case of defamation or fraud. Let's break it down in today's video.

#AmberHeard #JohnnyDepp #JusticeForJohnnyDepp #AmberHeardJail​ #AmberHeardCourt​ #JusticeForJohnny #AmberAvengers
--------------------------------------------------------------------------------------------------------------------------------
Welcome toThe Gossipy. We make interesting videos about Hollywood in English. We give you a closer look in the lives of celebrities like Kanye West, Ed Sheeran, The Rock, Jay Z, Selena Gomez, Kylie Jenner, Kim Kardashian, Rihanna and 100s more.

We tell you interesting things about these Hollywood celebrities that you may have never heard before.
Subscribe - https://www.youtube.com/channel/UCAmaiEYnoTgj-dmjp8DpepQ?sub_confirmation=1
''THE CHANNEL GOAL IS TO GET ALL THE YOU TUBE PLAY BUTTONS"". So please do subscribe to our channel to be a part of The Gossipy community, It is really important to grow together as a family and "" we promise you, we will not let you down"".

Cheers!",PT8M9S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,107,3,0,2,en-US
