kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.tags,snippet.defaultAudioLanguage,snippet.defaultLanguage
youtube#video,F-PbFpo1HvCWXVgkWRq6cl03Zmk,44MO7_tIw6o,2018-10-26T00:07:54Z,UCHsPNl2Kp13vzlucxwoHxfA,Amber shut up,,https://i.ytimg.com/vi/44MO7_tIw6o/default.jpg,120,90,https://i.ytimg.com/vi/44MO7_tIw6o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/44MO7_tIw6o/hqdefault.jpg,480,360,https://i.ytimg.com/vi/44MO7_tIw6o/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/44MO7_tIw6o/maxresdefault.jpg,1280.0,720.0,Tameka Bell Productions,22,none,Amber shut up,,PT5S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,420,5,0,1,,,
youtube#video,8D-VniCgZ5gyAFyM1T2H7wmu1fc,6cCo44Pc7Lg,2019-06-01T17:00:01Z,UCuBuvOo0l7S9Yf-RbrGScBQ,WENGIE ft. DAVID AMBER - Talk Talk (Official Music Video),"WENGIE ft. DAVID AMBER 'Talk Talk' (Official Music Video)

Available now on all platforms! http://smarturl.it/wengietalktalk

Produced by David Amber: 
https://instagram.com/davidambersongs

Directed by Maxmerro:
https://www.instagram.com/maxmerro

Join the Music fam!!! http://bit.ly/WengieMusicFam
Follow me on Spotify: http://bit.ly/WengieSpotify
Instagram: http://www.instagram.com/wengie

#Wengie #DavidAmber #TalkTalk",https://i.ytimg.com/vi/6cCo44Pc7Lg/default.jpg,120,90,https://i.ytimg.com/vi/6cCo44Pc7Lg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6cCo44Pc7Lg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6cCo44Pc7Lg/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/6cCo44Pc7Lg/maxresdefault.jpg,1280.0,720.0,WRAYA (Formerly WENGIE),10,none,WENGIE ft. DAVID AMBER - Talk Talk (Official Music Video),"WENGIE ft. DAVID AMBER 'Talk Talk' (Official Music Video)

Available now on all platforms! http://smarturl.it/wengietalktalk

Produced by David Amber: 
https://instagram.com/davidambersongs

Directed by Maxmerro:
https://www.instagram.com/maxmerro

Join the Music fam!!! http://bit.ly/WengieMusicFam
Follow me on Spotify: http://bit.ly/WengieSpotify
Instagram: http://www.instagram.com/wengie

#Wengie #DavidAmber #TalkTalk",PT3M42S,2d,hd,true,True,rectangular,processed,public,youtube,True,False,False,6609652,103334,0,13523,"['david amber', 'wengie music', 'talk talk', 'wengie david amber talk talk official music video', 'wengie david amber talk talk', 'wengie music official', 'talk talk wengie david amber', 'wengie talk talk', 'talk talk song', 'wengie talk talk teaser', 'talk talk teaser', 'talk song', 'mr. nice guy', 'wengie teaser', 'wengie lace up', 'wengie inigo pascual', 'wengie', 'teaser', 'pop songs 2019', 'ugly christmas sweater', 'melanie fontana', 'twice', 'kpop', 'music', 'pop', 'pop music 2019', 'talk', 'wengie hacks', 'khalid talk']",en,
youtube#video,YVoz38cj6tXBZ97a4uipJHQuQEk,A6vts3wE388,2021-07-12T18:11:19Z,UCfv0Fpx_c7t6utGLko07X6Q,Amber heard lovely what's up status #shorts #lovewithhollywood,Amber heard lovely what's up status #shorts #lovewithhollywood #amberheard,https://i.ytimg.com/vi/A6vts3wE388/default.jpg,120,90,https://i.ytimg.com/vi/A6vts3wE388/mqdefault.jpg,320,180,https://i.ytimg.com/vi/A6vts3wE388/hqdefault.jpg,480,360,https://i.ytimg.com/vi/A6vts3wE388/sddefault.jpg,640.0,480.0,,,,Love with hollywood,10,none,Amber heard lovely what's up status #shorts #lovewithhollywood,Amber heard lovely what's up status #shorts #lovewithhollywood #amberheard,PT33S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1116,62,0,0,"['#lovewithhollywood', '#amberheard', '#playdatesong', '#shorts', '#lovelywhatsupstatus']",hi,
youtube#video,i7zUqKVA8hxgb764HmQIUwHmhdg,doebvNH7PQo,2019-01-14T18:00:06Z,UCZ1dX_HGNPPRk0lH8SQi6sQ,The Ward (2011) - Shut Up! I Like This,"We discuss John Carpenter's ""The Ward"" this week. We talk about Carpenter's films, Amber Heard and the great twist.

Gearbest - https://www.gearbest.com/microphone-_gear/?lkid=18932548 - Find all the electronics you need, at a reasonable price!

Website - http://www.pantheonnetwork.com/
Find everything on our website, audio episodes, merchandise and more!

The Indie Gamer Magazine - http://www.pantheonnetwork.com/the-indie-gamer-magazine",https://i.ytimg.com/vi/doebvNH7PQo/default.jpg,120,90,https://i.ytimg.com/vi/doebvNH7PQo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/doebvNH7PQo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/doebvNH7PQo/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/doebvNH7PQo/maxresdefault.jpg,1280.0,720.0,Cinema Shack,24,none,The Ward (2011) - Shut Up! I Like This,"We discuss John Carpenter's ""The Ward"" this week. We talk about Carpenter's films, Amber Heard and the great twist.

Gearbest - https://www.gearbest.com/microphone-_gear/?lkid=18932548 - Find all the electronics you need, at a reasonable price!

Website - http://www.pantheonnetwork.com/
Find everything on our website, audio episodes, merchandise and more!

The Indie Gamer Magazine - http://www.pantheonnetwork.com/the-indie-gamer-magazine",PT1H6M23S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,12,1,0,0,"['shut up i like this', 'shut up', 'i like this', 'i love movies', 'i love film', 'we love film', 'we love movies', 'film', 'movies', 'movie', 'films', 'john carpenter', 'the ward', 'amber heard', 'horror', 'horror film']",,
youtube#video,4olXrMc1zSJIKouHyKtrE_EFjsQ,FTZzGg_t7ww,2019-03-13T17:14:52Z,UCFkQzUWIMDwK2SN0uKt7cEg,Johnny Depp and Amber Heard Break Up Drama - Lessons We Can Learn,"Johnny Depp and Amber Heard Break Up Drama - Lessons We Can Learn

Broadway TV is a platform that seeks to create entertainment content with the sole aim of reaching a wider audience.

 Visit www.broadwaytv.tv for more.",https://i.ytimg.com/vi/FTZzGg_t7ww/default.jpg,120,90,https://i.ytimg.com/vi/FTZzGg_t7ww/mqdefault.jpg,320,180,https://i.ytimg.com/vi/FTZzGg_t7ww/hqdefault.jpg,480,360,https://i.ytimg.com/vi/FTZzGg_t7ww/sddefault.jpg,640.0,480.0,,,,TheBroadway TV,22,none,Johnny Depp and Amber Heard Break Up Drama - Lessons We Can Learn,"Johnny Depp and Amber Heard Break Up Drama - Lessons We Can Learn

Broadway TV is a platform that seeks to create entertainment content with the sole aim of reaching a wider audience.

 Visit www.broadwaytv.tv for more.",PT3M2S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,311,1,0,0,"['Johnny Depp', 'Amber Heard', 'break up', 'defamation', 'jack sparrow', 'hollywood', 'pirates of the carribean']",,
youtube#video,2XyMsn1Gd3xz0HGentdZmFI5DyY,jMOQCuai4uM,2012-12-30T18:05:02Z,UCZ_24VX2Rnr_no_RaDDq_Xg,Amber Heard in 'The Joneses' (2009) Part 6/14: Results,Results from their first month of sales.,https://i.ytimg.com/vi/jMOQCuai4uM/default.jpg,120,90,https://i.ytimg.com/vi/jMOQCuai4uM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/jMOQCuai4uM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/jMOQCuai4uM/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/jMOQCuai4uM/maxresdefault.jpg,1280.0,720.0,IglooDweller,24,none,Amber Heard in 'The Joneses' (2009) Part 6/14: Results,Results from their first month of sales.,PT29S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,12073,19,0,0,"['amber heard', 'amber head', 'results', 'sales', 'brunette', 'brown', 'brown hair', 'success', 'win', 'movie', 'film', 'demi moore', 'david duchovny', 'review']",,
youtube#video,sEL8TBsMPdg-oZE34XJj5oM9qaM,jVDe3vAG58Y,2020-02-29T23:00:06Z,UCh3H0-VY8b1FbWPqqMjRO6g,Sit Down and Shut Up | Hey Dude vs. Amber Tamblyn,"Ever wanna be an ally to women? Well you're in luck! Amber Tamblyn has released a Male Ally Manifesto that is sure to make you change your mind post haste. Enjoy!

#Feminism #NowThis #AmberTamblyn

Original Video:
https://youtu.be/C4k8Fng9DAM

High School Girls Accuse Boy of Sexual Assault Because They ""Just Don't Like Him"":


13 Year Old Handcuffed and Dragged From School over #MeToo Allegations:


If you wanna support the channel with a donation:
https://streamlabs.com/heydude77/tip

Bitchute:
Search for Hey_Dude77; can't post the link because YouTube is hiding videos with BitChute Links

Facebook:
Hey Dude 77

Vlog Channel:
https://www.youtube.com/channel/UCGmvChMnUPmH5LPtiMMrdrw

Disclaimer:
The views and opinions expressed in these videos are mine and mine alone, and DO NOT reflect the views of Navajo Express Inc., Crete Carrier Corperation/Shaffer Trucking, or any other businesses viewers may have seen on my Vlog Channel, Hey Dude Vlogs 

All material used falls under the fair use of the “Digital Millennium Copyright Act,” and is used for commentary, satire, and criticism purposes only. I do not intend to cause offense, nor do I wish to silence or harass the creator of the original video. I also do NOT want any of my viewers to harass the creators of the original videos. 
To the original video creator: I do not wish to silence you, I am making this video because I disagree with certain points of your video. If you wish to discuss the content of either video, or if you simply want the original video link removed, feel free to contact me on Twitter @Hey_Dude77",https://i.ytimg.com/vi/jVDe3vAG58Y/default.jpg,120,90,https://i.ytimg.com/vi/jVDe3vAG58Y/mqdefault.jpg,320,180,https://i.ytimg.com/vi/jVDe3vAG58Y/hqdefault.jpg,480,360,https://i.ytimg.com/vi/jVDe3vAG58Y/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/jVDe3vAG58Y/maxresdefault.jpg,1280.0,720.0,Hey Dude 77,24,none,Sit Down and Shut Up | Hey Dude vs. Amber Tamblyn,"Ever wanna be an ally to women? Well you're in luck! Amber Tamblyn has released a Male Ally Manifesto that is sure to make you change your mind post haste. Enjoy!

#Feminism #NowThis #AmberTamblyn

Original Video:
https://youtu.be/C4k8Fng9DAM

High School Girls Accuse Boy of Sexual Assault Because They ""Just Don't Like Him"":


13 Year Old Handcuffed and Dragged From School over #MeToo Allegations:


If you wanna support the channel with a donation:
https://streamlabs.com/heydude77/tip

Bitchute:
Search for Hey_Dude77; can't post the link because YouTube is hiding videos with BitChute Links

Facebook:
Hey Dude 77

Vlog Channel:
https://www.youtube.com/channel/UCGmvChMnUPmH5LPtiMMrdrw

Disclaimer:
The views and opinions expressed in these videos are mine and mine alone, and DO NOT reflect the views of Navajo Express Inc., Crete Carrier Corperation/Shaffer Trucking, or any other businesses viewers may have seen on my Vlog Channel, Hey Dude Vlogs 

All material used falls under the fair use of the “Digital Millennium Copyright Act,” and is used for commentary, satire, and criticism purposes only. I do not intend to cause offense, nor do I wish to silence or harass the creator of the original video. I also do NOT want any of my viewers to harass the creators of the original videos. 
To the original video creator: I do not wish to silence you, I am making this video because I disagree with certain points of your video. If you wish to discuss the content of either video, or if you simply want the original video link removed, feel free to contact me on Twitter @Hey_Dude77",PT11M19S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,122,17,0,5,"['Hey Dude', 'hey dude 77', 'nowthis', 'amber tamblyn']",en-US,
youtube#video,33xanqbFlz5New-8_4AnAZqWYzg,Kt68XUml084,2022-01-02T17:51:27Z,UCgkXtp6cerB1M-czvAPoiGg,TRUE CRIME & COFFEE \ C.D.T & AMBER TRUTH SEEKER JOIN,"Super excited to have the lovely C.D.T & AMBER TRUTH SEEKER 
THEIR LINKS BELOW:
☆▪︎☆ C.D.T
https://youtube.com/c/CDTcrimediscussiontoday

☆▪︎☆ AMBER TRUTH SEEKER
https://youtube.com/channel/UCaxlIu3JCqI2Rqy_sdtznaQ

TRUE CRIME COFFEE CHAT. ☕️ 

🙏💜 PLEASE keep comments and chat RESPECTFUL.  Opinions are welcome, but just try and keep it respectful. 


Our channels: 

☆▪︎☆ Prairie Boy77: https://www.youtube.com/channel/UCgkXtp6cerB1M-czvAPoiGg 

☆▪︎☆ Voices Behind The Wall True Crime Outcast: https://www.youtube.com/channel/UCQdpb-5A5BWc_2-zAL6STjg 

☆▪︎☆ Mr And Mrs Cher: https://www.youtube.com/channel/UCTXcjdgDX9lQWKEqY7iD0KA 

☆▪︎☆ Totally Blunt With Cher: https://www.youtube.com/channel/UCYO5QXXoDJgzPIyR99hW9SA
•••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••
 ☆●☆ Our Memberships ☆●☆

☆▪︎☆  Prairie Boy77: https://www.youtube.com/channel/UCgkXtp6cerB1M-czvAPoiGg/join 

☆▪︎☆ Voices Behind The Wall: https://www.youtube.com/channel/UCQdpb-5A5BWc_2-zAL6STjg/join 

☆▪︎☆ Mr And Mrs Cher: https://www.youtube.com/channel/UCTXcjdgDX9lQWKEqY7iD0KA/join 
▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎
☆▪︎☆ Our Merch ☆▪︎☆

☆ Prairie Boy77: https://prairie-boy77.creator-spring.com/ 

☆ Voices Behind The Wall: https://vbtw.creator-spring.com 

☆ Mr And Mrs Cher: https://mr-and-mrs-paxman.creator-spring.com/ 
☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆
 ◇ Our Amazon Wish Lists ◇

☆ Prairie Boy77: https://www.amazon.ca/hz/wishlist/ls/37QQBG6TPB4OK?ref_=wl_share 

☆ Voices Behnd The Wall: https://www.amazon.ca/hz/wishlist/ls/2AAYIXOAA9MDM?ref_=wl_share 

☆ Mr And Mrs Cher: https://www.amazon.ca/hz/wishlist/ls/SZTPRW3URHUL?ref_=wl_share 
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
☆▪︎☆ Help Cher On Her Dental Journey ☆▪︎☆
https://www.gofundme.com/f/help-restore-chers-confidence?utm_campaign=p_lico+share-sheet&utm_medium=copy_link&utm_source=customer 

☆▪︎☆ Tip Jars ☆▪︎☆
Cash App $CrazyVoice 

☆ Prairie Boy77 paypal: https://www.paypal.com/paypalme/prairieboy77?locale.x=en_US 

☆ Voices Behind The Wall paypal: https://www.paypal.com/paypalme/VBTW19?locale.x=en_US&fbclid=IwAR3xBHfKJ7N0-zCsBz7m4x6sWbUmR2XAKXWVqSmpqB0Y2Xc4A2yoLncBx-E 


◇��◇ CHANNELS WE SUPPORT ◇☆◇

☆▪︎ Enchanted  LifePath
https://youtube.com/channel/UCCgIpvJ6BoXfYXJbARR6yHQ

☆ Mama Kim @ Unjustified 
https://youtube.com/c/UnJustifiedCrime




#PrairieBoy77 #MrandMrsCher #VoiCeSbeHinDtheWaLL #CDT #Ambertruthseeker
#summerwells #JodieSueBrown #Clult #RobinLane
#donaldwells #candusblywells #canduswells  #SummerMoonUtahWells #DonWells #hawkinscounty #benhillroad #SeventhdayAdventistChurch  #CandusBly #DonWells #RobinLane #SDA #SDAChurch #EllenGWhite #SdaMissingChildrenDrill #Missingchildren  #ColdCase #TrueCrime",https://i.ytimg.com/vi/Kt68XUml084/default.jpg,120,90,https://i.ytimg.com/vi/Kt68XUml084/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Kt68XUml084/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Kt68XUml084/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/Kt68XUml084/maxresdefault.jpg,1280.0,720.0,Prairie Boy77,24,none,TRUE CRIME & COFFEE \ C.D.T & AMBER TRUTH SEEKER JOIN,"Super excited to have the lovely C.D.T & AMBER TRUTH SEEKER 
THEIR LINKS BELOW:
☆▪︎☆ C.D.T
https://youtube.com/c/CDTcrimediscussiontoday

☆▪︎☆ AMBER TRUTH SEEKER
https://youtube.com/channel/UCaxlIu3JCqI2Rqy_sdtznaQ

TRUE CRIME COFFEE CHAT. ☕️ 

🙏💜 PLEASE keep comments and chat RESPECTFUL.  Opinions are welcome, but just try and keep it respectful. 


Our channels: 

☆▪︎☆ Prairie Boy77: https://www.youtube.com/channel/UCgkXtp6cerB1M-czvAPoiGg 

☆▪︎☆ Voices Behind The Wall True Crime Outcast: https://www.youtube.com/channel/UCQdpb-5A5BWc_2-zAL6STjg 

☆▪︎☆ Mr And Mrs Cher: https://www.youtube.com/channel/UCTXcjdgDX9lQWKEqY7iD0KA 

☆▪︎☆ Totally Blunt With Cher: https://www.youtube.com/channel/UCYO5QXXoDJgzPIyR99hW9SA
•••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••••
 ☆●☆ Our Memberships ☆●☆

☆▪︎☆  Prairie Boy77: https://www.youtube.com/channel/UCgkXtp6cerB1M-czvAPoiGg/join 

☆▪︎☆ Voices Behind The Wall: https://www.youtube.com/channel/UCQdpb-5A5BWc_2-zAL6STjg/join 

☆▪︎☆ Mr And Mrs Cher: https://www.youtube.com/channel/UCTXcjdgDX9lQWKEqY7iD0KA/join 
▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎▪︎
☆▪︎☆ Our Merch ☆▪︎☆

☆ Prairie Boy77: https://prairie-boy77.creator-spring.com/ 

☆ Voices Behind The Wall: https://vbtw.creator-spring.com 

☆ Mr And Mrs Cher: https://mr-and-mrs-paxman.creator-spring.com/ 
☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆
 ◇ Our Amazon Wish Lists ◇

☆ Prairie Boy77: https://www.amazon.ca/hz/wishlist/ls/37QQBG6TPB4OK?ref_=wl_share 

☆ Voices Behnd The Wall: https://www.amazon.ca/hz/wishlist/ls/2AAYIXOAA9MDM?ref_=wl_share 

☆ Mr And Mrs Cher: https://www.amazon.ca/hz/wishlist/ls/SZTPRW3URHUL?ref_=wl_share 
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
☆▪︎☆ Help Cher On Her Dental Journey ☆▪︎☆
https://www.gofundme.com/f/help-restore-chers-confidence?utm_campaign=p_lico+share-sheet&utm_medium=copy_link&utm_source=customer 

☆▪︎☆ Tip Jars ☆▪︎☆
Cash App $CrazyVoice 

☆ Prairie Boy77 paypal: https://www.paypal.com/paypalme/prairieboy77?locale.x=en_US 

☆ Voices Behind The Wall paypal: https://www.paypal.com/paypalme/VBTW19?locale.x=en_US&fbclid=IwAR3xBHfKJ7N0-zCsBz7m4x6sWbUmR2XAKXWVqSmpqB0Y2Xc4A2yoLncBx-E 


◇��◇ CHANNELS WE SUPPORT ◇☆◇

☆▪︎ Enchanted  LifePath
https://youtube.com/channel/UCCgIpvJ6BoXfYXJbARR6yHQ

☆ Mama Kim @ Unjustified 
https://youtube.com/c/UnJustifiedCrime




#PrairieBoy77 #MrandMrsCher #VoiCeSbeHinDtheWaLL #CDT #Ambertruthseeker
#summerwells #JodieSueBrown #Clult #RobinLane
#donaldwells #candusblywells #canduswells  #SummerMoonUtahWells #DonWells #hawkinscounty #benhillroad #SeventhdayAdventistChurch  #CandusBly #DonWells #RobinLane #SDA #SDAChurch #EllenGWhite #SdaMissingChildrenDrill #Missingchildren  #ColdCase #TrueCrime",PT2H3M17S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,3147,203,0,20,,en,en
youtube#video,w4ltj7L0GOMu-w6yBDp806sh5FI,mWvDdCtkaaw,2017-08-09T07:21:29Z,UCyQpfuhftLvrmjxgEzVH78Q,Amber Heard ist wieder Single,Amber Heard hat einfach kein Glück in der Liebe. Die Ex von Johnny Depp bestätigt nun die Trennung von Milliardär Elon Musk.,https://i.ytimg.com/vi/mWvDdCtkaaw/default.jpg,120,90,https://i.ytimg.com/vi/mWvDdCtkaaw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/mWvDdCtkaaw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/mWvDdCtkaaw/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/mWvDdCtkaaw/maxresdefault.jpg,1280.0,720.0,OE24.TV,25,none,Amber Heard ist wieder Single,Amber Heard hat einfach kein Glück in der Liebe. Die Ex von Johnny Depp bestätigt nun die Trennung von Milliardär Elon Musk.,PT54S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,155,0,0,0,"['österreich', 'news', 'oe24', 'oe24.TV', 'aktuell', 'nachrichten', 'society', 'kultur', 'amber heard', 'johnny depp', 'elon musk', 'golddigger', 'single']",de,de
youtube#video,CnJR4VseY3vtbZFQTpIEqxnBenM,Qc1Vj52Ca4g,2019-03-28T00:46:28Z,UCO-JXdDxinRGArXd_Dz58wA,Shut up amber,"Fortnite
https://store.playstation.com/#!/en-us/tid=CUSA07022_00",https://i.ytimg.com/vi/Qc1Vj52Ca4g/default.jpg,120,90,https://i.ytimg.com/vi/Qc1Vj52Ca4g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Qc1Vj52Ca4g/hqdefault.jpg,480,360,,,,,,,Tyler Dolan,20,none,Shut up amber,"Fortnite
https://store.playstation.com/#!/en-us/tid=CUSA07022_00",PT22S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,43,0,0,0,"['#PS4share', 'PlayStation 4', 'Sony Interactive Entertainment', 'Fortnite', 'Mr_Splasher11']",,
