kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height
youtube#video,1F5RqJJUUm1BYfWjtvGyki8q2TI,89YLu5GeWSk,2019-04-06T18:22:04Z,UCqxPkQcj-ZRL7JDO8T5DuYg,"Best Celebrity Legs 26 - Karen Gillan, Jennifer Aniston, Gwen Stefani, Hailee Steinfeld, and more.","Best Celebrity Legs Volume 26. Amber Heard, Jennifer Aniston Julie Bowen, Karen Gillan and more sexy legs in high heels.

0:00 - Amber Heard
1:14 - Karen Gillan
1:43 - Jennifer Aniston
1:57 - Gwen Stefani
2:07 - Jennifer Aniston and Dolly Parton
2:17 - Hailee Steinfeld
2:47 - Hailee Steinfeld
4:05 - Julie Bowen

👀 Best Celebrity Legs -------  https://linktr.ee/onlyinhighheels

The talent includes Amber Heard in a short dress and Christian Louboutin stilettos, Jennifer Aniston in ankle strap high heels, Fergie showing off her sexy legs in a sheer dress, Hailee Steinfeld in a little black number, Julie Bowen shapely legs and Karen Gillan long legs in white pumps.",https://i.ytimg.com/vi/89YLu5GeWSk/default.jpg,120,90,https://i.ytimg.com/vi/89YLu5GeWSk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/89YLu5GeWSk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/89YLu5GeWSk/sddefault.jpg,640,480,Only in High Heels,"['amber heard legs', 'jennifer aniston legs', 'karen gillan legs', 'hailee steinfeld legs', 'gwen stefani legs', 'julie bowen legs', 'celebrity legs', 'sexy legs', 'hot legs', 'great legs', 'celebrity', 'high heels', 'crossed legs']",24,none,"Best Celebrity Legs 26 - Karen Gillan, Jennifer Aniston, Gwen Stefani, Hailee Steinfeld, and more.","Best Celebrity Legs Volume 26. Amber Heard, Jennifer Aniston Julie Bowen, Karen Gillan and more sexy legs in high heels.

0:00 - Amber Heard
1:14 - Karen Gillan
1:43 - Jennifer Aniston
1:57 - Gwen Stefani
2:07 - Jennifer Aniston and Dolly Parton
2:17 - Hailee Steinfeld
2:47 - Hailee Steinfeld
4:05 - Julie Bowen

👀 Best Celebrity Legs -------  https://linktr.ee/onlyinhighheels

The talent includes Amber Heard in a short dress and Christian Louboutin stilettos, Jennifer Aniston in ankle strap high heels, Fergie showing off her sexy legs in a sheer dress, Hailee Steinfeld in a little black number, Julie Bowen shapely legs and Karen Gillan long legs in white pumps.",en,PT4M27S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,14230,75,0,8,,,
youtube#video,o-Klc9CxQmcNv3n1bAnyvWWj3Fs,ctqUp-KVC1o,2016-08-18T15:48:52Z,UCjVK0IKC-h04DV-rOSQQfnw,Johnny Depp Goes Off on Amber Heard... Hurls Wine Glass,I created this video with the YouTube Video Editor (http://www.youtube.com/editor),https://i.ytimg.com/vi/ctqUp-KVC1o/default.jpg,120,90,https://i.ytimg.com/vi/ctqUp-KVC1o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ctqUp-KVC1o/hqdefault.jpg,480,360,https://i.ytimg.com/vi/ctqUp-KVC1o/sddefault.jpg,640,480,Unofficial Kriti Sonan,['YouTube Editor'],22,none,Johnny Depp Goes Off on Amber Heard... Hurls Wine Glass,I created this video with the YouTube Video Editor (http://www.youtube.com/editor),,PT5M12S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,42,0,0,0,https://i.ytimg.com/vi/ctqUp-KVC1o/maxresdefault.jpg,1280.0,720.0
