kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.defaultAudioLanguage
youtube#video,Be6ru5Vutg9fzH90ftzse_VX-SA,BvZVXpEaDK4,2013-06-23T16:16:02Z,UCDiI1ixdQgsjqDc8PFBAlmQ,Major Lazer - Get Free feat. Amber (What So Not Remix) BACKSTAGE SAVAGES Bizart Magazine,"Réalisée par Jonas B (https://www.facebook.com/pages/Jonas-B-Production/354674761217759?fref=ts)
Backstage Jess Photography (https://www.facebook.com/JessPhotographyLyon?fref=ts) pour Bizart Magazine
Styliste / Modéliste : Lucile Hertzog
Hair Sylist / Assistant Styliste : Kevin Jacotot
Make up Artist : Chloé Paccard
Bijoutier / Assistant Vidéo : Boris Durier
Mannequins : Raya (Adrien Lebreton), Nicola Carray
Photographe Backstage : Heard 'N 'Seen",https://i.ytimg.com/vi/BvZVXpEaDK4/default.jpg,120,90,https://i.ytimg.com/vi/BvZVXpEaDK4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BvZVXpEaDK4/hqdefault.jpg,480,360,Jonas B.,"['major lazer', 'get free', 'what so not remix', 'backstage', 'jess photography', 'jonas b', 'bizart magazine', 'savages']",10,none,Major Lazer - Get Free feat. Amber (What So Not Remix) BACKSTAGE SAVAGES Bizart Magazine,"Réalisée par Jonas B (https://www.facebook.com/pages/Jonas-B-Production/354674761217759?fref=ts)
Backstage Jess Photography (https://www.facebook.com/JessPhotographyLyon?fref=ts) pour Bizart Magazine
Styliste / Modéliste : Lucile Hertzog
Hair Sylist / Assistant Styliste : Kevin Jacotot
Make up Artist : Chloé Paccard
Bijoutier / Assistant Vidéo : Boris Durier
Mannequins : Raya (Adrien Lebreton), Nicola Carray
Photographe Backstage : Heard 'N 'Seen",PT3M29S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,8945,26,0,2,,,,,,,
youtube#video,W_JmhXaIzZgHjNMOP0m8Z3NB8Fw,d8Due2SXX0k,2013-06-30T10:15:35Z,UC51BF1GF4A8rYupf_OzsYsQ,Johnny Depp and Amber Heard at backstage of Rolling Stones concert,Johnny Depp and Amber Heard at backstage of Rolling Stones concert june 27 2013,https://i.ytimg.com/vi/d8Due2SXX0k/default.jpg,120,90,https://i.ytimg.com/vi/d8Due2SXX0k/mqdefault.jpg,320,180,https://i.ytimg.com/vi/d8Due2SXX0k/hqdefault.jpg,480,360,JohnnyDeppRussia,"['johnny depp', 'amber heard', 'rolling stones']",22,none,Johnny Depp and Amber Heard at backstage of Rolling Stones concert,Johnny Depp and Amber Heard at backstage of Rolling Stones concert june 27 2013,PT52S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,5245,10,0,1,https://i.ytimg.com/vi/d8Due2SXX0k/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/d8Due2SXX0k/maxresdefault.jpg,1280.0,720.0,
youtube#video,69O_uxnultyf2PBN2T4nsFHOBSo,iUiAZXzIMvE,2020-10-10T03:20:02Z,UCS7fkAtgKoJAgoujvNrWIIA,NEW DAY SPLIT IN WWE DRAFT NIGHT ONE SmackDown Full Show 10/9/20 Results & Review | Fightful Podcast,"Sean Ross Sapp (@SeanRossSapp) and Jeremy Lambert (@JeremyLambert88) talk Smackdown for October 9

- The DRAFT
- Backstage News
- Your Questions

To directly support us and our continuing breaking news, interviews, and the like, subscribe to FightfulSelect.com. You'll get exclusive news sent to you directly before anyone else, and dozens of podcasts monthly including Alex Pawlowski's Sour Graps, Sean Ross Sapp's Q&A, Retro Reviews and more

FOLLOW US ON TWITTER
►Fightful: www.Twitter.com/Fightful
►Wrestling: www.Twitter.com/FightfulWrestle
►MMA: www.Twitter.com/FightfulMMA
►SRS: www.Twitter.com/SeanRossSapp
►Warren: www.Twitter.com/MrWarrenHayes
►Jimmy: www.Twitter.com/JimmyVan74
►Alex: www.Twitter.com/AlexSourGraps
►Jeremy: www.Twitter.com/JeremyLambert88
►Denise: www.Twitter.com/_DeniseSalcedo
►Carlos: www.Twitter.com/CarlosToro360
►Robert: www.Twitter.com/DudeFelice

Check us out on social media
Facebook: ► www.Facebook.com/FightfulOnline
Instagram: ► www.Instagram.com/FightfulOnline

Our awesome merch!
► Shop: Shop.Fightful.com

Fightful.com and Fightful Wrestling bring you accurate news, exclusive interviews, podcasts in a professional, but entertaining setting. We've interviewed the biggest names across WWE, AEW, ROH, NJPW, UFC, Bellator and more!",https://i.ytimg.com/vi/iUiAZXzIMvE/default.jpg,120,90,https://i.ytimg.com/vi/iUiAZXzIMvE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/iUiAZXzIMvE/hqdefault.jpg,480,360,"Fightful Wrestling - WWE, AEW,  Reviews & News","['fightful', 'fightful.com', 'fightful podcasts', 'wrestling podcasts', 'wwe podcasts', 'wwe podcast', 'sean ross sapp', 'smackdown', 'smackdown review', 'smackdown podcast', 'post smackdown', 'wwe smackdown full show', 'wwe smackdown live highlights', 'wwe smackdown live this week', 'bayley', 'sasha banks', 'wwe smackdown highlights', 'wwe smackdown 2020', 'roman reigns', 'sasha banks vs. bayley', 'wwe draft', 'wwe draft results', 'wwe draft night 1', 'wwe smackdown october 9', '10-9-20', 'october 9 2020', 'sd live 10-9']",17,none,NEW DAY SPLIT IN WWE DRAFT NIGHT ONE SmackDown Full Show 10/9/20 Results & Review | Fightful Podcast,"Sean Ross Sapp (@SeanRossSapp) and Jeremy Lambert (@JeremyLambert88) talk Smackdown for October 9

- The DRAFT
- Backstage News
- Your Questions

To directly support us and our continuing breaking news, interviews, and the like, subscribe to FightfulSelect.com. You'll get exclusive news sent to you directly before anyone else, and dozens of podcasts monthly including Alex Pawlowski's Sour Graps, Sean Ross Sapp's Q&A, Retro Reviews and more

FOLLOW US ON TWITTER
►Fightful: www.Twitter.com/Fightful
►Wrestling: www.Twitter.com/FightfulWrestle
►MMA: www.Twitter.com/FightfulMMA
►SRS: www.Twitter.com/SeanRossSapp
►Warren: www.Twitter.com/MrWarrenHayes
►Jimmy: www.Twitter.com/JimmyVan74
►Alex: www.Twitter.com/AlexSourGraps
►Jeremy: www.Twitter.com/JeremyLambert88
►Denise: www.Twitter.com/_DeniseSalcedo
►Carlos: www.Twitter.com/CarlosToro360
►Robert: www.Twitter.com/DudeFelice

Check us out on social media
Facebook: ► www.Facebook.com/FightfulOnline
Instagram: ► www.Instagram.com/FightfulOnline

Our awesome merch!
► Shop: Shop.Fightful.com

Fightful.com and Fightful Wrestling bring you accurate news, exclusive interviews, podcasts in a professional, but entertaining setting. We've interviewed the biggest names across WWE, AEW, ROH, NJPW, UFC, Bellator and more!",PT1H15S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,6867,306,0,39,https://i.ytimg.com/vi/iUiAZXzIMvE/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/iUiAZXzIMvE/maxresdefault.jpg,1280.0,720.0,en-US
youtube#video,6JXFT0u5Sz5tFNudkIWVjoqYy54,_SBiiHm2xgM,2013-12-09T08:21:08Z,UCJ7LKwgheOe8OHD5YWnlPUg,Amber Riley at TrevorLive! Red Carpet | What's Trending LIVE,"The Trevor Project's 15th Annual Trevor Live Gala- Amber Riley talks about her journey through bullying and Hollywood explaining that shaking hands and your given gifts will guide your future. Subscribe for more videos: http://full.sc/NfhdwD

Tweet to share this video and raise awareness:
You have to watch this interview with @MsAmberPRiley‎ at @WhatsTrending @TrevorProject #TrevorLive

Follow Trevor Project:
https://www.thetrevorproject.org/‎
https://twitter.com/TrevorProject‎

Follow and subscribe to our hosts Tyler Oakley and Shira Lazar:
https://www.youtube.com/user/tyleroakley‎
https://twitter.com/tyleroakley‎
https://twitter.com/shiralazar‎

Follow us on Twitter for real-time updates!
http://www.twitter.com/whatstrending

Like us on Facebook!
http://www.facebook.com/WhatsTrending

Add us to your circles on Google+!
https://plus.google.com/+WhatsTrending

Sign-up to our newsletter for the hottest videos straight to your inbox!
http://bit.ly/wtnewsletter

Edited By: Andrew Zenn",https://i.ytimg.com/vi/_SBiiHm2xgM/default.jpg,120,90,https://i.ytimg.com/vi/_SBiiHm2xgM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/_SBiiHm2xgM/hqdefault.jpg,480,360,What's Trending,"[""What's Trending"", 'trending now', 'hot on youtube', 'Amber Riley (TV Actor)', 'Glee (TV Program)', 'red carpet', 'tyler oakley', 'Shira Lazar (TV Producer)', 'Suicide (Cause Of Death)', 'suicide help line', 'LGBT (TV Genre)']",24,none,Amber Riley at TrevorLive! Red Carpet | What's Trending LIVE,"The Trevor Project's 15th Annual Trevor Live Gala- Amber Riley talks about her journey through bullying and Hollywood explaining that shaking hands and your given gifts will guide your future. Subscribe for more videos: http://full.sc/NfhdwD

Tweet to share this video and raise awareness:
You have to watch this interview with @MsAmberPRiley‎ at @WhatsTrending @TrevorProject #TrevorLive

Follow Trevor Project:
https://www.thetrevorproject.org/‎
https://twitter.com/TrevorProject‎

Follow and subscribe to our hosts Tyler Oakley and Shira Lazar:
https://www.youtube.com/user/tyleroakley‎
https://twitter.com/tyleroakley‎
https://twitter.com/shiralazar‎

Follow us on Twitter for real-time updates!
http://www.twitter.com/whatstrending

Like us on Facebook!
http://www.facebook.com/WhatsTrending

Add us to your circles on Google+!
https://plus.google.com/+WhatsTrending

Sign-up to our newsletter for the hottest videos straight to your inbox!
http://bit.ly/wtnewsletter

Edited By: Andrew Zenn",PT2M18S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,4853,69,0,2,https://i.ytimg.com/vi/_SBiiHm2xgM/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/_SBiiHm2xgM/maxresdefault.jpg,1280.0,720.0,
