kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,contentDetails.regionRestriction.blocked
youtube#video,xjHdHVZ062z2CyEfNm34AmgcrJw,00MEA_6rf9o,2019-04-18T14:06:32Z,UCMnEhf5JPtksYtBQs-_EKng,"Review ""Never Back Down"" - Film  Cerita  biasa Dengan Visual Luar Biasa","Never Back Down (2008)

IMDb Rate       : 6.6
Genres             : Action, Drama, Sport
Actors              : Sean Faris, Djimon Hounsou, Amber Heard
Directors          : Jeff Wadlow
Runtime           : 1h 50min
Release Date  : 14 Mar 2008
Countries        : USA

Yuk kita NontonLag! film ini....

Mohon maaf ya Sobat semuanya ada kesalahan dalam recording audio kami harap maklum karena ini konten pertama kami. Semoga kedepannya bisa lebih baik lagi. Jangan lupa Subcribe ya sobat semuanya..!!",https://i.ytimg.com/vi/00MEA_6rf9o/default.jpg,120,90,https://i.ytimg.com/vi/00MEA_6rf9o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/00MEA_6rf9o/hqdefault.jpg,480,360,https://i.ytimg.com/vi/00MEA_6rf9o/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/00MEA_6rf9o/maxresdefault.jpg,1280.0,720.0,Nontonlag! Chanel,"['Review Movie', 'Never Back Down', 'Film Lawas', 'Sean Faris', 'Djimon Hounsou', 'Amber Heard', 'nonton lagi', 'delete scene', 'hollywood', 'box office']",1,none,"Review ""Never Back Down"" - Film  Cerita  biasa Dengan Visual Luar Biasa","Never Back Down (2008)

IMDb Rate       : 6.6
Genres             : Action, Drama, Sport
Actors              : Sean Faris, Djimon Hounsou, Amber Heard
Directors          : Jeff Wadlow
Runtime           : 1h 50min
Release Date  : 14 Mar 2008
Countries        : USA

Yuk kita NontonLag! film ini....

Mohon maaf ya Sobat semuanya ada kesalahan dalam recording audio kami harap maklum karena ini konten pertama kami. Semoga kedepannya bisa lebih baik lagi. Jangan lupa Subcribe ya sobat semuanya..!!",id,PT5M45S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,375,11,0,0,
youtube#video,m7NyCGXpx9IaJ74zhYUJOv00E1o,2EeFd0P3-c8,2021-04-12T01:42:02Z,UC-Oq45Svs71V6i4hUzYUMFA,Four Fighters Train For The Beatdown  Never Back Down 2 The Beatdown,"Never Back Down is a 2008 American martial arts film directed by Jeff Wadlow and starring Sean Faris, Amber Heard, Cam Gigandet, and Djimon Hounsou.",https://i.ytimg.com/vi/2EeFd0P3-c8/default.jpg,120,90,https://i.ytimg.com/vi/2EeFd0P3-c8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2EeFd0P3-c8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2EeFd0P3-c8/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2EeFd0P3-c8/maxresdefault.jpg,1280.0,720.0,Plungeinto TV Promos,"['Never Back Down', 'Film series', 'Evan Peters', 'Amber Heard', 'Sean Faris', 'Cam Gigandet', 'MORE', 'Jake Tyler', 'Ryan McCarthy', 'Case Walker', 'Baja Miller', 'Jeff Wadlow', 'Michael Jai White']",1,none,Four Fighters Train For The Beatdown  Never Back Down 2 The Beatdown,"Never Back Down is a 2008 American martial arts film directed by Jeff Wadlow and starring Sean Faris, Amber Heard, Cam Gigandet, and Djimon Hounsou.",,PT2M45S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,22,0,0,0,
youtube#video,OEVGf6ze8sOPyNZW-XPGTRXZaLw,2REs_E7EjIM,2020-05-03T15:09:26Z,UC1UrIvQSN6kGBfpWM-FUlPw,Never Back Down - ACTION ROMANCE 🔥🔥🔥 MOVIE CLIP,"Never Back Down :
Never Back Down is a 2008 American martial arts film directed by Jeff Wadlow and starring Sean Faris, Amber Heard, Cam Gigandet, and Djimon Hounsou. The movie was released on March 14, 2008. The film is about a frustrated and conflicted teenager who arrives at a new high school to discover an underground fight club.",https://i.ytimg.com/vi/2REs_E7EjIM/default.jpg,120,90,https://i.ytimg.com/vi/2REs_E7EjIM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2REs_E7EjIM/hqdefault.jpg,480,360,,,,,,,THE Moive clips,"['Movieclips', 'Entertainment A1', 'New hollywood trailers']",1,none,Never Back Down - ACTION ROMANCE 🔥🔥🔥 MOVIE CLIP,"Never Back Down :
Never Back Down is a 2008 American martial arts film directed by Jeff Wadlow and starring Sean Faris, Amber Heard, Cam Gigandet, and Djimon Hounsou. The movie was released on March 14, 2008. The film is about a frustrated and conflicted teenager who arrives at a new high school to discover an underground fight club.",zxx,PT1M50S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,572,0,0,,"['AT', 'DE']"
youtube#video,OroSu3s3w9AkV5rrH_ZOW-Pw774,3Y0D9Rl9cuc,2019-03-01T17:21:27Z,UCHb1c6aP2AyH2GwklNASpmg,Neaver Back Down • Motivational Video • Inspiration Video,"Credit :-
Never Back Down is a 2008 martial arts film directed by Jeff Wadlow and starring Sean Faris, Amber Heard, Cam Gigandet, and Djimon Hounsou. 

NCS: 
Music Without Limitations NCS Spotify: http://spoti.fi/NCS Free Download / Stream: http://ncs.io/makememove 
Connect with NCS: Snapchat: ncsmusic • http://soundcloud.com/nocopyrightsounds • http://instagram.com/nocopyrightsounds • http://facebook.com/NoCopyrightSounds • http://twitter.com/NCSounds • 
http://spoti.fi/NCS

 Culture Code • https://soundcloud.com/culturecode • https://www.facebook.com/culturecodeuk • https://twitter.com/culturecodeuk

 Karra • https://soundcloud.com/iamkarramusic • https://www.facebook.com/karramusic • https://twitter.com/iamkarramusic 
Motivation video 
Inspiration video
Motivation video",https://i.ytimg.com/vi/3Y0D9Rl9cuc/default.jpg,120,90,https://i.ytimg.com/vi/3Y0D9Rl9cuc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3Y0D9Rl9cuc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3Y0D9Rl9cuc/sddefault.jpg,640.0,480.0,,,,Motivation Videos,"['motivation', '#motivation', '#fitness', '#gym', '#inspiration', '#workout', '#love', '#fit', '#lifestyle', '#bodybuilding', '#training', '#instagood', '#fitnessmotivation', '#life', '#health', '#fitfam', '#success', '#healthy', '#follow', '#quotes #like', '#motivationalquotes', '#gymlife', '#entrepreneur #goals', '#muscle', '#instagram', '#fitspo', '#photooftheday', '#happy', '#bhfyp']",24,none,Neaver Back Down • Motivational Video • Inspiration Video,"Credit :-
Never Back Down is a 2008 martial arts film directed by Jeff Wadlow and starring Sean Faris, Amber Heard, Cam Gigandet, and Djimon Hounsou. 

NCS: 
Music Without Limitations NCS Spotify: http://spoti.fi/NCS Free Download / Stream: http://ncs.io/makememove 
Connect with NCS: Snapchat: ncsmusic • http://soundcloud.com/nocopyrightsounds • http://instagram.com/nocopyrightsounds • http://facebook.com/NoCopyrightSounds • http://twitter.com/NCSounds • 
http://spoti.fi/NCS

 Culture Code • https://soundcloud.com/culturecode • https://www.facebook.com/culturecodeuk • https://twitter.com/culturecodeuk

 Karra • https://soundcloud.com/iamkarramusic • https://www.facebook.com/karramusic • https://twitter.com/iamkarramusic 
Motivation video 
Inspiration video
Motivation video",,PT3M15S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,61,1,0,0,"['AT', 'CH', 'DE']"
youtube#video,t8fZWJejYNcycQnSb-zkq0j5408,9lxl8xQznvc,2021-08-16T09:30:02Z,UCP_DVoWt6HbjlYt9F-Q4o5g,Summit Entertainment | Never Back Down (2008),"Never Back Down (2008) American martial arts film directed by Jeff Wadlow and starring Sean Faris, Amber Heard, Cam Gigandet, and Djimon Hounsou.

#MandalayIndependentPictures #SummitEntertainment #neverbackdowntitlecard

COPYRIGHT DISCLAIMER 

COPYRIGHT OWNERS

© Summit Entertainment
© Mandalay Independent Pictures

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""Fair Use"" for purposes such as criticism, comment, news reporting, teaching, scholarship,entertainment and research. Fair use is a use which is permitted by copyright statute that might otherwise be infringing. Non-Profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.

This YouTube Channel does not have any copyrights to all the videos uploaded. All videos are owned by its producers and the right authorities only. We are using your contents only for fans who needs to create slideshows, videos, celebration videos for their actors, actress, productions, 
distributions celebrations purpose only. If you find difficult on your contents please be free to inform us through comment section or via email, we will assure to delete the contents immediately.

WE DON'T OWN ANY COPYRIGHT FOR THE CLIPS IN THIS VIDEO. IF YOU WANT TO DELETE THIS VIDEO KINDLY RAISE COPYRIGHT CLAIM WE'LL REMOVE THIS VIDEO. PLEASE DON'T RAISE COPYRIGHT STRIKE. COPYRIGHTS BELONGS TO THE RESPECTIVE OWNERS ONLY.",https://i.ytimg.com/vi/9lxl8xQznvc/default.jpg,120,90,https://i.ytimg.com/vi/9lxl8xQznvc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9lxl8xQznvc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/9lxl8xQznvc/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/9lxl8xQznvc/maxresdefault.jpg,1280.0,720.0,Skull Network,,24,none,Summit Entertainment | Never Back Down (2008),"Never Back Down (2008) American martial arts film directed by Jeff Wadlow and starring Sean Faris, Amber Heard, Cam Gigandet, and Djimon Hounsou.

#MandalayIndependentPictures #SummitEntertainment #neverbackdowntitlecard

COPYRIGHT DISCLAIMER 

COPYRIGHT OWNERS

© Summit Entertainment
© Mandalay Independent Pictures

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""Fair Use"" for purposes such as criticism, comment, news reporting, teaching, scholarship,entertainment and research. Fair use is a use which is permitted by copyright statute that might otherwise be infringing. Non-Profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.

This YouTube Channel does not have any copyrights to all the videos uploaded. All videos are owned by its producers and the right authorities only. We are using your contents only for fans who needs to create slideshows, videos, celebration videos for their actors, actress, productions, 
distributions celebrations purpose only. If you find difficult on your contents please be free to inform us through comment section or via email, we will assure to delete the contents immediately.

WE DON'T OWN ANY COPYRIGHT FOR THE CLIPS IN THIS VIDEO. IF YOU WANT TO DELETE THIS VIDEO KINDLY RAISE COPYRIGHT CLAIM WE'LL REMOVE THIS VIDEO. PLEASE DON'T RAISE COPYRIGHT STRIKE. COPYRIGHTS BELONGS TO THE RESPECTIVE OWNERS ONLY.",,PT17S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,43,0,0,1,
youtube#video,wRJSILtwHEPdHDGSYJpA8kDDhnA,bftxx8hOZy0,2021-05-19T16:11:04Z,UCdCpHUqCtNqSw_lDZ-RUkuA,Never Back Down #WhatsAppstatus,"#Neverbackdown #NeverBackDown
#seanfaris #Amberheard #Camgigandet",https://i.ytimg.com/vi/bftxx8hOZy0/default.jpg,120,90,https://i.ytimg.com/vi/bftxx8hOZy0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bftxx8hOZy0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/bftxx8hOZy0/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/bftxx8hOZy0/maxresdefault.jpg,1280.0,720.0,Ramesh .C,,22,none,Never Back Down #WhatsAppstatus,"#Neverbackdown #NeverBackDown
#seanfaris #Amberheard #Camgigandet",,PT54S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1878,58,0,2,
youtube#video,UWN6K_wZeyoU9mGhPGf-km-r2x4,c2JWKBh3uHc,2020-05-27T06:53:13Z,UCqlQbkAu9B_n4xEeFRKnqAQ,Speed Drawing - Amber Heard. Aquaman. Never back down.,,https://i.ytimg.com/vi/c2JWKBh3uHc/default.jpg,120,90,https://i.ytimg.com/vi/c2JWKBh3uHc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/c2JWKBh3uHc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/c2JWKBh3uHc/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/c2JWKBh3uHc/maxresdefault.jpg,1280.0,720.0,Speed Drawing,,22,none,Speed Drawing - Amber Heard. Aquaman. Never back down.,,,PT1M33S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,23,0,0,0,
youtube#video,SQotgCM3Ri0mhLyrxE9DCpfYzow,E5l19hHl6MA,2020-03-23T15:13:00Z,UCdNTX9ocMgQ-zBA7TM_oU8g,"Never Back Down (Mai Arrendersi) - Lotta, Party e Ragazze","Scene Tratte dal Film : ""Never Back Down (Mai Arrendersi)"" Usa 2008 con : 
Sean Faris, Cam Gigandet, Amber Heard, Djimon Hounsou, Evan Peters, Gared Bennett.
Jake Tyler (Sean Faris) vive un momento di profonda crisi dopo essere stato cacciato ingiustamente dalla squadra di football, unica ancora di salvezza dopo il trauma causato dalla morte del padre. I problemi aumentano quando Jake e suo fratello Charlie sono costretti a seguire la madre ad Orlando, subendo lo shock di doversi ambientare in una nuova scuola. Qui, il ragazzo cattura l'attenzione della bella Baja Miller (Amber Heard) e scopre un giro di combattimenti clandestini gestiti dal fidanzato della ragazza Ryan (Cam Gigandet). Il compagno di classe Max Cooperman (Evan Peters), avendo scoperto i trascorsi di Jake, invita il nuovo arrivato a prendere lezioni di arti marziali mentre Ryan, infastidito dalle attenzioni che Baja riserva al rivale, lo sfida a dimostrare le sue doti nel combattimento. Inizialmente, Jake rifiuta lo scontro e sopporta le provocazioni del bullo. Ma quando Ryan sbeffeggia il padre defunto, il ragazzo perde la lucidità e cerca lo scontro, pur consapevole delle scarse probabilità di vittoria. Dopo il combattimento, che ha visto Ryan trionfare, Max propone nuovamente all'amico di prendere lezioni dal formidabile maestro Jean Roqua (Djimon Hounsou). Jake inizia così un percorso fisico ed interiore che lo porterà a riuscire a controllare le sue emozione e a dimostrare che non ha intenzione di arrendersi mai.

- QUESTO VIDEO NON E' A SCOPO DI LUCRO
- THIS VIDEO IS NO PROFIT

- Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.",https://i.ytimg.com/vi/E5l19hHl6MA/default.jpg,120,90,https://i.ytimg.com/vi/E5l19hHl6MA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/E5l19hHl6MA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/E5l19hHl6MA/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/E5l19hHl6MA/maxresdefault.jpg,1280.0,720.0,EdenClipMovie,"['never back down', 'mai arrendersi film', 'never back down movie', 'never back down ita', 'never back down 2', 'never back down 3', 'shirtless', 'shirtless boys', 'sex scene', 'lesbian kiss scene', 'hot scene movie', 'film arti marziali', 'martial arts movie', 'film di kickboxer', 'film di karate', 'kickboxer', 'gay boys', 'hot boys', 'ragazzi hot', 'homem gostosos sin camisa', 'never back down final scene', 'never back down scena finale', 'girls on bikini', 'fight scene', 'scene di lotta', 'combattimenti']",22,none,"Never Back Down (Mai Arrendersi) - Lotta, Party e Ragazze","Scene Tratte dal Film : ""Never Back Down (Mai Arrendersi)"" Usa 2008 con : 
Sean Faris, Cam Gigandet, Amber Heard, Djimon Hounsou, Evan Peters, Gared Bennett.
Jake Tyler (Sean Faris) vive un momento di profonda crisi dopo essere stato cacciato ingiustamente dalla squadra di football, unica ancora di salvezza dopo il trauma causato dalla morte del padre. I problemi aumentano quando Jake e suo fratello Charlie sono costretti a seguire la madre ad Orlando, subendo lo shock di doversi ambientare in una nuova scuola. Qui, il ragazzo cattura l'attenzione della bella Baja Miller (Amber Heard) e scopre un giro di combattimenti clandestini gestiti dal fidanzato della ragazza Ryan (Cam Gigandet). Il compagno di classe Max Cooperman (Evan Peters), avendo scoperto i trascorsi di Jake, invita il nuovo arrivato a prendere lezioni di arti marziali mentre Ryan, infastidito dalle attenzioni che Baja riserva al rivale, lo sfida a dimostrare le sue doti nel combattimento. Inizialmente, Jake rifiuta lo scontro e sopporta le provocazioni del bullo. Ma quando Ryan sbeffeggia il padre defunto, il ragazzo perde la lucidità e cerca lo scontro, pur consapevole delle scarse probabilità di vittoria. Dopo il combattimento, che ha visto Ryan trionfare, Max propone nuovamente all'amico di prendere lezioni dal formidabile maestro Jean Roqua (Djimon Hounsou). Jake inizia così un percorso fisico ed interiore che lo porterà a riuscire a controllare le sue emozione e a dimostrare che non ha intenzione di arrendersi mai.

- QUESTO VIDEO NON E' A SCOPO DI LUCRO
- THIS VIDEO IS NO PROFIT

- Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.",,PT8M59S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,6201,52,0,1,['CA']
youtube#video,gX6H-WWvNcQa9zWh6GJ-rCnl53M,MhxDKjY9TDo,2019-06-13T10:14:46Z,UC8i06fMvXsXaXNcVE6j3OGA,Hollywood Romantic Scene | َAmber Heard & Sean Faris | Never Back Down(2008) 浪漫的場景 ロマンチックなシーン 12,"#Drama and Affair Scene, Hollywood actress #AmberHeard kissing and #makinglove with Sean Faris in Never Back Down  (2008).",https://i.ytimg.com/vi/MhxDKjY9TDo/default.jpg,120,90,https://i.ytimg.com/vi/MhxDKjY9TDo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/MhxDKjY9TDo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/MhxDKjY9TDo/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/MhxDKjY9TDo/maxresdefault.jpg,1280.0,720.0,Dram&Hot&Adoult Hollywood's Clips World,"['Jeff Wadlow', 'Chris Hauty', 'Sean Faris', 'Amber Heard', 'Cam Gigandet', 'tough guy', 'fighting movie', '2008 movie', 'Teenager Fighting', 'Fight', 'tap out', 'Drama Scene', 'Never Back Down', 'making love', 'affair', 'actress affair', 'Romantic Scene', 'kissing']",1,none,Hollywood Romantic Scene | َAmber Heard & Sean Faris | Never Back Down(2008) 浪漫的場景 ロマンチックなシーン 12,"#Drama and Affair Scene, Hollywood actress #AmberHeard kissing and #makinglove with Sean Faris in Never Back Down  (2008).",,PT3M59S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,13442,48,0,0,"['AT', 'DE']"
youtube#video,WZ5W7wB9wrVoc61Du3s5aBG1-DQ,oNtD-uKwEIs,2013-11-14T00:51:43Z,UCYu6Is5HtFC25cQTRkVSKsA,Never Back Down OST,"Never Back Down (also known as The Fighters) is a 2008 action film starring Sean Faris, Amber Heard, Cam Gigandet, and Djimon Hounsou.

Music by Tyler Barker

Plot: Jake Tyler (Sean Faris) has recently moved from Iowa to Orlando, Florida with his mother, Margret (Leslie Hope), and younger brother, Charlie (Wyatt Smith), to support Charlie's shot at a professional tennis career. Jake was a star athlete on the football team at home, but in this new city, he is an outsider with a reputation for being a quick tempered brawler after an internet video of him starting a fight circulates around his new school.",https://i.ytimg.com/vi/oNtD-uKwEIs/default.jpg,120,90,https://i.ytimg.com/vi/oNtD-uKwEIs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/oNtD-uKwEIs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/oNtD-uKwEIs/sddefault.jpg,640.0,480.0,,,,Banda Sonora de Películas BRANDON ROSH,"['Never Back Down (Film)', 'Soundtrack (Musical Album Type)', 'Never Back Down Soundtrack']",1,none,Never Back Down OST,"Never Back Down (also known as The Fighters) is a 2008 action film starring Sean Faris, Amber Heard, Cam Gigandet, and Djimon Hounsou.

Music by Tyler Barker

Plot: Jake Tyler (Sean Faris) has recently moved from Iowa to Orlando, Florida with his mother, Margret (Leslie Hope), and younger brother, Charlie (Wyatt Smith), to support Charlie's shot at a professional tennis career. Jake was a star athlete on the football team at home, but in this new city, he is an outsider with a reputation for being a quick tempered brawler after an internet video of him starting a fight circulates around his new school.",,PT4M45S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,3755,25,0,0,
