kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,contentDetails.contentRating.ytRating,contentDetails.regionRestriction.blocked,snippet.defaultAudioLanguage,snippet.defaultLanguage
youtube#video,tTcHAII5fK-gebvhEgnn_VPFpQ0,1QIk-ULToAE,2011-11-14T06:48:07Z,UCO5vtkTKXRT3F5VpSDGHc4A,Jensen Ackles + Amber Heard - I Will Remember You,,https://i.ytimg.com/vi/1QIk-ULToAE/default.jpg,120,90,https://i.ytimg.com/vi/1QIk-ULToAE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1QIk-ULToAE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1QIk-ULToAE/sddefault.jpg,640.0,480.0,AriaApril,"['Jensen', 'Ackles', 'Amber', 'Heard', 'Will', 'Remember', 'You']",24,none,Jensen Ackles + Amber Heard - I Will Remember You,,PT4M44S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,3988,43,0,2,,,,,,,
youtube#video,iI19Dja38ez5DgvXBCQzVsRxQk4,1Y-YTeJlVo8,2012-03-09T18:29:23Z,UCvnCHJo_xCj9TRhLjY-LHjQ,Amber Heard - and it's really nice but you don't understand,lv her !,https://i.ytimg.com/vi/1Y-YTeJlVo8/default.jpg,120,90,https://i.ytimg.com/vi/1Y-YTeJlVo8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1Y-YTeJlVo8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1Y-YTeJlVo8/sddefault.jpg,640.0,480.0,belikovXlove,"['amber', 'heard']",10,none,Amber Heard - and it's really nice but you don't understand,lv her !,PT1M21S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,821,10,0,1,https://i.ytimg.com/vi/1Y-YTeJlVo8/maxresdefault.jpg,1280.0,720.0,,,,
youtube#video,-CcavU9iem5FjLuJltxw2n1vbF0,34VGvfSIX34,2013-10-25T23:54:29Z,UCyCgellqFR6pWng-pO2Uscw,Jensen Ackles and Amber Heard,I do not own any of the clips or the song.,https://i.ytimg.com/vi/34VGvfSIX34/default.jpg,120,90,https://i.ytimg.com/vi/34VGvfSIX34/mqdefault.jpg,320,180,https://i.ytimg.com/vi/34VGvfSIX34/hqdefault.jpg,480,360,https://i.ytimg.com/vi/34VGvfSIX34/sddefault.jpg,640.0,480.0,TinyTurtle11,"['Amber Heard', 'Jensen Ackles', 'jensen ackles', 'jensen', 'ackles', 'Amber', 'Heard', 'amber heard', 'Jensen', 'Ackles', 'ship', 'shipping', 'Jensen and Amber', 'Amber and Jensen', 'Amber Heard and Jensen Ackles', 'Jensen Ackles and Amber Heard']",24,none,Jensen Ackles and Amber Heard,I do not own any of the clips or the song.,PT2M59S,2d,sd,false,False,rectangular,processed,public,youtube,True,False,False,6841,99,0,1,,,,,,,
youtube#video,1Ek3W5p-OOvswlP_UjWo-n962w0,4D6pwJt6oF0,2021-06-11T08:22:31Z,UC6NwbkQEGuHNAqUfFzGJ9mA,Aquaman Whatappstatus Amberheard😍💖💖//#Aquaman #Amberheard,Remember to subcribe chaneel Like and Share Thanks for watching #Amberheard #Aquaman #Whatappstatus             Ameberheard Aquaman Whatappstatus    AmberheardEdits,https://i.ytimg.com/vi/4D6pwJt6oF0/default.jpg,120,90,https://i.ytimg.com/vi/4D6pwJt6oF0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4D6pwJt6oF0/hqdefault.jpg,480,360,,,,WhattApp Boy,,22,none,Aquaman Whatappstatus Amberheard😍💖💖//#Aquaman #Amberheard,Remember to subcribe chaneel Like and Share Thanks for watching #Amberheard #Aquaman #Whatappstatus             Ameberheard Aquaman Whatappstatus    AmberheardEdits,PT23S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,534,29,0,0,,,,,,,
youtube#video,on-khfw7_Mw5SDTnD95mjOncBpk,4z7iUb-fp0w,2020-11-22T22:33:03Z,UC5fudabCdv-OQjc2h5Cz3Lg,Amber heard tendra su propia película como mera? Michael b Jordan el hombre más sexy del mundo,,https://i.ytimg.com/vi/4z7iUb-fp0w/default.jpg,120,90,https://i.ytimg.com/vi/4z7iUb-fp0w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4z7iUb-fp0w/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4z7iUb-fp0w/sddefault.jpg,640.0,480.0,Poder Friki,"['Marvel', 'Michaelbjordan', 'Michael B Jordan', 'Amber', 'Heard', 'Amber heard', 'mera', 'sexys man alive', '2020', 'msmarvel', 'ms Marvel', 'Deadpool']",22,none,Amber heard tendra su propia película como mera? Michael b Jordan el hombre más sexy del mundo,,PT6M17S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,13,3,0,0,https://i.ytimg.com/vi/4z7iUb-fp0w/maxresdefault.jpg,1280.0,720.0,,,,
youtube#video,D-4hI0nswGy5hT0wjZT-UznxSQA,6D0QHvNA-Kk,2021-11-26T11:59:41Z,UCfSoc7oOJXbQQNxywkQlN5Q,The Informers - Red Band Trailer (2009) Amber Heard,,https://i.ytimg.com/vi/6D0QHvNA-Kk/default.jpg,120,90,https://i.ytimg.com/vi/6D0QHvNA-Kk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6D0QHvNA-Kk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6D0QHvNA-Kk/sddefault.jpg,640.0,480.0,Daci,,22,none,The Informers - Red Band Trailer (2009) Amber Heard,,PT1M55S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,41,2,0,0,https://i.ytimg.com/vi/6D0QHvNA-Kk/maxresdefault.jpg,1280.0,720.0,ytAgeRestricted,,,
youtube#video,D3ZZNHoP1HVbGYGP8WQT8aXJ53E,9ML292DDPWs,2011-03-25T10:35:20Z,UChGY6mJiap7Gr5CtmmFxr7A,amber heard,"My first video.
Amber is a great actress, and i had a lot of her movies. 
So why not?",https://i.ytimg.com/vi/9ML292DDPWs/default.jpg,120,90,https://i.ytimg.com/vi/9ML292DDPWs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9ML292DDPWs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/9ML292DDPWs/sddefault.jpg,640.0,480.0,cutclipper,"['Amber heard', 'Tal Bachman', ""She's so high"", 'And soon the darknes', 'All the boys love mandy lane', 'the jonesens', 'Hidden palms', 'Never back down', 'Remember The.Daze', 'kisses', 'movie kisses movie film']",1,none,amber heard,"My first video.
Amber is a great actress, and i had a lot of her movies. 
So why not?",PT3M39S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,15720,32,0,8,https://i.ytimg.com/vi/9ML292DDPWs/maxresdefault.jpg,1280.0,720.0,,"['AD', 'BL', 'FR', 'GF', 'GP', 'MC', 'MF', 'MG', 'MQ', 'MU', 'NC', 'PF', 'PM', 'RE', 'TF', 'WF', 'YT']",,
youtube#video,mRllWWBJGiiRNKqrzqCT2cz2jFU,ADuOomOgTmo,2020-09-16T19:15:00Z,UCXrhM5_Z11LvlvICp7T7_Dw,Amber Heard On red carpet,"#HollywoodMonstersAmberHeard  #AmberHeard


Amber Heard On red carpet
Amber Heard On #red_carpet
Amber Heard On red carpet












































































""Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.",https://i.ytimg.com/vi/ADuOomOgTmo/default.jpg,120,90,https://i.ytimg.com/vi/ADuOomOgTmo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ADuOomOgTmo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/ADuOomOgTmo/sddefault.jpg,640.0,480.0,Hollywood Monsters,"['amber heard', 'amber', 'heard']",22,none,Amber Heard On red carpet,"#HollywoodMonstersAmberHeard  #AmberHeard


Amber Heard On red carpet
Amber Heard On #red_carpet
Amber Heard On red carpet












































































""Copyright Disclaimer under Section 107 of the copyright act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.",PT20S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,280,4,0,4,,,,,,en,
youtube#video,CTeC8aobz2pVpujiK1BMvNAnJYA,Ds-hKlm76gA,2018-08-28T18:16:47Z,UC4uK3IPloTgeAqsr2xuaGzQ,AMBER HEARD FOTOS,,https://i.ytimg.com/vi/Ds-hKlm76gA/default.jpg,120,90,https://i.ytimg.com/vi/Ds-hKlm76gA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Ds-hKlm76gA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Ds-hKlm76gA/sddefault.jpg,640.0,480.0,celebrity photos,"['Hevellin', 'Rosendo']",22,none,AMBER HEARD FOTOS,,PT3M32S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,1566,25,0,0,,,,,,,
youtube#video,lYDJGhhMQXzKZsEPg6mzf8W1o0U,EtBJC6njiMM,2020-07-15T15:00:04Z,UCfmwiL5YxPF0WPwOWCYGDtw,Johnny Depp insulted by Amber Heard during Bahamas trip says his employee,"This is a news channel dedicated to providing news and my perspective of that topic. Please remember to like, comment and subscribe. I would love to hear what you think?",https://i.ytimg.com/vi/EtBJC6njiMM/default.jpg,120,90,https://i.ytimg.com/vi/EtBJC6njiMM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/EtBJC6njiMM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/EtBJC6njiMM/sddefault.jpg,640.0,480.0,Galeblade127,"['news', 'gale blade news', 'Johnny Depp', 'Amber Heard', 'News Group Newspapers', 'estate manager', 'Ms Roberts']",25,none,Johnny Depp insulted by Amber Heard during Bahamas trip says his employee,"This is a news channel dedicated to providing news and my perspective of that topic. Please remember to like, comment and subscribe. I would love to hear what you think?",PT5M24S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,7,0,0,0,https://i.ytimg.com/vi/EtBJC6njiMM/maxresdefault.jpg,1280.0,720.0,,,en-GB,
