kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.defaultAudioLanguage
youtube#video,J17GNO5cc2wYXUM45_93wcSbSc4,8Xnp1Bjj8ms,2020-07-11T11:01:22Z,UCkccyEbqhhM3uKOI6Shm-4Q,Johnny Depp | Actor se defiende de acusaciones de maltrato a su exesposa,"#JohnnyDepp #AmberHeard #Maltrato
Excesos con drogas y una relación matrimonial tormentosa. Detalles de la vida del actor Johnny Depp han quedado al descubierto en el juicio contra el medio ""The Sun"". El protagonista de ""El hombre manos de tijera"" acusa ""difamación"" por un titular donde lo acusan de ""maltratador de esposas"". 
- Suscríbete a nuestro canal de YouTube https://bit.ly/2Xm4Utd
- Síguenos en nuestro Facebook https://www.facebook.com/meganoticiascl/
- Síguenos en nuestro Instagram https://www.instagram.com/meganoticiascl/
- Síguenos en nuestro Twitter https://twitter.com/meganoticiascl
- Más información en http://www.meganoticias.cl",https://i.ytimg.com/vi/8Xnp1Bjj8ms/default.jpg,120,90,https://i.ytimg.com/vi/8Xnp1Bjj8ms/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8Xnp1Bjj8ms/hqdefault.jpg,480,360,https://i.ytimg.com/vi/8Xnp1Bjj8ms/sddefault.jpg,640.0,480.0,Meganoticias,"['Soledad Onetto', 'Juan Manuel Astorga', 'José Luis Reppening', 'Andrea Arístegui', 'Priscilla Vargas', 'Rodrigo Sepúlveda', 'Meganoticias', 'en vivo']",28,none,Johnny Depp | Actor se defiende de acusaciones de maltrato a su exesposa,"#JohnnyDepp #AmberHeard #Maltrato
Excesos con drogas y una relación matrimonial tormentosa. Detalles de la vida del actor Johnny Depp han quedado al descubierto en el juicio contra el medio ""The Sun"". El protagonista de ""El hombre manos de tijera"" acusa ""difamación"" por un titular donde lo acusan de ""maltratador de esposas"". 
- Suscríbete a nuestro canal de YouTube https://bit.ly/2Xm4Utd
- Síguenos en nuestro Facebook https://www.facebook.com/meganoticiascl/
- Síguenos en nuestro Instagram https://www.instagram.com/meganoticiascl/
- Síguenos en nuestro Twitter https://twitter.com/meganoticiascl
- Más información en http://www.meganoticias.cl",PT2M45S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,2556,29,0,23,,,,
youtube#video,hpgm9U1VFizhCsNqRQBotYmO4OY,a3zv_n4E5Jk,2021-01-01T15:34:03Z,UCBxoSocfOaR5dgkeQsLa_Tg,John  Depp with Amber Heard won best Actor with his famous theme Pirates of the Caribbean,"Among his numerous competitive awards, he has won the Screen Actors Guild Award for Outstanding Actor in a Leading Role for Pirates of the Caribbean: The Curse of the Black Pearl (2003), and the Golden Globe Award for Best Actor - Motion Picture Musical or Comedy for Sweeney Todd: The Demon Barber of Fleet Street. He is also a three-time Academy Award nominee.

#johnnydepp. #piratesofthecaribbean    #captain #jacksparow #award #globalwinner. #Bgm #songforringtone #ringtone  #themesong",https://i.ytimg.com/vi/a3zv_n4E5Jk/default.jpg,120,90,https://i.ytimg.com/vi/a3zv_n4E5Jk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/a3zv_n4E5Jk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/a3zv_n4E5Jk/sddefault.jpg,640.0,480.0,Rohan Adivarekar,,17,none,John  Depp with Amber Heard won best Actor with his famous theme Pirates of the Caribbean,"Among his numerous competitive awards, he has won the Screen Actors Guild Award for Outstanding Actor in a Leading Role for Pirates of the Caribbean: The Curse of the Black Pearl (2003), and the Golden Globe Award for Best Actor - Motion Picture Musical or Comedy for Sweeney Todd: The Demon Barber of Fleet Street. He is also a three-time Academy Award nominee.

#johnnydepp. #piratesofthecaribbean    #captain #jacksparow #award #globalwinner. #Bgm #songforringtone #ringtone  #themesong",PT1M6S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,True,39,2,0,0,https://i.ytimg.com/vi/a3zv_n4E5Jk/maxresdefault.jpg,1280.0,720.0,
youtube#video,vBfVJ64J1zIqtfqQwHc7u4JRH84,B0T0FspKLpQ,2016-06-09T13:39:35Z,UCdyDPjVFu6YlvfiAS8w-wlA,Johnny Depp’s pal Benicio Del Toro on abuse claims: Amber Heard ‘sounds a little manipulat,"Johnny Depp's pal Benicio Del Toro is skeptical of Amber Heard's bombshell domestic abuse allegations. “What I know, there's a lot of trouble from the girl that .",https://i.ytimg.com/vi/B0T0FspKLpQ/default.jpg,120,90,https://i.ytimg.com/vi/B0T0FspKLpQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/B0T0FspKLpQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/B0T0FspKLpQ/sddefault.jpg,640.0,480.0,Khila Kasweta,"['New York Daily News', 'Johnny Depp', 'Benicio Del Toro']",25,none,Johnny Depp’s pal Benicio Del Toro on abuse claims: Amber Heard ‘sounds a little manipulat,"Johnny Depp's pal Benicio Del Toro is skeptical of Amber Heard's bombshell domestic abuse allegations. “What I know, there's a lot of trouble from the girl that .",PT1M32S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,83,0,0,0,https://i.ytimg.com/vi/B0T0FspKLpQ/maxresdefault.jpg,1280.0,720.0,
youtube#video,dJtJQNpF-ECaz8KHfNaOdj1AhfI,I8IzY7D1k8w,2021-07-09T09:21:15Z,UC8rjH5CYrHcAP-N1ZGI5ArA,👉New😍Amber Heard😍_ 32 photos clips_ beat music_ full screen whatsapp status 👆👆,"Song: DayFox - Kyte High (Instrumental)
Music provided by Vlog No Copyright Music.
Video Link: https://youtu.be/ey25EapXgxU


      ______  🙏 Like & Subscribe 🙏______

1 - New video status full screen. 

2 - Hollywood James, female actors video status.                                                            

3 - Bollywood female actors video status. 

4 - Tollywood James, female actors video status.

5  - big you tuber video status.

6 -  photos beat music video status.

7 - James, Female singers video status. 

8 - all song no copyright music injoy this video.

9 - 4k ultra hd full screen status video.",https://i.ytimg.com/vi/I8IzY7D1k8w/default.jpg,120,90,https://i.ytimg.com/vi/I8IzY7D1k8w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/I8IzY7D1k8w/hqdefault.jpg,480,360,,,,Royal 1k status,,22,none,👉New😍Amber Heard😍_ 32 photos clips_ beat music_ full screen whatsapp status 👆👆,"Song: DayFox - Kyte High (Instrumental)
Music provided by Vlog No Copyright Music.
Video Link: https://youtu.be/ey25EapXgxU


      ______  🙏 Like & Subscribe 🙏______

1 - New video status full screen. 

2 - Hollywood James, female actors video status.                                                            

3 - Bollywood female actors video status. 

4 - Tollywood James, female actors video status.

5  - big you tuber video status.

6 -  photos beat music video status.

7 - James, Female singers video status. 

8 - all song no copyright music injoy this video.

9 - 4k ultra hd full screen status video.",PT34S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,169,5,0,1,,,,
youtube#video,OD6Os1lE9DKVJQB1OrrOCt9fzjk,jeMLzY3lTeU,2020-10-20T18:18:08Z,UCaqWE7d5A3A-YRXHOy4-C0w,Sia sostiene Johnny Depp contro Amber Heard: “È lui la vittima”,"ISCRIVITI AL CANALE DI TENACEMENTE - Subscribe to the channel: https://www.youtube.com/channel/UCaqWE7d5A3A-YRXHOy4-C0w?sub_confirmation=1

SITO: https://tenacemente.com

Sia sostiene Johnny Depp contro Amber Heard: “È lui la vittima”: https://tenacemente.com/2020/10/20/usa-johnny-depp-sia/

Sia voices support for Johnny Depp in bitter Amber Heard court battle: https://tenacemente.com/2020/10/20/usa-johnny-depp-sia/

#JohnnyDepp #Sia #AmberHeard #jhonny #disney #celebs #people #news #notizia #gossip #cinema #film #hollywood #attori #actor #actress #actors #stars #celebrity #star #movies

SITO: https://tenacemente.com

ISCRIVITI AL CANALE DI TENACEMENTE - Subscribe to the channel: https://www.youtube.com/channel/UCaqWE7d5A3A-YRXHOy4-C0w?sub_confirmation=1

UNISCITI A NOI! ISCRIVITI anche tu GRATIS: http://bit.ly/2YuiKPs",https://i.ytimg.com/vi/jeMLzY3lTeU/default.jpg,120,90,https://i.ytimg.com/vi/jeMLzY3lTeU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/jeMLzY3lTeU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/jeMLzY3lTeU/sddefault.jpg,640.0,480.0,Tenacemente - GOSSIP - CINEMA - STAR,"['Amber Heard', 'America', 'amore', 'divozio', 'gossip', 'Johnny Depp', 'matrimonio', 'news', 'persone', 'Sia', 'star', 'USA']",24,none,Sia sostiene Johnny Depp contro Amber Heard: “È lui la vittima”,"ISCRIVITI AL CANALE DI TENACEMENTE - Subscribe to the channel: https://www.youtube.com/channel/UCaqWE7d5A3A-YRXHOy4-C0w?sub_confirmation=1

SITO: https://tenacemente.com

Sia sostiene Johnny Depp contro Amber Heard: “È lui la vittima”: https://tenacemente.com/2020/10/20/usa-johnny-depp-sia/

Sia voices support for Johnny Depp in bitter Amber Heard court battle: https://tenacemente.com/2020/10/20/usa-johnny-depp-sia/

#JohnnyDepp #Sia #AmberHeard #jhonny #disney #celebs #people #news #notizia #gossip #cinema #film #hollywood #attori #actor #actress #actors #stars #celebrity #star #movies

SITO: https://tenacemente.com

ISCRIVITI AL CANALE DI TENACEMENTE - Subscribe to the channel: https://www.youtube.com/channel/UCaqWE7d5A3A-YRXHOy4-C0w?sub_confirmation=1

UNISCITI A NOI! ISCRIVITI anche tu GRATIS: http://bit.ly/2YuiKPs",PT57S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,2,0,0,0,https://i.ytimg.com/vi/jeMLzY3lTeU/maxresdefault.jpg,1280.0,720.0,
youtube#video,C25M0uoICyqIY-wU6OU5XUPh8nE,JJsAm3HItIk,2018-06-28T19:42:56Z,UC5i_UkrijNfSup5-NH1O_0Q,Johnny Depp opens up about depression during Amber Heard split and financial struggles,"Johnny Depp opens up about depression during Amber Heard split and financial struggles 
https://www.youtube.com/channel/UC5i_UkrijNfSup5-NH1O_0Q",https://i.ytimg.com/vi/JJsAm3HItIk/default.jpg,120,90,https://i.ytimg.com/vi/JJsAm3HItIk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/JJsAm3HItIk/hqdefault.jpg,480,360,,,,stacia douville,"['UC5i_UkrijNfSup5-NH1O_0Q', 'Johnny Depp']",22,none,Johnny Depp opens up about depression during Amber Heard split and financial struggles,"Johnny Depp opens up about depression during Amber Heard split and financial struggles 
https://www.youtube.com/channel/UC5i_UkrijNfSup5-NH1O_0Q",PT3M5S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,9,1,0,0,,,,
youtube#video,urgt-ZKM5KZR6wLe-dLaTiMdl1k,Ms2Bj1kkqdw,2021-07-30T12:09:49Z,UCHBuDZHUFBmh4PWBuxKz72Q,Life as an International Actress - Amber Williams (Tamar) from The Chosen | Part 1,"Amber Shana Williams is an actress who portrays Tamar on 'The Chosen'. Since she travels back and forth between the US 🇺🇸 and Spain 🇪🇸 for her career, it was fun to have a chat with her to gain more insight into what travelling as an actress and the acting world is like. 

This conversation was deep and filled with so many gems so it was broken into two parts. Catch part 2 here! https://www.youtube.com/watch?v=DuelF_zboC0

The Chosen is the first multi-series TV Show about the life of Jesus and His followers. Go ahead and watch Amber and all her amazing cast members on The Chosen here: 
Android: https://play.google.com/store/apps/details?id=com.vidangel.thechosen&hl=en&gl=US
Apple: https://apps.apple.com/us/app/the-chosen-jesus-tv-show/id1473663873

On this episode of Apryll Wil Talk & Travel, I got the chance to speak with Amber Williams who travels regularly for her career. We got to speak about:
0:00 Introduction 
1:07 How long she has been acting
1:32 Why she decided to become an actress
3:13 Where she is currently located
3:49 How she navigates travelling and acting
7:15 Why she moved to Spain
7:40 Let's talk about The Chosen!
9:14 Travelling and diversity from the past to now
10:43 Tamar is back!
13:58 Working with an international cast
20:23 The perception on black people/people of African descent in Spain
21:27 Racism in Spain
25:00 Travelling should humble you
31:05 What special memory do you have from working on the chosen?",https://i.ytimg.com/vi/Ms2Bj1kkqdw/default.jpg,120,90,https://i.ytimg.com/vi/Ms2Bj1kkqdw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Ms2Bj1kkqdw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Ms2Bj1kkqdw/sddefault.jpg,640.0,480.0,Apryll Wil Travel,,22,none,Life as an International Actress - Amber Williams (Tamar) from The Chosen | Part 1,"Amber Shana Williams is an actress who portrays Tamar on 'The Chosen'. Since she travels back and forth between the US 🇺🇸 and Spain 🇪🇸 for her career, it was fun to have a chat with her to gain more insight into what travelling as an actress and the acting world is like. 

This conversation was deep and filled with so many gems so it was broken into two parts. Catch part 2 here! https://www.youtube.com/watch?v=DuelF_zboC0

The Chosen is the first multi-series TV Show about the life of Jesus and His followers. Go ahead and watch Amber and all her amazing cast members on The Chosen here: 
Android: https://play.google.com/store/apps/details?id=com.vidangel.thechosen&hl=en&gl=US
Apple: https://apps.apple.com/us/app/the-chosen-jesus-tv-show/id1473663873

On this episode of Apryll Wil Talk & Travel, I got the chance to speak with Amber Williams who travels regularly for her career. We got to speak about:
0:00 Introduction 
1:07 How long she has been acting
1:32 Why she decided to become an actress
3:13 Where she is currently located
3:49 How she navigates travelling and acting
7:15 Why she moved to Spain
7:40 Let's talk about The Chosen!
9:14 Travelling and diversity from the past to now
10:43 Tamar is back!
13:58 Working with an international cast
20:23 The perception on black people/people of African descent in Spain
21:27 Racism in Spain
25:00 Travelling should humble you
31:05 What special memory do you have from working on the chosen?",PT39M10S,2d,hd,true,False,rectangular,processed,public,youtube,True,True,False,681,33,0,15,https://i.ytimg.com/vi/Ms2Bj1kkqdw/maxresdefault.jpg,1280.0,720.0,en
youtube#video,IIufggkQzHpryYkaK7tBIbtA73s,o4QJla3v_Uk,2014-02-21T22:03:31Z,UCupvZG-5ko_eiXAupbDfxWw,Steve McQueen's favorite actor!,Steve McQueen's favorite actor? Amber Heard's vetting process and Queen Katy Perry?,https://i.ytimg.com/vi/o4QJla3v_Uk/default.jpg,120,90,https://i.ytimg.com/vi/o4QJla3v_Uk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/o4QJla3v_Uk/hqdefault.jpg,480,360,,,,CNN,"['CNN', 'News', 'CNN TV', 'CNN Newsroom', 'Showbiz', 'THE BUZZ TODAY!', 'STEVE MCQUEEN', 'AMBER HEARD', '12 YEARS A SLAVE', 'DARK HORSE', '3 DAYS TO KILL', 'ENTERTAINMENT']",25,none,Steve McQueen's favorite actor!,Steve McQueen's favorite actor? Amber Heard's vetting process and Queen Katy Perry?,PT1M45S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1286,8,0,0,,,,
youtube#video,9hbBMmdmB3kNhpYltUo93aU70tc,QbR4mju7ZdU,2020-02-13T09:16:21Z,UCaqWE7d5A3A-YRXHOy4-C0w,"Johnny Depp insultato da Amber Heard: lei lo chiamava “grasso”, l’ira delle fan su Twitter","Twitter Reacts To Amber Heard Body-Shaming Johnny Depp: Actor ‘Beautiful,’ ‘Looks Younger’ After Split: http://bit.ly/37nRLoj

Amber Heard insultava Johnny Depp chiamandolo ""grasso"", l'ira delle fan su Twitter: http://bit.ly/37nRLoj

UNISCITI A NOI! ISCRIVITI anche tu GRATIS: http://bit.ly/2YuiKPs

#grasso #JohnnyDepp #AmberHeard #people #news #notizia #gossip #smile #cinema #film #hollywood #attori #actor #actress #actors #stars #celebrity #star #movie",https://i.ytimg.com/vi/QbR4mju7ZdU/default.jpg,120,90,https://i.ytimg.com/vi/QbR4mju7ZdU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/QbR4mju7ZdU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/QbR4mju7ZdU/sddefault.jpg,640.0,480.0,Tenacemente - GOSSIP - CINEMA - STAR,"['Johnny Depp', 'Amber Heard', 'grasso', 'causa legale', 'accuse']",24,none,"Johnny Depp insultato da Amber Heard: lei lo chiamava “grasso”, l’ira delle fan su Twitter","Twitter Reacts To Amber Heard Body-Shaming Johnny Depp: Actor ‘Beautiful,’ ‘Looks Younger’ After Split: http://bit.ly/37nRLoj

Amber Heard insultava Johnny Depp chiamandolo ""grasso"", l'ira delle fan su Twitter: http://bit.ly/37nRLoj

UNISCITI A NOI! ISCRIVITI anche tu GRATIS: http://bit.ly/2YuiKPs

#grasso #JohnnyDepp #AmberHeard #people #news #notizia #gossip #smile #cinema #film #hollywood #attori #actor #actress #actors #stars #celebrity #star #movie",PT14S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,11,0,0,0,https://i.ytimg.com/vi/QbR4mju7ZdU/maxresdefault.jpg,1280.0,720.0,it
youtube#video,OsFX8d3cvyD1kQGm32-xNIu64Gk,qX7-Chm39Tg,2018-12-04T16:00:10Z,UCuwUfM8E79h2sqp34Fut6kw,Aquaman Cast Reveal On-Set Chemistry & Jason Momoa’s Game Of Thrones Return | MTV Movies,"AQUAMAN stars Jason Momoa, Amber Heard, Patrick Wilson and director James Wan reveal the moments that made them LOL behind the scenes, what it’s really like to ride a fish and how if Jason Momoa returns to Game Of Throne for Season 8, Khal Drogo would make both Daenerys AND Jon Snow his wives! 

Subscribe to MTV for more great videos and exclusives! 
https://www.youtube.com/c/MTVUK

Get social with MTV @ 
💋 Twitter: https://twitter.com/MTVUK 
🍺 Instagram: http://instagram.com/mtvuk 
💅 Tumblr: http://mtvuk.tumblr.com
🍿 Facebook: https://www.facebook.com/mtvuk 
🎷 Official: http://www.mtv.co.uk",https://i.ytimg.com/vi/qX7-Chm39Tg/default.jpg,120,90,https://i.ytimg.com/vi/qX7-Chm39Tg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/qX7-Chm39Tg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/qX7-Chm39Tg/sddefault.jpg,640.0,480.0,MTV UK,"['mtv uk', 'official', 'mtv international', 'aquaman', 'behind the scenes', 'watch aquaman full movie', 'watch aquaman full movie online free', 'watch aquaman full movie 2018', 'watch aquaman full movie online', 'watch aquaman 2018 online free', 'watch aquaman full movie 2018 online free', 'watch aquaman online', 'watch aquaman movie', 'watch aquaman trailer', 'watch aquaman online free', 'jason momoa', 'amber head', 'patrick wilson', 'james wan', 'game of thrones', 'got', 'khal drogo', 'season 8', 'daenerys', 'jon snow']",24,none,Aquaman Cast Reveal On-Set Chemistry & Jason Momoa’s Game Of Thrones Return | MTV Movies,"AQUAMAN stars Jason Momoa, Amber Heard, Patrick Wilson and director James Wan reveal the moments that made them LOL behind the scenes, what it’s really like to ride a fish and how if Jason Momoa returns to Game Of Throne for Season 8, Khal Drogo would make both Daenerys AND Jon Snow his wives! 

Subscribe to MTV for more great videos and exclusives! 
https://www.youtube.com/c/MTVUK

Get social with MTV @ 
💋 Twitter: https://twitter.com/MTVUK 
🍺 Instagram: http://instagram.com/mtvuk 
💅 Tumblr: http://mtvuk.tumblr.com
🍿 Facebook: https://www.facebook.com/mtvuk 
🎷 Official: http://www.mtv.co.uk",PT8M3S,2d,hd,false,True,rectangular,processed,public,creativeCommon,True,True,False,109564,1786,0,110,https://i.ytimg.com/vi/qX7-Chm39Tg/maxresdefault.jpg,1280.0,720.0,en-GB
