kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.favoriteCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.tags,statistics.likeCount,statistics.commentCount,snippet.defaultAudioLanguage
youtube#video,ogl4imNluY4lnuagescLW21muJQ,2ectQiiwDvo,2021-10-31T23:14:12Z,UCHEG6fQZtKBf-pzCuzG01Hg,IS AMBER HEARD A GOLD-DIGGER???!! (Amber Heard playlist!!),"In California, the law is that each person gets half of all the money earned by the couple while married even if one earned more--In California, the law is that each person gets half of all the money earned while married—-Part Two to this series and links below this video--https://www.youtube.com/watch?v=lHIAQiM0kRo

v=lHIAQiM0kRo&list=PLLnO141ZmjcOQpkNr3qYHwouk2cJxdJL3
https://www.insider.com/states-where-you-lose-half-in-divorce-2016-11

https://cordellcordell.com/resources/colorado/marital-property-in-colorado/

https://www.findlaw.com/family/marriage/what-s-mine-is-mine-what-s-yours-is-mine-who-owns-what-in.html

-https://www.yahoo.com/news/johnny-depp-net-worth-fortune-090000211.html-------and-------https://www.nytimes.com/2020/01/27/sports/basketball/kobe-bryant-rape-case.html",https://i.ytimg.com/vi/2ectQiiwDvo/default.jpg,120,90,https://i.ytimg.com/vi/2ectQiiwDvo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2ectQiiwDvo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2ectQiiwDvo/sddefault.jpg,640.0,480.0,Asshats Love Johnny Depp!! Johnny Depp Es Racista!!,1,none,IS AMBER HEARD A GOLD-DIGGER???!! (Amber Heard playlist!!),"In California, the law is that each person gets half of all the money earned by the couple while married even if one earned more--In California, the law is that each person gets half of all the money earned while married—-Part Two to this series and links below this video--https://www.youtube.com/watch?v=lHIAQiM0kRo

v=lHIAQiM0kRo&list=PLLnO141ZmjcOQpkNr3qYHwouk2cJxdJL3
https://www.insider.com/states-where-you-lose-half-in-divorce-2016-11

https://cordellcordell.com/resources/colorado/marital-property-in-colorado/

https://www.findlaw.com/family/marriage/what-s-mine-is-mine-what-s-yours-is-mine-who-owns-what-in.html

-https://www.yahoo.com/news/johnny-depp-net-worth-fortune-090000211.html-------and-------https://www.nytimes.com/2020/01/27/sports/basketball/kobe-bryant-rape-case.html",PT2M24S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,20,0,,,,,,,
youtube#video,rMN4SxTxA41d03LRiS4RtCxpuiU,E4ML4m1An9s,2018-12-22T22:56:17Z,UCpqiQ8q14kT1sdlZ0gD0bGg,Amber Heard on the meaning behind her orange ribbon,"During the interview with the cast and director of Aquaman at the BUILD series, Amber explains the meaning behind the orange ribbon at her wrist.
_______________________________

Check out our photo gallery: www.amberhearditalia.com/galleria
_______________________________

FOLLOW US ON OUR SOCIAL!
- Facebook: www.facebook.com/AmberHeardIT
- Instagram: www.instagram.com/amberheardit
- Twitter: www.twitter.com/AmberHeardIT
- Tumblr: www.amberhearditalia.tumblr.com",https://i.ytimg.com/vi/E4ML4m1An9s/default.jpg,120,90,https://i.ytimg.com/vi/E4ML4m1An9s/mqdefault.jpg,320,180,https://i.ytimg.com/vi/E4ML4m1An9s/hqdefault.jpg,480,360,https://i.ytimg.com/vi/E4ML4m1An9s/sddefault.jpg,640.0,480.0,Amber Heard Italia,1,none,Amber Heard on the meaning behind her orange ribbon,"During the interview with the cast and director of Aquaman at the BUILD series, Amber explains the meaning behind the orange ribbon at her wrist.
_______________________________

Check out our photo gallery: www.amberhearditalia.com/galleria
_______________________________

FOLLOW US ON OUR SOCIAL!
- Facebook: www.facebook.com/AmberHeardIT
- Instagram: www.instagram.com/amberheardit
- Twitter: www.twitter.com/AmberHeardIT
- Tumblr: www.amberhearditalia.tumblr.com",PT40S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,209,0,https://i.ytimg.com/vi/E4ML4m1An9s/maxresdefault.jpg,1280.0,720.0,"['amber heard', 'jason momoa', 'patrick wilson', 'james wan', 'build series', 'aquaman', '2018']",4,0,
youtube#video,6f2ngB9lWat4HdwJJ7t9Vo_TlFQ,ehZbjGLJmek,2021-10-04T11:12:09Z,UCL0PdPRkCiELNMY2PVRq8cw,#AMBERHEARD #AMBERHEARDISANABUSER #AMBERHEARDISCRIMINAL #AMBERHEARDISTOXIC #BOYCOTTLOREALPARISUSA,,https://i.ytimg.com/vi/ehZbjGLJmek/default.jpg,120,90,https://i.ytimg.com/vi/ehZbjGLJmek/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ehZbjGLJmek/hqdefault.jpg,480,360,,,,Tiziana Pitaluga,22,none,#AMBERHEARD #AMBERHEARDISANABUSER #AMBERHEARDISCRIMINAL #AMBERHEARDISTOXIC #BOYCOTTLOREALPARISUSA,,PT17S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,True,23,0,,,,,2,0,
youtube#video,MuapTxnEs-CM_h7oLSy91aDNv1w,gcWRQBcoEj4,2019-01-22T05:14:03Z,UC_T1uV2PREka9ikSGHOV2OA,"Amber Heard at the 76th Annual Golden Globes Awards - January 6th, 2019 - Beverly Hills, CA.","Amber Heard at the 76th Annual Golden Globes Awards - January 6th, 2019 - Beverly Hills, CA.",https://i.ytimg.com/vi/gcWRQBcoEj4/default.jpg,120,90,https://i.ytimg.com/vi/gcWRQBcoEj4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/gcWRQBcoEj4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/gcWRQBcoEj4/sddefault.jpg,640.0,480.0,MARLI New York,22,none,"Amber Heard at the 76th Annual Golden Globes Awards - January 6th, 2019 - Beverly Hills, CA.","Amber Heard at the 76th Annual Golden Globes Awards - January 6th, 2019 - Beverly Hills, CA.",PT12S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,167,0,,,,"['Amber Heard', 'Golden Globes', 'marli', 'marlinyc', 'marlinewyork', 'jewellery', 'fine jewellery']",3,0,
youtube#video,s12gXJxTmAR3vwysmVhQAa2HGd8,Ho1NL2HMrV8,2021-09-03T13:10:42Z,UC6fhblscgSEYvvlT_OaE6EQ,Amber Heard New Whatsapp Status Full Screen1080P HD,,https://i.ytimg.com/vi/Ho1NL2HMrV8/default.jpg,120,90,https://i.ytimg.com/vi/Ho1NL2HMrV8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Ho1NL2HMrV8/hqdefault.jpg,480,360,,,,MR=CS,10,none,Amber Heard New Whatsapp Status Full Screen1080P HD,,PT11S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1062,0,,,,,43,0,
youtube#video,-GyITGd5cbRhzM6gziQMLnHMg4c,iy8-MJyfhQs,2018-07-04T12:41:35Z,UCeFo83Ysg_lRLuqZt4Vivaw,"PHOTOS – Amber Heard, l’ex rivale de Vanessa Paradis est à Paris","PHOTOS – Amber Heard, l’ex rivale de Vanessa Paradis est à Paris 
https://www.youtube.com/channel/UCeFo83Ysg_lRLuqZt4Vivaw",https://i.ytimg.com/vi/iy8-MJyfhQs/default.jpg,120,90,https://i.ytimg.com/vi/iy8-MJyfhQs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/iy8-MJyfhQs/hqdefault.jpg,480,360,,,,Alpha News,22,none,"PHOTOS – Amber Heard, l’ex rivale de Vanessa Paradis est à Paris","PHOTOS – Amber Heard, l’ex rivale de Vanessa Paradis est à Paris 
https://www.youtube.com/channel/UCeFo83Ysg_lRLuqZt4Vivaw",PT2M52S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1,0,,,,"['UCeFo83Ysg_lRLuqZt4Vivaw', 'PHOTOS', '–', 'Amber', 'Heard', 'lex', 'rivale', 'de', 'Vanessa', 'Paradis', 'est', 'Paris', 'PHOTOS –', '– Amber', 'Amber Heard', 'PHOTOS – Amber Heard lex rivale de Vanessa Paradis est à Paris']",0,0,
youtube#video,OVmSWNk2Q2T0D3xUUSTihJ81Rzg,jTl1EZZRcC0,2016-01-06T17:53:44Z,UChRCDb5Ucld-1cCgpLetPFg,JOHNNY DEPP and AMBER HEARD meet KATE WINSLET at Palm Springs  party,"Click and watch other Johnny Depp videos:
https://youtu.be/tvOAXJBOMqo
https://youtu.be/v9XUHD14mLU
https://youtu.be/278V_T4sPQw
https://youtu.be/rUwTYzzZ9Y4
https://youtu.be/x6ixs934rFY

Click and watch another Amber Heard video
https://youtu.be/-PvRMFjTP4c
Johnny Depp arrives with wife Amber Heard at a 2016 Palm Springs International Film Festival Awards Gala and later hugs and chats with his Finding Neverland costar Kate Winslet.",https://i.ytimg.com/vi/jTl1EZZRcC0/default.jpg,120,90,https://i.ytimg.com/vi/jTl1EZZRcC0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/jTl1EZZRcC0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/jTl1EZZRcC0/sddefault.jpg,640.0,480.0,PaparazziParadise,24,none,JOHNNY DEPP and AMBER HEARD meet KATE WINSLET at Palm Springs  party,"Click and watch other Johnny Depp videos:
https://youtu.be/tvOAXJBOMqo
https://youtu.be/v9XUHD14mLU
https://youtu.be/278V_T4sPQw
https://youtu.be/rUwTYzzZ9Y4
https://youtu.be/x6ixs934rFY

Click and watch another Amber Heard video
https://youtu.be/-PvRMFjTP4c
Johnny Depp arrives with wife Amber Heard at a 2016 Palm Springs International Film Festival Awards Gala and later hugs and chats with his Finding Neverland costar Kate Winslet.",PT1M40S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,61085,0,,,,"['Johnny Depp', 'Kate Winslet', 'Palm Springs', 'Palm Springs International Film Festival', 'Amber Heard', 'Johnny Depp girlfriend', 'Mick Jagger', 'Rolling Stones', 'rock music', 'Pirates of the Carribbean', 'red carpet', 'celebrity friends', 'Johnny Depp Amber Heard', 'celebrity', 'famous', 'Hollywood', 'movie', 'entertainment', 'entertainer', 'performer', 'show', 'business', 'TV', 'cinema', 'candid', 'video', 'paparazzi', 'maximo TV', 'perezhilton', 'magazine', 'eonline', 'radar', 'omg', '21 Jump Street', 'Finding Neverland', 'Johnny Depp divorce']",736,93,
youtube#video,dPP_KUKTtekaRHU4-6pa5C7jr6I,k57ZCbzZ9MA,2020-07-21T07:23:28Z,UC3l-bobp_xuBlL_lRRS5RmA,Johnny Depp EXIT v Amber Heard EXIT,#johnnydepp #AmberHeard,https://i.ytimg.com/vi/k57ZCbzZ9MA/default.jpg,120,90,https://i.ytimg.com/vi/k57ZCbzZ9MA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/k57ZCbzZ9MA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/k57ZCbzZ9MA/sddefault.jpg,640.0,480.0,UnBoxPHD,22,none,Johnny Depp EXIT v Amber Heard EXIT,#johnnydepp #AmberHeard,PT1M25S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,14725,0,https://i.ytimg.com/vi/k57ZCbzZ9MA/maxresdefault.jpg,1280.0,720.0,"['Johnny Depp v amber Heard', 'Johnny Depp court case', 'amber Heard court case', 'johnny Depp leaves court', 'amber Heard leaves court']",369,76,
youtube#video,cnvmAUlRJnzqUMs3XbtdoMJwTTc,KWDwR79A6NA,2017-11-12T09:29:47Z,UCZfaQRCtxT-F_UqklcGyOEw,Il était une fois… amber heard,"Il était une fois… amber heard
Chaque dimanche, Paris Match retrace le destin incroyable d’une star. Au tour de la sulfureuse actri...",https://i.ytimg.com/vi/KWDwR79A6NA/default.jpg,120,90,https://i.ytimg.com/vi/KWDwR79A6NA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/KWDwR79A6NA/hqdefault.jpg,480,360,,,,jhon mike,25,none,Il était une fois… amber heard,"Il était une fois… amber heard
Chaque dimanche, Paris Match retrace le destin incroyable d’une star. Au tour de la sulfureuse actri...",PT2M31S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,2,0,,,,"['Il était une', 'était une fois…', 'une fois… amber', 'Il était', 'était une', 'une fois…', 'fois… amber']",0,0,
youtube#video,YdX_0nFplVhHRsg3IV9k2yywjJU,lwERCNRKwAE,2021-05-30T20:48:56Z,UCNUN9zYZ1_ndUlXWvE3CpQw,Amber Heard WhatsApp Status😍❣️,WhatsApp Status😍❣️,https://i.ytimg.com/vi/lwERCNRKwAE/default.jpg,120,90,https://i.ytimg.com/vi/lwERCNRKwAE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/lwERCNRKwAE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/lwERCNRKwAE/sddefault.jpg,640.0,480.0,WhatsApp Status,22,none,Amber Heard WhatsApp Status😍❣️,WhatsApp Status😍❣️,PT44S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,537,0,https://i.ytimg.com/vi/lwERCNRKwAE/maxresdefault.jpg,1280.0,720.0,,32,3,en-US
