kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.tags,snippet.defaultAudioLanguage
youtube#video,bwr_akkVE6_Uvorzt4gMdrdhN4k,mknX03IQy18,2022-01-03T06:30:19Z,UC0mD2JOGhW19h-o_wBtfz0w,Amber Heard _ Aquaman _ Whatsapp Status Full Screen video,Amber Heard _ Aquaman _ Whatsapp Status Full Screen,https://i.ytimg.com/vi/mknX03IQy18/default.jpg,120,90,https://i.ytimg.com/vi/mknX03IQy18/mqdefault.jpg,320,180,https://i.ytimg.com/vi/mknX03IQy18/hqdefault.jpg,480,360,Crazy edits,24,none,Amber Heard _ Aquaman _ Whatsapp Status Full Screen video,Amber Heard _ Aquaman _ Whatsapp Status Full Screen,PT25S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,9,1,0,0,,
youtube#video,oxNU3AymtJg5QnHK41nmAV0CRzU,qzkqs6HDwx4,2018-03-14T12:49:13Z,UCw3fku0sH3qA3c3pZeJwdAw,Johnny Depp joins wife Amber Heard at TIFF premiere - Daily Mail,"As Johnny Depp and Dakota Johnson continue to promote their new movie Black Mass, the actors showed off rather contrasting looks on the red carpet on Monday. Johnson, 25, looked effortlessly stylish in a striped wrap dress and lace-up heels as she joined Depp, 52 at a press conference for the movie at the Toronto International Film Festival. The Fifty Shades Of Grey beauty wore her shoulder-length tresses in tousled waves and wore just a hint of make-up for a natural look. 

Original Article: http://www.dailymail.co.uk/tvshowbiz/article-3234286/Dakota-Johnson-joins-bloated-looking-Johnny-Depp-red-carpet-Black-Mass-press-conference-Toronto.html
Original Video: http://www.dailymail.co.uk/video/tvshowbiz/video-1213821/Johnny-Depp-joins-wife-Amber-Heard-TIFF-premiere.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail/posts

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",https://i.ytimg.com/vi/qzkqs6HDwx4/default.jpg,120,90,https://i.ytimg.com/vi/qzkqs6HDwx4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/qzkqs6HDwx4/hqdefault.jpg,480,360,Daily Mail,24,none,Johnny Depp joins wife Amber Heard at TIFF premiere - Daily Mail,"As Johnny Depp and Dakota Johnson continue to promote their new movie Black Mass, the actors showed off rather contrasting looks on the red carpet on Monday. Johnson, 25, looked effortlessly stylish in a striped wrap dress and lace-up heels as she joined Depp, 52 at a press conference for the movie at the Toronto International Film Festival. The Fifty Shades Of Grey beauty wore her shoulder-length tresses in tousled waves and wore just a hint of make-up for a natural look. 

Original Article: http://www.dailymail.co.uk/tvshowbiz/article-3234286/Dakota-Johnson-joins-bloated-looking-Johnny-Depp-red-carpet-Black-Mass-press-conference-Toronto.html
Original Video: http://www.dailymail.co.uk/video/tvshowbiz/video-1213821/Johnny-Depp-joins-wife-Amber-Heard-TIFF-premiere.html

Daily Mail Facebook: http://facebook.com/dailymail
Daily Mail IG: http://instagram.com/dailymail
Daily Mail Snap: https://www.snapchat.com/discover/Daily-Mail/8392137033
Daily Mail Twitter: http://twitter.com/MailOnline
Daily Mail Pinterest: http://pinterest.co.uk/dailymail
Daily Mail Google+: https://plus.google.com/+DailyMail/posts

Get the free Daily Mail mobile app: http://dailymail.co.uk/mobile",PT1M21S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,920,5,0,3,"['johnny depp', 'wife amber heard', 'tiff premiere']",en
