kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount
youtube#video,jZ5MuCbwzVHxLFCuLmUg-oTrgaY,5tUVpUppktE,2021-11-14T18:58:04Z,UCp8uge5V52x-D3NfTJu5w7g,"Amber Heard fans, Please like and subscribe 💗💗💗",,https://i.ytimg.com/vi/5tUVpUppktE/default.jpg,120,90,https://i.ytimg.com/vi/5tUVpUppktE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/5tUVpUppktE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/5tUVpUppktE/sddefault.jpg,640,480,https://i.ytimg.com/vi/5tUVpUppktE/maxresdefault.jpg,1280,720,AMBER HEARD FANSS 💗,22,none,"Amber Heard fans, Please like and subscribe 💗💗💗",,PT5S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,41,11,0,0
youtube#video,Q-Rphnd5DFUHJVr8hN97pEYQ6tk,Zvqt7-gDr8g,2020-11-06T19:14:11Z,UC8aA2OG7K3qg4b3o212BC8w,Amber Heard 🐍🐍,Justicia!,https://i.ytimg.com/vi/Zvqt7-gDr8g/default.jpg,120,90,https://i.ytimg.com/vi/Zvqt7-gDr8g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Zvqt7-gDr8g/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Zvqt7-gDr8g/sddefault.jpg,640,480,https://i.ytimg.com/vi/Zvqt7-gDr8g/maxresdefault.jpg,1280,720,Dante Monta Rico,24,none,Amber Heard 🐍🐍,Justicia!,PT20S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,55,5,0,2
