kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.tags,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height
youtube#video,RpNySAUxs8rneWnelXxcyJX9Ojc,4heRmzevzhc,2022-01-05T08:11:04Z,UCZkaT0jMikWnehw2ohoNfrQ,AQUAMAN | MERA | AMBER HEARD | ATTITUDE | HD WHATSAPP STATUS | FULL SCREEN | 4K | BEATS_DP,,https://i.ytimg.com/vi/4heRmzevzhc/default.jpg,120,90,https://i.ytimg.com/vi/4heRmzevzhc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4heRmzevzhc/hqdefault.jpg,480,360,beats_dp,22,none,AQUAMAN | MERA | AMBER HEARD | ATTITUDE | HD WHATSAPP STATUS | FULL SCREEN | 4K | BEATS_DP,,PT35S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,3,0,0,0,,,,,,,
youtube#video,mdG7mGg8-Byh5GtYxyIcdE_1DVI,8pH-JYiwcXQ,2022-01-03T17:47:31Z,UCJYUZ6HfM4C1HsrsFFj9w9Q,Amber Heard ||  Whatsapp Status ||  Full Screen ||,,https://i.ytimg.com/vi/8pH-JYiwcXQ/default.jpg,120,90,https://i.ytimg.com/vi/8pH-JYiwcXQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8pH-JYiwcXQ/hqdefault.jpg,480,360,Success YT,1,none,Amber Heard ||  Whatsapp Status ||  Full Screen ||,,PT15S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,17,3,0,0,"['Amber Heard', 'whatsapp status', 'web series', 'movie', 'Netflix series']",,,,,,
youtube#video,cid3I_xQG8PCFbblT0gmaMokJZE,JXr9qiNYPbI,2022-01-04T15:48:12Z,UC2RrswnO84_dODZmscFScgw,✨Crush Girl 💋 | Amber Heard♥️ | Expression Queen 👑| Girls Attitude 💄😻 Edit ✍️ || New status,"#amberheard#attitude#status#girlsattitude

love#propose#shorts#Hollywood#status
#newvideos#love#status
#Bgms#Attitude#status
#Reels#songs#videos
#drama#videos#chinese#korean#pakastani#
Dramas#movies#Netflix#scenes

:IMPORTANT NOTICE
these all things are copyrighted .
We just edited and published to audience
For entirenment purpose only.
All credit goes to..copyright OWNER♥️



Copyright Disclaimer under section 107 of the Copyright Act 1976, allowance is made for “fair use” for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.

Instagram id @innocuous_taru
Direct link https://www.instagram.com/p/CMC3JtAFkz6/?utm_medium=copy_link

Do subscribe❤ 
For more videos
Keep supporting💪
Thanks for watching👀







Netflix scenes Netflix shorts Hollywood fighting scenes 
WhatsAppstatus
Hollywood movies
Sadlovestory WhatsApp status
sadmovies status
Bgims WhatsApp status
BGMS WhatsApp status
Shorts reels Instagram 
YouTube shorts 
Sad shorts love shorts
Motivational shorts 
Broken shorts
Single boys shorts 
Entry shorts
Gym shorts
Boys attitude whatsApp status
Hollywood WhatsApp status 
Hollywood boys attitude 
Badboys entry Whatsappppp 
BadGirls whatsApp status
Bollywood whtsApp status 2021
Hollywood movies songs
Status shorts reels
best songs whatsapp status
sad whatsapp status
love sad whatsaap status 
status
status sad love 
emotional status
sad status new
sad girl whatsaap status 
sad emotional whaatsaap status 
love status for whaatsaap
new status love 
sad love stories
emotional whaatsaap status video 
whaatsaap love status
emotional status video for whaatsaap 
whaatsaap video
whaatsaap Love status
whaatsaap status video
video for video
love status sad 
kabir singh whaatsaap status video
whatsApp status 
whaatsaap status sad
love sad whatsaap status 
status hollywood sexy hot scenes status 
2021 whatsaapp status
Hollywood2021movies Netflix movies 
Amazon prime videos movies
Ptkk scenes videos 2021 Whatsappppp status
2021
status sad love 
emotional status",https://i.ytimg.com/vi/JXr9qiNYPbI/default.jpg,120,90,https://i.ytimg.com/vi/JXr9qiNYPbI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/JXr9qiNYPbI/hqdefault.jpg,480,360,AGE OF ATTITUDE 88,29,none,✨Crush Girl 💋 | Amber Heard♥️ | Expression Queen 👑| Girls Attitude 💄😻 Edit ✍️ || New status,"#amberheard#attitude#status#girlsattitude

love#propose#shorts#Hollywood#status
#newvideos#love#status
#Bgms#Attitude#status
#Reels#songs#videos
#drama#videos#chinese#korean#pakastani#
Dramas#movies#Netflix#scenes

:IMPORTANT NOTICE
these all things are copyrighted .
We just edited and published to audience
For entirenment purpose only.
All credit goes to..copyright OWNER♥️



Copyright Disclaimer under section 107 of the Copyright Act 1976, allowance is made for “fair use” for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.

Instagram id @innocuous_taru
Direct link https://www.instagram.com/p/CMC3JtAFkz6/?utm_medium=copy_link

Do subscribe❤ 
For more videos
Keep supporting💪
Thanks for watching👀







Netflix scenes Netflix shorts Hollywood fighting scenes 
WhatsAppstatus
Hollywood movies
Sadlovestory WhatsApp status
sadmovies status
Bgims WhatsApp status
BGMS WhatsApp status
Shorts reels Instagram 
YouTube shorts 
Sad shorts love shorts
Motivational shorts 
Broken shorts
Single boys shorts 
Entry shorts
Gym shorts
Boys attitude whatsApp status
Hollywood WhatsApp status 
Hollywood boys attitude 
Badboys entry Whatsappppp 
BadGirls whatsApp status
Bollywood whtsApp status 2021
Hollywood movies songs
Status shorts reels
best songs whatsapp status
sad whatsapp status
love sad whatsaap status 
status
status sad love 
emotional status
sad status new
sad girl whatsaap status 
sad emotional whaatsaap status 
love status for whaatsaap
new status love 
sad love stories
emotional whaatsaap status video 
whaatsaap love status
emotional status video for whaatsaap 
whaatsaap video
whaatsaap Love status
whaatsaap status video
video for video
love status sad 
kabir singh whaatsaap status video
whatsApp status 
whaatsaap status sad
love sad whatsaap status 
status hollywood sexy hot scenes status 
2021 whatsaapp status
Hollywood2021movies Netflix movies 
Amazon prime videos movies
Ptkk scenes videos 2021 Whatsappppp status
2021
status sad love 
emotional status",PT22S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,41,3,0,0,"['Amber heard', 'Hollywood Queen', 'Hollywood hot girls', 'Hollywood sexy girls boys', 'Hollywood WhatsApp status', 'Hollywood hot sexy girls', 'Hollywood sex videos', 'Hollywood hot scenes', 'Famous videos', 'Viral girls attitude shorts status', 'New girls attitude shorts status']",https://i.ytimg.com/vi/JXr9qiNYPbI/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/JXr9qiNYPbI/maxresdefault.jpg,1280.0,720.0
youtube#video,XoOuLNeTtUC4A9dGGRK8UXz09uY,KI6L4Dx0J2E,2022-01-04T18:32:21Z,UCZkaT0jMikWnehw2ohoNfrQ,Aquaman | Jason Momoa | Amber Heard | Hd Whatsapp Status | #attitude #shorts,,https://i.ytimg.com/vi/KI6L4Dx0J2E/default.jpg,120,90,https://i.ytimg.com/vi/KI6L4Dx0J2E/mqdefault.jpg,320,180,https://i.ytimg.com/vi/KI6L4Dx0J2E/hqdefault.jpg,480,360,beats_dp,22,none,Aquaman | Jason Momoa | Amber Heard | Hd Whatsapp Status | #attitude #shorts,,PT20S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,3,0,0,0,,,,,,,
youtube#video,Jx0WmA9nftyNZONPDHIgD95TXMI,VFH2ddnZ4uo,2016-05-31T18:38:39Z,UCEf9tCFR9u8eorfLdLlHh0A,Amber Heard Fires Back Against Depp's 'Blackmail' Claims,Amber Heard is firing back against Johnny Depp's claims that she is just blackmailing him with her abuse allegations.,https://i.ytimg.com/vi/VFH2ddnZ4uo/default.jpg,120,90,https://i.ytimg.com/vi/VFH2ddnZ4uo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/VFH2ddnZ4uo/hqdefault.jpg,480,360,New You Media,24,none,Amber Heard Fires Back Against Depp's 'Blackmail' Claims,Amber Heard is firing back against Johnny Depp's claims that she is just blackmailing him with her abuse allegations.,PT59S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,86,0,0,0,"['Johnny Depp', 'Amber Heard', 'Divorce']",https://i.ytimg.com/vi/VFH2ddnZ4uo/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/VFH2ddnZ4uo/maxresdefault.jpg,1280.0,720.0
youtube#video,t4qJASHz1Y6VwWEH68LAbXrR9G4,_bPP3rQ_nuk,2022-01-05T00:48:13Z,UCA5noULwZ74rxKVeAxzkerg,Amber Heard vid,Beauty never heard,https://i.ytimg.com/vi/_bPP3rQ_nuk/default.jpg,120,90,https://i.ytimg.com/vi/_bPP3rQ_nuk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/_bPP3rQ_nuk/hqdefault.jpg,480,360,Sai Prasad,22,none,Amber Heard vid,Beauty never heard,PT4M9S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,95,3,0,0,,https://i.ytimg.com/vi/_bPP3rQ_nuk/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/_bPP3rQ_nuk/maxresdefault.jpg,1280.0,720.0
