kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.tags,contentDetails.regionRestriction.blocked,snippet.defaultLanguage,snippet.defaultAudioLanguage
youtube#video,a4tDjtedrue9458GHPu1VqkSRgo,-Wl33Wy3ByA,2019-09-27T17:29:21Z,UCOjcyOuoygDkSVTVE2_B6Wg,Amber Guyger Testifying,"This monster broke into Botham house, and murdered him. Now she wants to escape all accountability 
Please watch what you can .. here is the link for just one of our local stations 
https://youtu.be/I3uIlJ-nRKM",https://i.ytimg.com/vi/-Wl33Wy3ByA/default.jpg,120,90,https://i.ytimg.com/vi/-Wl33Wy3ByA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-Wl33Wy3ByA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-Wl33Wy3ByA/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-Wl33Wy3ByA/maxresdefault.jpg,1280.0,720.0,David Boren,27,none,Amber Guyger Testifying,"This monster broke into Botham house, and murdered him. Now she wants to escape all accountability 
Please watch what you can .. here is the link for just one of our local stations 
https://youtu.be/I3uIlJ-nRKM",PT20M16S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1094,99,0,51,,,,
youtube#video,_3_Y7YAn5JtQ5YgnwL090mpfxpA,0jyvInqczVs,2019-09-28T02:05:10Z,UCYlrWhMZ9bhQSfTlkyr6vNA,Amber Guyger Testifies And Is Cross Examined In Her Murder Trial Concerning Botham Jean,"Ex-Dallas police officer Amber Guyger cried two times while she was being questioned during her murder trial on Friday.

She had testified for less than an hour the first time she broke down in tears. Guyger, who had previously showed little emotion and talked in very subdued tones while on the witness stand, suddenly began to cry and weep loudly.

State District Judge Tammy Kemp sent the jury out of the courtroom to allow Guyger to take a 10-minute break.

About an hour later, Guyger began crying again and telling people that she was sorry and that she will have to live with her decision to shoot an innocent man for the rest of her life.

“No police officer would ever want to hurt an innocent person,” Guyger said.

Guyger, 31, is charged with murder in the Sept. 6, 2018, death of her neighbor Botham Shem Jean, 26. She has said that she mistook Jean’s apartment for her own and thought he was an intruder.

Guyger, who was in uniform but off duty at the time of the shooting, was fired from the Dallas police force.

Guyger approached the door with her key in hand and stopped, she said.

“I saw it [the door] was cracked open,” Guyger testified. “I heard someone moving around in my apartment. There was a loud shuffling around. But me putting the key in the lock is pushing the door open.”

Guyger said she was scared to death and her heart rate sky-rocketed.

“I compare it to being in a car wreck,” Guyger said. “Right before you are going to hit, everything freezes up inside your body. It’s just fear, fear, fear.”

Guyger said she saw a shadow of a figure in the back of the dark room and yelled at him.

“Let me see your hands! Let me see your hands! And I drew my service revolver,” Guyger said. “Then I saw him coming toward me. I thought he was going to kill me. He was yelling, ‘Hey, hey, hey!’ in an aggressive voice.”

She said the figure was pacing back and forth near the back wall. Only a matter of seconds passed. Guyger fired two rounds.

Guyger said she shot because she believed the man was going to kill her. He was coming toward her at a “fast-paced” walk, she said, and she couldn’t see his hands and didn’t know if he had a weapon. Police later found Jean was unarmed, and prosecutors say he was never a threat to Guyger.

After shooting Jean, Guyger testified, she then walked to the kitchen counter area and that’s when she started to realize that she was in the wrong apartment and she had shot someone innocent.

“Before that I was only focused on the threat,” Guyger said.

Guyger testified that as she walked toward Jean’s fallen body she realized that she had no idea who he was.

“I was kneeling down next to him and I called 911,” Guyger said. “I knew I had shot him. I didn’t know where he was shot on his body.”

Guyger testified that she was calling 911 with one hand and doing chest compressions on Jean with her other hand. When questioned by a prosecutor, she said she stopped her attempts at first aid several times. Guyger told the jury that she walked outside so she could see where she was and give the location to the 911 dispatcher.",https://i.ytimg.com/vi/0jyvInqczVs/default.jpg,120,90,https://i.ytimg.com/vi/0jyvInqczVs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0jyvInqczVs/hqdefault.jpg,480,360,,,,,,,Edward Malone,22,none,Amber Guyger Testifies And Is Cross Examined In Her Murder Trial Concerning Botham Jean,"Ex-Dallas police officer Amber Guyger cried two times while she was being questioned during her murder trial on Friday.

She had testified for less than an hour the first time she broke down in tears. Guyger, who had previously showed little emotion and talked in very subdued tones while on the witness stand, suddenly began to cry and weep loudly.

State District Judge Tammy Kemp sent the jury out of the courtroom to allow Guyger to take a 10-minute break.

About an hour later, Guyger began crying again and telling people that she was sorry and that she will have to live with her decision to shoot an innocent man for the rest of her life.

“No police officer would ever want to hurt an innocent person,” Guyger said.

Guyger, 31, is charged with murder in the Sept. 6, 2018, death of her neighbor Botham Shem Jean, 26. She has said that she mistook Jean’s apartment for her own and thought he was an intruder.

Guyger, who was in uniform but off duty at the time of the shooting, was fired from the Dallas police force.

Guyger approached the door with her key in hand and stopped, she said.

“I saw it [the door] was cracked open,” Guyger testified. “I heard someone moving around in my apartment. There was a loud shuffling around. But me putting the key in the lock is pushing the door open.”

Guyger said she was scared to death and her heart rate sky-rocketed.

“I compare it to being in a car wreck,” Guyger said. “Right before you are going to hit, everything freezes up inside your body. It’s just fear, fear, fear.”

Guyger said she saw a shadow of a figure in the back of the dark room and yelled at him.

“Let me see your hands! Let me see your hands! And I drew my service revolver,” Guyger said. “Then I saw him coming toward me. I thought he was going to kill me. He was yelling, ‘Hey, hey, hey!’ in an aggressive voice.”

She said the figure was pacing back and forth near the back wall. Only a matter of seconds passed. Guyger fired two rounds.

Guyger said she shot because she believed the man was going to kill her. He was coming toward her at a “fast-paced” walk, she said, and she couldn’t see his hands and didn’t know if he had a weapon. Police later found Jean was unarmed, and prosecutors say he was never a threat to Guyger.

After shooting Jean, Guyger testified, she then walked to the kitchen counter area and that’s when she started to realize that she was in the wrong apartment and she had shot someone innocent.

“Before that I was only focused on the threat,” Guyger said.

Guyger testified that as she walked toward Jean’s fallen body she realized that she had no idea who he was.

“I was kneeling down next to him and I called 911,” Guyger said. “I knew I had shot him. I didn’t know where he was shot on his body.”

Guyger testified that she was calling 911 with one hand and doing chest compressions on Jean with her other hand. When questioned by a prosecutor, she said she stopped her attempts at first aid several times. Guyger told the jury that she walked outside so she could see where she was and give the location to the 911 dispatcher.",PT21M1S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,38,0,0,0,"['Botham Jean', 'Dallas', 'black lives matter', 'white supremacy', 'media bias']",,,
youtube#video,n3ml-STLxhZBYFHLL8OSssZW0qA,18XlcGKTnPk,2019-09-28T16:36:17Z,UCBu0KdNokE4MqdkacvH37_A,The Amber Guyger murder trial: Day 6,"Testimony continues in the Amber Guyger murder trial. The defense spent most of the afternoon on day 5 qualifying expert witnesses, those witnesses are expected to take the stand today.

BACKGROUND:

Former Dallas police officer Amber Guyger is on trial for murder after she fatally shot Botham Shem Jean on September 6, 2018.  

Guyger was off duty but still in uniform when she went into Jean's apartment at South Side Flats. She told investigators she believed she was walking into her own apartment and shot Jean believing he was an intruder. 

MORE: https://www.wfaa.com/bothamjean",https://i.ytimg.com/vi/18XlcGKTnPk/default.jpg,120,90,https://i.ytimg.com/vi/18XlcGKTnPk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/18XlcGKTnPk/hqdefault.jpg,480,360,,,,,,,WFAA,25,none,The Amber Guyger murder trial: Day 6,"Testimony continues in the Amber Guyger murder trial. The defense spent most of the afternoon on day 5 qualifying expert witnesses, those witnesses are expected to take the stand today.

BACKGROUND:

Former Dallas police officer Amber Guyger is on trial for murder after she fatally shot Botham Shem Jean on September 6, 2018.  

Guyger was off duty but still in uniform when she went into Jean's apartment at South Side Flats. She told investigators she believed she was walking into her own apartment and shot Jean believing he was an intruder. 

MORE: https://www.wfaa.com/bothamjean",PT2H30M9S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,231627,1226,0,752,"['botham jean', 'amber guyger', 'amber guyger trial', 'amber guyger trial update', 'when is amber guyger trial', 'amber guyger 911 call im sorry', 'amber guyger youtube', 'where is amber guyger now', 'is amber guyger in jail', 'botham jean update', 'murder trial', 'dallas police', 'botham jean shooting', 'amber guyger murder trial', 'amber guyger trial live stream', 'dallas police shooting']",,,
youtube#video,wYgXqAX4zBL5xSCrf5ATgkhbayg,2Cov0AsAvyg,2019-09-25T12:04:23Z,UC-SJ6nODDmufqBzPBwCvYvQ,Graphic new bodycam footage revealed in Amber Guyger trial,"For the first time, jurors in the murder trial of a white former Dallas police officer, who shot and killed her black neighbor, saw video from the scene. The graphic new bodycam footage shows the chaotic moments after Amber Guyger killed Botham Jean in his own home. She claims she mistakenly thought it was her apartment. Omar Villafranca reports.

Watch ""CBS This Morning"" HERE: http://bit.ly/1T88yAR
Download the CBS News app on iOS HERE: https://apple.co/1tRNnUy
Download the CBS News app on Android HERE: https://bit.ly/1IcphuX
Like ""CBS This Morning"" on Facebook HERE: http://on.fb.me/1LhtdvI
Follow ""CBS This Morning"" on Twitter HERE: http://bit.ly/1Xj5W3p
Follow ""CBS This Morning"" on Instagram HERE: http://bit.ly/1Q7NGnY
Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B 
Each weekday morning, ""CBS This Morning"" co-hosts Gayle King, Anthony Mason and Tony Dokoupil deliver two hours of original reporting, breaking news and top-level newsmaker interviews in an engaging and informative format that challenges the norm in network morning news programs. The broadcast has earned a prestigious Peabody Award, a Polk Award, four News & Documentary Emmys, three Daytime Emmys and the 2017 Edward R. Murrow Award for Best Newscast. The broadcast was also honored with an Alfred I. duPont-Columbia Award as part of CBS News division-wide coverage of the shootings at Sandy Hook Elementary School in Newtown, Connecticut. Check local listings for ""CBS This Morning"" broadcast times.",https://i.ytimg.com/vi/2Cov0AsAvyg/default.jpg,120,90,https://i.ytimg.com/vi/2Cov0AsAvyg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2Cov0AsAvyg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2Cov0AsAvyg/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2Cov0AsAvyg/maxresdefault.jpg,1280.0,720.0,CBS Mornings,25,none,Graphic new bodycam footage revealed in Amber Guyger trial,"For the first time, jurors in the murder trial of a white former Dallas police officer, who shot and killed her black neighbor, saw video from the scene. The graphic new bodycam footage shows the chaotic moments after Amber Guyger killed Botham Jean in his own home. She claims she mistakenly thought it was her apartment. Omar Villafranca reports.

Watch ""CBS This Morning"" HERE: http://bit.ly/1T88yAR
Download the CBS News app on iOS HERE: https://apple.co/1tRNnUy
Download the CBS News app on Android HERE: https://bit.ly/1IcphuX
Like ""CBS This Morning"" on Facebook HERE: http://on.fb.me/1LhtdvI
Follow ""CBS This Morning"" on Twitter HERE: http://bit.ly/1Xj5W3p
Follow ""CBS This Morning"" on Instagram HERE: http://bit.ly/1Q7NGnY
Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B 
Each weekday morning, ""CBS This Morning"" co-hosts Gayle King, Anthony Mason and Tony Dokoupil deliver two hours of original reporting, breaking news and top-level newsmaker interviews in an engaging and informative format that challenges the norm in network morning news programs. The broadcast has earned a prestigious Peabody Award, a Polk Award, four News & Documentary Emmys, three Daytime Emmys and the 2017 Edward R. Murrow Award for Best Newscast. The broadcast was also honored with an Alfred I. duPont-Columbia Award as part of CBS News division-wide coverage of the shootings at Sandy Hook Elementary School in Newtown, Connecticut. Check local listings for ""CBS This Morning"" broadcast times.",PT2M35S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,248323,1162,0,1003,"['video', 'cbs', 'news', 'jurors', 'dallas', 'police', 'officer', 'neighbor', 'bodycam', 'footage', 'amber guyger', 'botham jean']","['AU', 'CA', 'JP']",,
youtube#video,VUgcHkCyQpkHce1abN6FqO1kjrQ,4GebED2C5wU,2019-09-24T14:28:02Z,UCBu0KdNokE4MqdkacvH37_A,Amber Guyger's 911 call played at trial; dispatcher talks about taking call,"Amber Guyger visibly teared up Tuesday when the 911 call she made the night Botham Jean died was played in court. The dispatcher who took the call was on the witness stand and talked about that night.

MORE: WFAA.COM/bothamjean",https://i.ytimg.com/vi/4GebED2C5wU/default.jpg,120,90,https://i.ytimg.com/vi/4GebED2C5wU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4GebED2C5wU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4GebED2C5wU/sddefault.jpg,640.0,480.0,,,,WFAA,25,none,Amber Guyger's 911 call played at trial; dispatcher talks about taking call,"Amber Guyger visibly teared up Tuesday when the 911 call she made the night Botham Jean died was played in court. The dispatcher who took the call was on the witness stand and talked about that night.

MORE: WFAA.COM/bothamjean",PT14M8S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,137571,845,0,733,"['amber guyger 911 call', 'dallas 911 call', 'dallas cop 911 call', '911', 'amber guyger', 'botham jean', 'shooting', 'officer', '911 call', 'dallas police shooting', 'amber guyger updates', 'did amber guyger know botham jean', 'botham jean shooting', 'botham jean update', 'botham jean video', 'botham jean death', ""amber guyger 911 call i'm sorry"", 'dallas cop', 'dallas cop shooting', 'dallas police officer', 'amber guyger update', 'guyger', 'botham', 'off-duty', 'dallas police', 'amber guyger 911 call im sorry', 'amber guyger trial']",,en,en
youtube#video,xWk0Lj-Bg4-xrk2WVE0-jvPHeeA,4VD1TRJ9_5Q,2019-07-01T18:38:54Z,UC8FAWQ90GQ4sKpvVFlf-u1A,Amber Mae Petersen Testifies on Proposed Commercial Fishing Regulations,,https://i.ytimg.com/vi/4VD1TRJ9_5Q/default.jpg,120,90,https://i.ytimg.com/vi/4VD1TRJ9_5Q/mqdefault.jpg,320,180,https://i.ytimg.com/vi/4VD1TRJ9_5Q/hqdefault.jpg,480,360,https://i.ytimg.com/vi/4VD1TRJ9_5Q/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/4VD1TRJ9_5Q/maxresdefault.jpg,1280.0,720.0,Michigan House Democrats,25,none,Amber Mae Petersen Testifies on Proposed Commercial Fishing Regulations,,PT21M19S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,17,0,0,0,"['Sara Cambensy', 'Marquette', 'fishing', 'great lake', 'fisheries', 'commercial fishing', 'fisherman', 'Michigan', 'House', 'Democrat']",,,
youtube#video,E5dAMw6kvcMegMZ7eYwf9-1v4Gg,6AjHw4vilCM,2020-07-17T21:32:19Z,UCIuXSfWcbuZA2KYEqnwzXcA,The most simple example of Amber Heard’s MANY inconsistencies when testifying about Johnny Depp,"I think this to be the most simple example of how Amber twists things around and has no problem lying under oath. 

Justice for Johnny Depp

twitter: @ingridatwww",https://i.ytimg.com/vi/6AjHw4vilCM/default.jpg,120,90,https://i.ytimg.com/vi/6AjHw4vilCM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6AjHw4vilCM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6AjHw4vilCM/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/6AjHw4vilCM/maxresdefault.jpg,1280.0,720.0,Ingridatwww,22,none,The most simple example of Amber Heard’s MANY inconsistencies when testifying about Johnny Depp,"I think this to be the most simple example of how Amber twists things around and has no problem lying under oath. 

Justice for Johnny Depp

twitter: @ingridatwww",PT1M45S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,304,4,0,0,,,,
youtube#video,zru_ELjZyAZR2JmVhGQq2qB_Tmc,7vDYVB27Uhg,2019-10-06T01:26:16Z,UC698utAall1mfEPTHFNBxZg,JOSHUA BROWN DEAD AFTER TESTIFYING AGAINST AMBER GUYGER,Joshua Brown pronounced dead after ALLEGEDLY he was shot in a drive by...while a car was seen leaving the scene of the crime. Please let me know what u think. STOP BY,https://i.ytimg.com/vi/7vDYVB27Uhg/default.jpg,120,90,https://i.ytimg.com/vi/7vDYVB27Uhg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7vDYVB27Uhg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/7vDYVB27Uhg/sddefault.jpg,640.0,480.0,,,,stop by,25,none,JOSHUA BROWN DEAD AFTER TESTIFYING AGAINST AMBER GUYGER,Joshua Brown pronounced dead after ALLEGEDLY he was shot in a drive by...while a car was seen leaving the scene of the crime. Please let me know what u think. STOP BY,PT4M56S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,455,9,0,2,,,,
youtube#video,E5rhRwvxqowAa675D7DL6p0WDC8,85ORH5On8q8,2016-06-15T19:49:24Z,UCtYK20bWrSkL1W94noRRTKQ,Amber Heard Scheduled to Testify Against Johnny Depp | E! News,"Amber Heard Scheduled to Testify Against Johnny Depp E! News.

Video Credit Goes to respected Owner : E! Entertainment Television.

for more latest videos please like, share and subscribe our channel :
https://www.youtube.com/channel/UCtYK20bWrSkL1W94noRRTKQ",https://i.ytimg.com/vi/85ORH5On8q8/default.jpg,120,90,https://i.ytimg.com/vi/85ORH5On8q8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/85ORH5On8q8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/85ORH5On8q8/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/85ORH5On8q8/maxresdefault.jpg,1280.0,720.0,ShowBiz Veedds,24,none,Amber Heard Scheduled to Testify Against Johnny Depp | E! News,"Amber Heard Scheduled to Testify Against Johnny Depp E! News.

Video Credit Goes to respected Owner : E! Entertainment Television.

for more latest videos please like, share and subscribe our channel :
https://www.youtube.com/channel/UCtYK20bWrSkL1W94noRRTKQ",PT2M30S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,374,2,0,0,"['Amber Heard', 'Johnny Depp', 'E! News', 'controversy', 'divorces', 'News', 'showbiz videos', 'hollywood', 'Daily News', 'Celebrity Video', 'Celebrity News', 'Gossips', 'celeb gossips', 'top stories', 'top News', 'Hollywood star', 'entertainment news', 'entertainment video']",,en,en-GB
youtube#video,ybCzZasf8r41gh2Ndy4-Ukjx9z0,9000wsnonDk,2019-09-30T23:53:41Z,UCBu0KdNokE4MqdkacvH37_A,Amber Guyger murder trial Day 7: Jury now deliberating,"UPDATE: The jury has found Amber Guyger guilty of murder in the shooting death of her neighbor Botham Jean on Sept. 6, 2018.

The jury reached the verdict late Tuesday morning, a day after closing arguments were delivered by both the state and defense. 

Jurors had to determine whether Guyger reasonably thought she was inside her own apartment at the time of the shooting and whether a reasonable person in her position would have shot Jean in self-defense, as she alleges",https://i.ytimg.com/vi/9000wsnonDk/default.jpg,120,90,https://i.ytimg.com/vi/9000wsnonDk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9000wsnonDk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/9000wsnonDk/sddefault.jpg,640.0,480.0,,,,WFAA,25,none,Amber Guyger murder trial Day 7: Jury now deliberating,"UPDATE: The jury has found Amber Guyger guilty of murder in the shooting death of her neighbor Botham Jean on Sept. 6, 2018.

The jury reached the verdict late Tuesday morning, a day after closing arguments were delivered by both the state and defense. 

Jurors had to determine whether Guyger reasonably thought she was inside her own apartment at the time of the shooting and whether a reasonable person in her position would have shot Jean in self-defense, as she alleges",PT5M36S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,17975,140,0,48,"['botham jean', 'amber guyger', 'amber guyger trial', 'amber guyger trial update', 'when is amber guyger trial', 'amber guyger 911 call im sorry', 'amber guyger youtube', 'where is amber guyger now', 'is amber guyger in jail', 'botham jean update', 'murder trial', 'dallas police', 'botham jean shooting', 'amber guyger murder trial', 'amber guyger trial live stream', 'dallas police shooting', 'botham-jean', 'judge tammy kemp', 'Amber guyger guilty', 'amber guyger guilty of murder']",,en,en
