kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.defaultLanguage,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount
youtube#video,f-jROfyPwa-XMwsvbqY_AaR4EmA,fczZOTMpOS8,2020-11-30T16:28:45Z,UCEVADn2sVFy_jcfGIT4GVOg,"Doc Ock in Spider-Man 3, Sohn von Jack Sparrow statt Johnny Depp & Amber Heard als Sue Storm?","Film-Gerüchte vom 30.November
00:00 Begrüßung
00:12 Amber Heard als Sue Storm in Fanastic Four?
03:11 Jack Sparrow Jr statt Johnny Depp in Fluch der Karibik 6?
06:13 Alfred Molina erneut als Doctor Octopus in Spider-Man 3 mit Tom Holland?

✖ Ein ABO für FilmFlash
http://bit.ly/FilmFlashabo

#FluchderKaribik #Film

✖ Check alle Serien- & Filmstarts:
https://screenflash.io/kalender/
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
💸 Unterstützen

Unterstützung durch Affiliate*:
✚ Disney+: http://bit.ly/DisneyPlusRen
✚ Prime Video: http://amzn.to/2kIzmyK
✚ Amazon: https://amzn.to/33HHhQ7
✚ Sky Ticket: http://bit.ly/2vM6pch
✚ JOYN PLUS: http://bit.ly/sfjoynplus
✚ TVNOW: http://bit.ly/sftvnow

 ✔ Kleines Trinkgeld geben: http://bit.ly/sf_tipee

HERZLICHEN DANK!
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
✖ SerienFlash & FilmFlash vereint in einer APP 

✚ Apple: http://bit.ly/ScreenFlash_ios
✚ Android: https://bit.ly/screenflash_android
✚ Als Website: http://bit.ly/screenflashio
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

💸 Unterstützen
via Trinkgeld geben: http://bit.ly/sf_tipee
oder 
via Amazon einkaufen*: https://amzn.to/2CRSbpJ

DICKEN DANK für Deine Unterstützung!

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
✖ FilmFlash
Ob Filmnews, Film-Tipps oder Neustarts, mit FilmFlash bist du immer informiert, was in der Film-Welt abgeht.

✖ Das komplette ""SF Universe"" vereint sich unter:
https://sfuniverse.de

✖ FilmFlash als iOS-APP & Website:
https://screenflash.io

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

✖ Social Media:
http://instagram.com/renkuehn
http://twitter.com/renkuehn

FOLGE uns auch gern auf ... 
✚ http://www.twitter.com/screenflashde
✚ http://www.instagram.com/screenflashde
✚ http://www.facebook.com/screenflashio

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

*Wer Produkte über meine Links einkauft, unterstützt mich. Die ausgewählten Firmen zahlen mir dafür eine kleine Provision aus. Der Preis bleibt dabei exakt der Gleiche für Euch.

Der Kanal wird durch Ren Kühn betrieben und durch ScreenFlash.io verwaltet. 

Impressum:
www.screenflash.io/impressum",https://i.ytimg.com/vi/fczZOTMpOS8/default.jpg,120,90,https://i.ytimg.com/vi/fczZOTMpOS8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/fczZOTMpOS8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/fczZOTMpOS8/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/fczZOTMpOS8/maxresdefault.jpg,1280.0,720.0,FilmFlash,"['Filmnews', 'Film News', 'Marvel News', 'Filmstarts', 'filmflash', 'Doctor Octopus', 'spider-man 3', 'tom holland', 'alfred molina', 'jack sparrow', 'johnny depp', 'fluch der karibik 6', 'jack sparrow jr', 'amber heard fantastic four', 'sue storm']",24,none,de,"Doc Ock in Spider-Man 3, Sohn von Jack Sparrow statt Johnny Depp & Amber Heard als Sue Storm?","Film-Gerüchte vom 30.November
00:00 Begrüßung
00:12 Amber Heard als Sue Storm in Fanastic Four?
03:11 Jack Sparrow Jr statt Johnny Depp in Fluch der Karibik 6?
06:13 Alfred Molina erneut als Doctor Octopus in Spider-Man 3 mit Tom Holland?

✖ Ein ABO für FilmFlash
http://bit.ly/FilmFlashabo

#FluchderKaribik #Film

✖ Check alle Serien- & Filmstarts:
https://screenflash.io/kalender/
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
💸 Unterstützen

Unterstützung durch Affiliate*:
✚ Disney+: http://bit.ly/DisneyPlusRen
✚ Prime Video: http://amzn.to/2kIzmyK
✚ Amazon: https://amzn.to/33HHhQ7
✚ Sky Ticket: http://bit.ly/2vM6pch
✚ JOYN PLUS: http://bit.ly/sfjoynplus
✚ TVNOW: http://bit.ly/sftvnow

 ✔ Kleines Trinkgeld geben: http://bit.ly/sf_tipee

HERZLICHEN DANK!
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
✖ SerienFlash & FilmFlash vereint in einer APP 

✚ Apple: http://bit.ly/ScreenFlash_ios
✚ Android: https://bit.ly/screenflash_android
✚ Als Website: http://bit.ly/screenflashio
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

💸 Unterstützen
via Trinkgeld geben: http://bit.ly/sf_tipee
oder 
via Amazon einkaufen*: https://amzn.to/2CRSbpJ

DICKEN DANK für Deine Unterstützung!

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
✖ FilmFlash
Ob Filmnews, Film-Tipps oder Neustarts, mit FilmFlash bist du immer informiert, was in der Film-Welt abgeht.

✖ Das komplette ""SF Universe"" vereint sich unter:
https://sfuniverse.de

✖ FilmFlash als iOS-APP & Website:
https://screenflash.io

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

✖ Social Media:
http://instagram.com/renkuehn
http://twitter.com/renkuehn

FOLGE uns auch gern auf ... 
✚ http://www.twitter.com/screenflashde
✚ http://www.instagram.com/screenflashde
✚ http://www.facebook.com/screenflashio

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

*Wer Produkte über meine Links einkauft, unterstützt mich. Die ausgewählten Firmen zahlen mir dafür eine kleine Provision aus. Der Preis bleibt dabei exakt der Gleiche für Euch.

Der Kanal wird durch Ren Kühn betrieben und durch ScreenFlash.io verwaltet. 

Impressum:
www.screenflash.io/impressum",de,PT9M7S,2d,hd,false,True,rectangular,processed,public,youtube,True,False,False,20413,1013,0,186
youtube#video,PBZP-hbf9GJ9zOp08QJLMcOOVes,SPcJyCp6Rv0,2018-09-23T05:47:02Z,UCZDEq2imzSy_toATyD1sIow,Amber’s Airline – High Hopes: Story (Chapter 2) (Voice-Overs; Subtitles),"What happened previously on “Amber’s Airline”: We met Amber Hope, a young woman wanting to be a flight attendant. She took a number of tests but ended up failing the final test: one which would require her to swim. A GameHouse Original Story (GHOS).

Play Now: https://go.onelink.me/GxDd",https://i.ytimg.com/vi/SPcJyCp6Rv0/default.jpg,120,90,https://i.ytimg.com/vi/SPcJyCp6Rv0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/SPcJyCp6Rv0/hqdefault.jpg,480,360,,,,,,,TiggerTips,"['Amber’s Airline', 'cutscenes', 'Amber’s Airline – High Hopes: The Movie', 'Snuggford Stories', 'GameHouse Original Stories', 'kid’s movie', 'child’s movie', 'movie based on game', 'snuggford movie', 'High Hopes', 'game movie', 'voice-over', '#IAmACreator', 'storyline']",20,none,en,Amber’s Airline – High Hopes: Story (Chapter 2) (Voice-Overs; Subtitles),"What happened previously on “Amber’s Airline”: We met Amber Hope, a young woman wanting to be a flight attendant. She took a number of tests but ended up failing the final test: one which would require her to swim. A GameHouse Original Story (GHOS).

Play Now: https://go.onelink.me/GxDd",en,PT31M32S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,4080,42,0,5
