,snippet.topLevelComment.snippet.authorChannelId.value
49,UCBoEye4ZzWU0ORZCJRyaYUA
50,UCBl2qIkM2c-UKmMdUxAdVKQ
51,UCerPysxgAi1KM_oyxtTA1cg
52,UCfXFKh6wxC2fUl7NxPZ8H5A
53,UCFZXylUNHcJyjC_Y3qsltWw
54,UCMPMGFaOlfe_gNmGtMZ-ayg
55,UCIP-rwRT-neNzaML_kgWhKQ
56,UCNby4osX5De5PPdlkdjahcg
57,UCQs9W01nd8UtYk4mrnSgXHw
58,UCQ7l6gfG4gNNq5js4Nl7beQ
59,UCwbZQqeMn_G5pAMlcU09IYA
60,UCmxAIEwk4imbto6AsRxJh_Q
61,UCOn6bvaJT-JR7nDhqj9IK7Q
62,UCd1snQSUURLEWb26KdTMz9A
63,UCKt9eNaRYhPO2-2NOYTsqgg
64,UCV78L8XLdnMGefcM3JiGRMw
66,UC3LYecXiKNfc8A0JgUeXWVg
67,UC_EdOIxUof2s3QmsdSO4xaw
68,UCGq8HdexxChHBY-B2FbqfFQ
69,UCVpvh8l1sOmnP7BWDfdBa7g
70,UCeqSPMSi4iujehCFOlwD9Rw
71,UCFH8qKGUKSXS2bbOnTnknUA
72,UC0_huWpbPuVGiLmU46_1EBA
73,UCUGe8zYHBIw94OcRXeACewA
74,UCsG1qTe7ujhEdmthZAx811Q
75,UCkWxDi2pQQeH6LneQ9iF0yw
76,UC6a_0BW29YKALjY9wDlam6Q
77,UCgdg5YSZRUxoLDXt9hvuNZA
78,UCR5Xownwm2SGnbqaZqJZMAA
79,UCfC1LIiSrHLwZ7cXM7VE2Wg
80,UCVHeIayT0EI5X7RJww5Ee2A
81,UCFUNCRS5nbrHhq2WwfsbQFw
83,UCKUPAhK89GOuAgvbfDHg3ww
84,UC8yqf3yb78mCZZOGuCEe1LA
85,UC_thSvU2MI1c37S-LAlgjxg
86,UCBuIBfdPID4QcOAogoSJTgQ
87,UC5ga81vF0qZQlTSTzQyjBAw
88,UCfYPuYbeYgV4kW0QDLlDybA
89,UClvG7QLmxV3D1lapBpQOk2Q
90,UChtJuJIDPlf8XrV92o82D7A
91,UC4xkDT1IF3xhVWKoWpkI6nQ
93,UCS34xYzXL8xqzWQ71rWOY_A
94,UCwrjVJqUmArjC4pxIfWiV_Q
95,UCZ3u1eAxDg2iTwhzki65sHQ
96,UC9rIGKJymcFXCsfEBTStiBA
97,UC8gcJX_ZCDfMbvx01n1gM-w
98,UCP2m7nNESg3tr0K7qe-W5BQ
99,UCpK0IgWJzVSDdcy5IPhihsw
100,UCEXSniyFUgBHKCnPTFx9oFg
101,UCMAwi5fm2yOSEeKd_Qv0Z2Q
102,UCM0BIyCPqVgaylK9k7cjosQ
103,UCSksQnB4nQU7gsF3MB31mWA
104,UC4U-AhuF2NoAdh22PcUcs7Q
105,UCNcQiU_Lyss5ncqJyEnukig
106,UCcTO3iZ6CGENXZ3nQgtI9kA
107,UCcMRai1whWUeQDUnRrkjCng
108,UCwveEJrW7xRDMAmkojW629Q
109,UC8bMAY_I2NcZFf7TcxhgQyg
110,UCH9TcL5mdR8KMbp5Upi7Buw
111,UCae-sEeNDNvPQg4UZAkYqZA
112,UCiBFDMfHDo85UebmhQH7_wg
113,UC_jkJDd82cMaB14v8Sug0Fw
114,UCz36nFe4EvJE8lVpp7xLOFw
115,UCvjuT1EKjNZqe398Oju1H_Q
116,UC9bPFF7M9w19xMuWhdQbr_w
117,UCfRBc6FkTOVeyd_5J2mAzNA
118,UCFNAfL7WzMPVGkOJnfM8KCA
119,UCz7vlkcn-ZjsUUWaA8Twk3Q
120,UC8SYBQFxGNaQap1RhCjjwDQ
121,UCgRJCpKVNYOCAOHHy-AyPdg
122,UCBlYRFV9h2j3hwBZJqnaLfQ
123,UC8TfvTdn4nAKPMuhw7-BGQQ
124,UC6Xr2EoolHJjMgNPzhEynPA
126,UCLYIv50VG9hw4vbLP0D-T9g
127,UCt2oIO0HdChH53tpd6tv_aQ
128,UC5aSiaAjenNgnzZ7AjJGA4g
129,UCwQOgwMHJN7mmkSy_YC3wag
130,UCphZPxEc5_psd2-8REyX45g
131,UC_RfcctAAM0r0cx27HbcsvQ
132,UC38mkpui_TGet2gtoaQ-Qdw
133,UC8W9Qv_eS7yIDto4TOd1jRQ
134,UCBu76QRsxkqdPBJEn2QEKIA
135,UCfO_WRnZtbVArfxClnL-XAg
136,UCnJ-arAb89uhIAFa4OK-jxQ
137,UCu8ZQT_dgBROAr2IpQoV5-A
138,UCsihvTLD_5DtYg9B-0ssjhQ
139,UCkUPWp6pfAWrY8UqAukm-tQ
140,UCViQ5U628dFYJE_x32R6FIA
141,UCokPRhBbrIKpqx0N6tPvxeQ
143,UCl7IWBsMcuEH7UGFYOPnJcw
144,UCbdARiaIke1yxzzFV1q27sw
145,UCkh_9jge7tpQTLPt9Ua-ZDA
146,UCij-gJZKH_fxRWASVjoDr-A
147,UC0AETTJneM5nZZMPyiXhF7g
148,UCjuUjmGc42Yl6-5ECvxr3IQ
149,UCeO3OADvO39ooeK0_lNwKLQ
150,UCNR6XTV4NQoUfWCNV-uxcHA
151,UCcKjFmpvz_E6s8Nska-NwxA
152,UCsv1P2C6RykDMkUMM1nDjjA
153,UCIYZPjrPqQxRIybdrMly7fQ
154,UCarFnCQLsuu8RcXI5W56eaA
155,UC5M0foFkP7w1u-zQS8A5WAw
156,UCkK5Tpv9WL3HavkFUHt7fjQ
157,UCfulVF01ZFZacJNmC0uq0CQ
160,UCfEEQsjXYLfq_S587ATUyeQ
161,UC_tKE4wYhfI5giygCSYAK7g
162,UCNYK_NeFxSvj1gKkSyLG9Ow
163,UCZwqueyp9-y9fmm2dwSslhQ
164,UCW3m-qofDjsNyovB3cZy1Nw
165,UC3r2bFWshcRqX00ToQbUayA
166,UCJa0TKGsdkeyMwEiQvZi-Nw
167,UCQSAyjfe6S4SAKcU521XKYg
168,UCocahK7uKEB1E1mU3yZkQ5Q
170,UCgKrXK8RD5SCU02hzKpbiMg
171,UCZqX82zbigge1BIAonvGavg
172,UCEsNV5hV-ZbZpPuC7h6eEvw
173,UCQqmsvVUCyRKaYD9w9omNGw
174,UCc9AiMDQ2yFcMdMy-guI_GQ
175,UCJ7cID_Xi2ipa0PiKlFUHXA
176,UCv0C8QryJ3MzdtQ98ifCRMA
177,UCCG1WcVsNm0E4Wi6EAJKBbw
178,UC2BZKmCXgEQCaFasGtpfFMQ
179,UCwPHwO4570IeEaQj9m5Lpvg
180,UCJtYLIdttaFQ4VbmVZFQZKQ
181,UCi0f_bY5OMV3Olb5G_rvJpQ
182,UCfTR62c9lBSTOSDxz8c9XhQ
183,UCtG--tlvufPNoMhxgWC_NCw
188,UCYzweG9PoXR1SZqTCKjuVTA
189,UC-e7WPc34ygkQE9d8DO9aQQ
190,UC_CHm0R7uMcl7AFwqJiND6w
191,UCLXU1zv4k84ZP4fFGkNmQiA
192,UCblH2wV8zqv4H0vd20_2s7Q
193,UCzajfgjq_JM2OE1JrRCxbSw
194,UCYU2FJzK9cHdzq0AH5YHS4Q
195,UCk-h3biPHUuO8Cf71H_zMtQ
196,UCTOMjcnja9Ddxi3XePpCHcg
197,UCUPphZeAVt57nyRHEEdW3VA
198,UCo8tuHQelwp6qXUmOCQOdtQ
199,UCzRgtXDbixRydfN8963fKWQ
200,UCY-oj_W31q2VsZ9axZtb43Q
201,UCDKsaBTMGi2cPax_AOZVchQ
202,UCDhKeWOrR28Q84KF0Y08_6g
206,UCwXlgPgBl5vxgv1j9eVUFyA
207,UCF4dLnc2XC1IJ97WFoSyDbw
208,UC2VNDHGcIjPRck55hDkiPWg
209,UCo9-F6pTF2z-U5mlYfBYRsg
