,urls,title,n_views,n_likes,n_dislikes,n_favorites,n_comments,total
191,https://www.youtube.com/watch?v=uretrfMA-Io,amber heard's 2020 takeaway: 'adapt & survive',2451003,3910.0,479614.0,0,131021.0,2934527.0
28,https://www.youtube.com/watch?v=0YrPGo2cU0k,amber heard | aquaman | whatsapp status #wharan full screen 🔥,2355617,142987.0,3565.0,0,864.0,2502169.0
147,https://www.youtube.com/watch?v=74bDLtT6Khw,10 celebrities who defended johnny depp against amber heard...,1576174,53582.0,1292.0,0,4261.0,1631048.0
21,https://www.youtube.com/watch?v=1Q1S8jve-2o,"aquaman 2 (2022) teaser trailer - jason momoa, amber heard (fan made)",1017877,8579.0,3058.0,0,215.0,1029514.0
169,https://www.youtube.com/watch?v=IBDLqO-7h3A,dietitians thoughts on amberlynn reid’s diet & mukbangs (this might be hard to watch...),907847,23095.0,1277.0,0,3775.0,932219.0
72,https://www.youtube.com/watch?v=alhBKPOO7B4,celebrities exposed by their former assistants | marathon,837331,24303.0,1082.0,0,3268.0,862716.0
6,https://www.youtube.com/watch?v=1yuki8YG3xA,rewarding abusive women: the amber heard story (wtf is this?),423171,36166.0,307.0,0,4646.0,459644.0
168,https://www.youtube.com/watch?v=U00nRDrD3YU,aquaman and mera under water scene jason momoa and amber heard whatsapp statues,444213,11778.0,398.0,0,48.0,456389.0
32,https://www.youtube.com/watch?v=ToXopOzSZJs,aquaman mera whatsapp status in vertical | amber heard |,401701,14892.0,351.0,0,78.0,416944.0
123,https://www.youtube.com/watch?v=IkTwNd4JYa0,instant regret for amber heard! karma comes to collect over johnny depp injustice!,202347,10233.0,166.0,0,1719.0,212746.0
152,https://www.youtube.com/watch?v=XqdI8icEbDM,amber heard gets demolished.....,164621,15025.0,475.0,0,1500.0,180121.0
42,https://www.youtube.com/watch?v=val9ZFMBjmc,elon musk and amber heard busted lying!; depp wins by forcing elon to testify!,161633,4606.0,155.0,0,691.0,166394.0
