,urls,title,n_views,n_likes,n_dislikes,n_favorites,n_comments,total
626,https://www.youtube.com/watch?v=A1kOXoxgt18,the day olive was born... 1 million subscriber special | family roleplay,7271086,154907.0,4605.0,0,12352.0,7430598.0
122,https://www.youtube.com/watch?v=oJNQm_Hu3hM,full match - wwe women’s tag team championship elimination chamber match: elimination chamber 2019,4869259,56688.0,2738.0,0,2190.0,4928685.0
440,https://www.youtube.com/watch?v=468fHSD-5Nw,"lady finds a tiny, lost baby deer in the forest | rescued! | dodo kids",4722412,19740.0,1324.0,0,0.0,4743476.0
685,https://www.youtube.com/watch?v=GWUMe-u9zKE,"""you saved me"" johnny depp thanks his supporters for defending him (video)",3890345,191932.0,2904.0,0,18268.0,4085181.0
365,https://www.youtube.com/watch?v=T0jOgW9kSgU,amber heard ruined johnny depp #shorts,3152286,200336.0,3219.0,0,2785.0,3355841.0
30,https://www.youtube.com/watch?v=2XtaTEAt9N4,how amber heard destroyed johnny depp tiktok: charlesperalo,2734380,142425.0,3679.0,0,4820.0,2880484.0
63,https://www.youtube.com/watch?v=yANbdh_gK6c,amber heard whatsapp status full screen 🔥,1834308,80587.0,2478.0,0,504.0,1917373.0
727,https://www.youtube.com/watch?v=pZR2_v4UpgI,amber heard’s lawyer exposes her for ruining johnny depp,1591019,40895.0,609.0,0,5487.0,1632523.0
350,https://www.youtube.com/watch?v=pxWf6YMWcg0,amber heard 4k hd full screen whatsapp status | mera | aquaman whatsapp status | super girl status,1405585,84666.0,1739.0,0,522.0,1491990.0
552,https://www.youtube.com/watch?v=CECKjlS-7es,johnny depp & amber heard 😍 | dakota johnson | hd whatsapp status | 4k #shorts,1373255,36430.0,568.0,0,240.0,1410253.0
190,https://www.youtube.com/watch?v=d4v0E7kkaVQ,trolling a protest with absurd protest signs,1256929,118811.0,3255.0,0,14613.0,1378995.0
147,https://www.youtube.com/watch?v=siGE-fVUHG4,disney apologizes to johnny depp after this...,1333325,28801.0,1124.0,0,4570.0,1363250.0
470,https://www.youtube.com/watch?v=y5p28nEjVYI,6 disturbing details of meghan and harry's relationship,1306224,50706.0,1807.0,0,6033.0,1358737.0
340,https://www.youtube.com/watch?v=bCk2xMs6j8M,"celebrities defending johnny depp against amber heard (elon musk, jason momoa, sia, alice cooper)",1234085,25809.0,2810.0,0,2298.0,1262704.0
46,https://www.youtube.com/watch?v=gECq8x8b6bo,10 celebrities that defended johnny depp against amber heard,1056676,41871.0,979.0,0,3072.0,1099526.0
492,https://www.youtube.com/watch?v=gEfWUbRfFR8,how amber heard destroyed her own career,997674,23389.0,464.0,0,3910.0,1021527.0
48,https://www.youtube.com/watch?v=UvsHWTGHmts,amber heard faces 10 years in prison for accusations against johnny depp!!!,963776,24544.0,957.0,0,3865.0,989277.0
114,https://www.youtube.com/watch?v=O1Rrb3ET21c,celebrities who spoke up about amber heard's lies,929216,16907.0,395.0,0,2789.0,946518.0
767,https://www.youtube.com/watch?v=Bu1uOt5Tyoc,elon musk speaks against amber heard & defends johnny depp!!!,908240,11313.0,3130.0,0,2662.0,922683.0
574,https://www.youtube.com/watch?v=WLgXd5H6Q2A,disney officially apologizes to johnny depp after firing him!!!,866811,34942.0,636.0,0,4801.0,902389.0
212,https://www.youtube.com/watch?v=VjBYuyHvAkQ,when a nobody acts like a legend. amber heard copying johnny depp & failing miserably (pt 1),828056,26005.0,469.0,0,1804.0,854530.0
701,https://www.youtube.com/watch?v=pk4FCnbehCM,amber heard faces 10 years in prison for pocketing charity donations from johnny depp,792306,33541.0,1069.0,0,5551.0,826916.0
829,https://www.youtube.com/watch?v=5Ny1vJpYkgc,amber & gary get into it at the reunion | teen mom og,739991,6197.0,295.0,0,2510.0,746483.0
24,https://www.youtube.com/watch?v=tybOcw3gQzc,amber heard facing 10 years in prison for fake johnny depp accusations!?,643030,24383.0,582.0,0,4046.0,667995.0
522,https://www.youtube.com/watch?v=b3-sAQaBOoY,el asesinato de amber hagerman - documental,643835,22517.0,485.0,0,1560.0,666837.0
571,https://www.youtube.com/watch?v=9AAaaZGiDo0,toute la verite sur l'affaire johnny depp - amber heard (partie 1) #givdt 39,570570,31911.0,323.0,0,1660.0,602804.0
282,https://www.youtube.com/watch?v=J--nC12W-YI,why amber feels so bad to play (gameplay design analysis),557973,26256.0,371.0,0,2945.0,584600.0
