urls,comment,publish_dtime,n_likes,n_replies,total
https://www.youtube.com/watch?v=GWUMe-u9zKE,"No woman should hit a man, just like no man should hit a woman.",2021-01-31 15:09:00+00:00,54884.0,487.0,55371.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,Disneyâ€™s got a lot of balls to think people will watch Pirates of the Caribbean without Johnny Depp,2021-02-01 17:02:16+00:00,46526.0,445.0,46971.0
https://www.youtube.com/watch?v=b9V3Pj47x4c,The camera man is the fastest,2021-01-26 01:40:38+00:00,37998.0,495.0,38493.0
https://www.youtube.com/watch?v=d4v0E7kkaVQ,"""homosexuals are gay"" im dead",2021-01-10 16:42:30+00:00,23634.0,407.0,24041.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,Men are victims too.,2021-02-24 01:39:30+00:00,20738.0,230.0,20968.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,Lol sheâ€™s a professional actor and her lying is terrible.,2021-02-05 21:50:47+00:00,20547.0,74.0,20621.0
https://www.youtube.com/watch?v=WLgXd5H6Q2A,Pirates of the Caribbean is nothing literally nothing without Jonny Depp,2021-02-02 20:36:54+00:00,18426.0,148.0,18574.0
https://www.youtube.com/watch?v=b9V3Pj47x4c,Snyder Cut showed Flash is waaaaaay faster!,2021-03-27 21:30:46+00:00,17489.0,321.0,17810.0
https://www.youtube.com/watch?v=bCk2xMs6j8M,The fact that Depp's ex wife and all these other women are defending Johnny should tell you something.,2021-03-22 18:44:30+00:00,17651.0,149.0,17800.0
https://www.youtube.com/watch?v=bCk2xMs6j8M,Fire amber from playing Mera and let Jason take her place. He can be both parts. Especially with that lovely flowing hair.,2021-03-15 00:40:34+00:00,17172.0,205.0,17377.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,"She ruined his career, his life and probably his mental health and she's so proud of herself. It is just disgusting.",2021-02-01 02:57:13+00:00,16329.0,97.0,16426.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,"Johnny's career IS NOT over. We, his fans love him even more...arrr matey's",2021-02-05 20:19:09+00:00,15754.0,99.0,15853.0
https://www.youtube.com/watch?v=d4v0E7kkaVQ,If people actually had a sense of humor everyone would laugh,2021-01-21 12:18:45+00:00,14198.0,110.0,14308.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,I can't think of a man who has all his exes backing him up and defending him. Just that is... is precious,2021-02-21 05:49:38+00:00,13772.0,41.0,13813.0
https://www.youtube.com/watch?v=dBi3y4w3oAY,I'm really impressed by how this film manages to look so low budget and high budget at the same time,2021-01-17 17:25:48+00:00,13610.0,174.0,13784.0
https://www.youtube.com/watch?v=d4v0E7kkaVQ,"""homosexuals are gay"" i mean hes not wrong",2021-01-26 18:45:50+00:00,13494.0,77.0,13571.0
https://www.youtube.com/watch?v=gECq8x8b6bo,The fact that his ex wife that he cheated on defended him says a lot.,2021-02-20 02:27:26+00:00,13359.0,114.0,13473.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,"â€œThey wonâ€™t believe you, because youâ€™re a man.â€‌

SHE IS NOT A VICTIM.",2021-01-30 13:46:07+00:00,12544.0,82.0,12626.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,"I'm still so mad that Warner bros fired Johnny, even when he did nothing wrong. Say it with me: WOMEN CAN ABUSE TOO",2021-02-12 19:55:29+00:00,12183.0,102.0,12285.0
https://www.youtube.com/watch?v=gECq8x8b6bo,"â€œThey wonâ€™t believe you, because you are a manâ€‌

She is NOT a victim.",2021-02-21 03:43:52+00:00,12118.0,65.0,12183.0
https://www.youtube.com/watch?v=UvsHWTGHmts,Being a woman doesnâ€™t make you innocent and being a man doesnâ€™t make you guilty,2021-01-20 18:31:41+00:00,11880.0,136.0,12016.0
https://www.youtube.com/watch?v=ZzcUoAwYWU8,"And just like that, this video made me want to level up my Amber to 90.




*This isn't a joke btw. It was all worth it to hear her tell me, ""Thank you""",2021-02-08 23:26:01+00:00,11679.0,71.0,11750.0
https://www.youtube.com/watch?v=bCk2xMs6j8M,Justice for Depp,2021-03-28 13:01:16+00:00,11542.0,70.0,11612.0
https://www.youtube.com/watch?v=pZR2_v4UpgI,I appreciate this so much! I'm glad that truth is coming out now.,2021-02-15 02:37:17+00:00,11223.0,80.0,11303.0
https://www.youtube.com/watch?v=hQFFm_X2lps,Lol Amberâ€™s own parents have spoken out against her. Sheâ€™s done.,2021-02-05 19:43:01+00:00,10608.0,79.0,10687.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,She thinks sheâ€™s done so well by ruining his career and reputation but all sheâ€™s done is destroyed her own hahaha,2021-01-28 22:39:46+00:00,10579.0,65.0,10644.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,She is so disrespectful and immature.  Rolling her eyes like that is typical of an abuser they always dismiss and deny the reality of the person they abused which is also abusive.  Itâ€™s just piling abuse upon abuse.,2021-02-16 17:01:21+00:00,10380.0,28.0,10408.0
https://www.youtube.com/watch?v=978iHuFKfS4,This song took Madison to another level,2021-03-04 09:09:21+00:00,10311.0,44.0,10355.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,"""Being a woman doesn't make you innocent and being a man doesn't make you guilty""",2021-01-30 02:57:34+00:00,10256.0,67.0,10323.0
https://www.youtube.com/watch?v=VjBYuyHvAkQ,Johnny getting dragged away like: â€œwait wait just one more. JUST ONE MORE I SWEAR!â€‌,2021-02-01 16:17:42+00:00,10013.0,80.0,10093.0
https://www.youtube.com/watch?v=d4v0E7kkaVQ,69 likes for part 2? Leave a comment with funny protest sign recommendations!,2021-01-07 00:31:09+00:00,9401.0,450.0,9851.0
https://www.youtube.com/watch?v=T0jOgW9kSgU,Notice how when Amber would turn her head towards he doesn't look at her but with Kate she turned her head and he started smiling and looked at her. I just know he's scared of her he's so scared that he can't LOOK at her that's sad so sad I feel so bad for him having to go through all that hell is just crazy I hope amber gets put in prison and johnny gets the justice he deserves. JUSTICEFORJOHNNYDEPP,2021-04-12 17:52:05+00:00,9813.0,35.0,9848.0
https://www.youtube.com/watch?v=gEfWUbRfFR8,"she should be in jail, not cancelled. Why would a man goes to jail for domestic abuse and Heard would get a slap on the wrist or lose a movie contract !!! This is fucked",2021-03-22 16:07:08+00:00,9628.0,201.0,9829.0
https://www.youtube.com/watch?v=ZzcUoAwYWU8,"I like how she randomly calls upon an adeptus to help her, specifically Xiao",2021-01-26 21:23:44+00:00,9739.0,26.0,9765.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,How dare she claim that she is speaking up for abused women when she is the main reason why their claims arenâ€™t taken seriously!,2021-02-10 07:55:18+00:00,9665.0,47.0,9712.0
https://www.youtube.com/watch?v=qjvrKQTkTps,ًں‘¨â€چًں¦²ًں¤™,2021-02-11 02:52:27+00:00,9575.0,118.0,9693.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,Amber has no fans. Johnny is a king at heart. His fans know that he is right.,2021-02-10 06:57:29+00:00,9380.0,196.0,9576.0
https://www.youtube.com/watch?v=pZR2_v4UpgI,The way his exâ€™s are coming to his defense says a lot,2021-02-15 19:19:43+00:00,9415.0,65.0,9480.0
https://www.youtube.com/watch?v=J--nC12W-YI,"This is why i respect Amber mains so much, just imagine the amount of patience and endurance they went through to play her",2021-03-31 20:18:09+00:00,9265.0,101.0,9366.0
https://www.youtube.com/watch?v=d4v0E7kkaVQ,"""Generic angry slogan"" is the best protest sign ever",2021-01-26 22:13:42+00:00,9237.0,20.0,9257.0
https://www.youtube.com/watch?v=Q_Ek1nWndTg,"Plot twist: they followed the wrong car and just kidnapped a mans baby, causing another Amber Alert",2021-01-13 20:35:08+00:00,9117.0,40.0,9157.0
https://www.youtube.com/watch?v=UvsHWTGHmts,"Funny how Amber Heard wanted to be ""the face "" of the women's victims movement. But Johnny kinda became ""the face"" of male victims. 
That might be one of the biggest Uno reverse cards in history.",2021-01-21 16:39:58+00:00,9032.0,59.0,9091.0
https://www.youtube.com/watch?v=d4v0E7kkaVQ,"'Homosexuals are gay' Hmm yes, the floor here is made out of floor",2021-01-26 02:19:41+00:00,8932.0,42.0,8974.0
https://www.youtube.com/watch?v=A1kOXoxgt18,awww this is so cuteًںک­once again congrats on 1 MILLION! thats such a big milestoneًں’—â­گï¸ڈ,2021-02-05 20:46:38+00:00,8416.0,490.0,8906.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,"She didn't like to be interrupted in her interview, but she's at court chomping down food while she's being questioned.",2021-02-11 04:18:55+00:00,8848.0,28.0,8876.0
https://www.youtube.com/watch?v=74bDLtT6Khw,"â€œThey wonâ€™t believe you, because you are a manâ€‌

She is NOT a victim.",2021-02-03 11:28:32+00:00,8714.0,33.0,8747.0
https://www.youtube.com/watch?v=d4v0E7kkaVQ,"I like how he agrees with their insults. â€œYouâ€™re an idiot!â€‌ â€œYes, I am.â€‌ Then they have nothing to say. Lmao",2021-01-19 16:15:49+00:00,8622.0,23.0,8645.0
https://www.youtube.com/watch?v=b9V3Pj47x4c,Flasheâ€™s stance looks like the most un-athletic starting position possible.,2021-01-26 20:49:56+00:00,8523.0,117.0,8640.0
https://www.youtube.com/watch?v=bCk2xMs6j8M,Man Johnny is so kind that all the ladies that have worked with him or had a marriage with him have NOTHING bad to say about him,2021-03-20 15:10:14+00:00,8554.0,77.0,8631.0
https://www.youtube.com/watch?v=GWUMe-u9zKE,Who the hell allows someone to bring FOOD to a court room and also ALLOWS them to eat it while the other person is explaining their side of the story? -_-,2021-01-28 21:50:29+00:00,8484.0,132.0,8616.0
https://www.youtube.com/watch?v=ZzcUoAwYWU8,"""Xiao a hand? ""

Man Amber just straight up called himًںک‚",2021-01-24 04:51:38+00:00,8548.0,18.0,8566.0
