urls,comment,publish_dtime,n_likes,n_replies,total
https://www.youtube.com/watch?v=uretrfMA-Io,"â€œThey wonâ€™t believe you, because you are a manâ€‌

She is NOT a victim.",2020-12-24 00:34:56+00:00,38317.0,199.0,38516.0
https://www.youtube.com/watch?v=jYdaQJzcAcw,Pure nostalgia listening to this,2020-12-29 23:40:21+00:00,37522.0,133.0,37655.0
https://www.youtube.com/watch?v=uretrfMA-Io,this woman tries way too hard to seem likeable and she fails miserably,2020-12-16 14:53:52+00:00,37076.0,90.0,37166.0
https://www.youtube.com/watch?v=uretrfMA-Io,Why give this abuser screentime. She's not a victim.,2020-12-16 08:36:13+00:00,35791.0,76.0,35867.0
https://www.youtube.com/watch?v=uretrfMA-Io,"â€œThey wonâ€™t believe you, because you are a manâ€‌

She is NOT a victim.",2020-12-24 23:26:35+00:00,33990.0,112.0,34102.0
https://www.youtube.com/watch?v=uretrfMA-Io,"Imagine giving an abuser a platform. As a victim of Domestic Abuse I find this appalling. 
Shame on you.",2020-12-15 23:35:13+00:00,33999.0,90.0,34089.0
https://www.youtube.com/watch?v=uretrfMA-Io,This persons a monster. Why give her any spotlight?,2020-12-15 19:46:42+00:00,33215.0,424.0,33639.0
https://www.youtube.com/watch?v=uretrfMA-Io,Don't believe anything this woman says lmfao,2020-12-15 21:49:38+00:00,33330.0,78.0,33408.0
https://www.youtube.com/watch?v=uretrfMA-Io,"""Nobody will believe you because you are a man.""",2020-12-22 00:30:52+00:00,32918.0,133.0,33051.0
https://www.youtube.com/watch?v=uretrfMA-Io,"I hear Amber is giving talks on Domestic Violence. I'm curious, is it like a â€œhow to get away with itâ€‌ guide?",2020-12-22 01:18:14+00:00,26827.0,202.0,27029.0
https://www.youtube.com/watch?v=uretrfMA-Io,The only good thing about this video is that the comments aren't disabled.,2020-12-22 02:34:35+00:00,17787.0,125.0,17912.0
https://www.youtube.com/watch?v=jYdaQJzcAcw,His friend a real g. He ran back for him like he was his brother. Respect,2020-12-14 21:25:19+00:00,17794.0,44.0,17838.0
https://www.youtube.com/watch?v=uretrfMA-Io,Why is she getting any play at all?? Get her off my screen,2020-12-15 21:54:32+00:00,17100.0,56.0,17156.0
https://www.youtube.com/watch?v=74bDLtT6Khw,Imagine the kind of person where even your exâ€™s defend your character. He sounds like a wonderful person.,2020-12-30 21:32:51+00:00,15209.0,65.0,15274.0
https://www.youtube.com/watch?v=uretrfMA-Io,"â€œThey wonâ€™t believe you, because you are a manâ€‌

She is NOT a victim.",2020-12-26 03:46:47+00:00,14414.0,77.0,14491.0
https://www.youtube.com/watch?v=Yj6V_a1-EUA,"If someone notices this, Iâ€™m still alive and fighting depression",2020-12-27 16:11:08+00:00,13934.0,498.0,14432.0
https://www.youtube.com/watch?v=uretrfMA-Io,Justice for Johnny,2020-12-15 16:58:26+00:00,12796.0,43.0,12839.0
https://www.youtube.com/watch?v=EhnKxb99Li8,"Johnny: Loses money and his mom dies.
Amber: Lemme record this.",2020-12-19 20:59:16+00:00,12156.0,208.0,12364.0
https://www.youtube.com/watch?v=uretrfMA-Io,Screw you Access. This woman should be in jail for what she did to Johnny,2020-12-21 23:20:47+00:00,12040.0,145.0,12185.0
https://www.youtube.com/watch?v=uretrfMA-Io,Not a bot and signed every petition against Amber Heard!!!   #JusticeforJohnny,2020-12-15 20:41:24+00:00,11170.0,92.0,11262.0
https://www.youtube.com/watch?v=Q_Ek1nWndTg,"""You're honor I just saved this kid""
Judge: You assaulted a man and took off with his child",2020-12-07 12:07:00+00:00,11121.0,37.0,11158.0
