kind,etag,id,snippet.title,snippet.description,snippet.publishedAt,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.localized.title,snippet.localized.description,contentDetails.relatedPlaylists.likes,contentDetails.relatedPlaylists.uploads,statistics.viewCount,statistics.subscriberCount,statistics.hiddenSubscriberCount,statistics.videoCount,status.privacyStatus,status.isLinked,status.longUploadsStatus,brandingSettings.channel.title,brandingSettings.channel.description,topicDetails.topicIds,topicDetails.topicCategories,brandingSettings.channel.unsubscribedTrailer,brandingSettings.image.bannerExternalUrl,brandingSettings.channel.keywords,snippet.country,brandingSettings.channel.country,status.madeForKids,snippet.customUrl,brandingSettings.channel.moderateComments,snippet.defaultLanguage,brandingSettings.channel.defaultLanguage,brandingSettings.channel.trackingAnalyticsAccountId
youtube#channel,2nE00Mzy4BGuxwuXRUwLX-cNmLc,UC-BCdEW9-bujaSEPZfMrDtA,Syed Afiq,,2021-03-05T11:18:43.987864Z,https://yt3.ggpht.com/ytc/AKedOLRgkHGdTbVL8_Q_ELsf2A3p4gpI4ssg4Iozad6liVM=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLRgkHGdTbVL8_Q_ELsf2A3p4gpI4ssg4Iozad6liVM=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLRgkHGdTbVL8_Q_ELsf2A3p4gpI4ssg4Iozad6liVM=s800-c-k-c0x00ffffff-no-rj,800,800,Syed Afiq,,,UU-BCdEW9-bujaSEPZfMrDtA,0,0,False,0,public,True,longUploadsUnspecified,Syed Afiq,,,,,,,,,,,,,,
youtube#channel,NWSdAjJpU_9kovNhagtlJErpDSs,UC-BFox34AXmz03h8Lrl-a_g,Señor SS,,2014-06-20T01:53:01Z,https://yt3.ggpht.com/ytc/AKedOLSUyxQSRk6EEspCr2T9zXiQRDF-1-O1ZACtwqFp=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLSUyxQSRk6EEspCr2T9zXiQRDF-1-O1ZACtwqFp=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLSUyxQSRk6EEspCr2T9zXiQRDF-1-O1ZACtwqFp=s800-c-k-c0x00ffffff-no-rj,800,800,Señor SS,,,UU-BFox34AXmz03h8Lrl-a_g,0,1,False,0,public,True,longUploadsUnspecified,Señor SS,,,,,,,,,,,,,,
youtube#channel,s9drFhy1sLTbPPcR1jKaKHnFYfM,UC-bVqqxWC7f9ptktFE15i2w,الاسد الجريح,,2021-04-26T20:53:07.469861Z,https://yt3.ggpht.com/ytc/AKedOLRp8iCRZpatbbVYRkApcK4CeFS1IDfsZpbFiOxr=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLRp8iCRZpatbbVYRkApcK4CeFS1IDfsZpbFiOxr=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLRp8iCRZpatbbVYRkApcK4CeFS1IDfsZpbFiOxr=s800-c-k-c0x00ffffff-no-rj,800,800,الاسد الجريح,,,UU-bVqqxWC7f9ptktFE15i2w,0,0,False,0,public,True,longUploadsUnspecified,الاسد الجريح,,,,,,,,,,,,,,
youtube#channel,EaZSMtzomvZSxGXJQp7aygL_nxY,UC-C0emcbs_PrAbWS4gUcGVA,Marta Rodrigues,,2017-07-14T23:48:11Z,https://yt3.ggpht.com/ytc/AKedOLTcDzgHg-XAkp8N7rq7-nEo-Tgzjh8w22fkUQ=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLTcDzgHg-XAkp8N7rq7-nEo-Tgzjh8w22fkUQ=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLTcDzgHg-XAkp8N7rq7-nEo-Tgzjh8w22fkUQ=s800-c-k-c0x00ffffff-no-rj,800,800,Marta Rodrigues,,,UU-C0emcbs_PrAbWS4gUcGVA,0,0,False,0,public,True,longUploadsUnspecified,Marta Rodrigues,,,,,,,,,,,,,,
youtube#channel,gkJeGtKfRASDLzvxp8vjvtxao7g,UC-CB-g60FwQ4U1sJ3ur-Bug,Rag Doll,"Vegan, ethical, eco, sustainable, organic lifestyle magazine blog.  http://www.facebook.com/RagDollMagazine http://www.pinterest.com/RagDollMag https://ragdollmagazine.blogspot.com/ twitter: @priscillacita and @RagDollMagBlog Instagram: @rag_doll_magazine and @officialelysiamfanclub",2015-09-10T09:22:16Z,https://yt3.ggpht.com/Tqkkytc_w5cHq8ukRuOkSgzdeGjI8UxaWwkjcFUL0jnt6RaXvnWa6z1i03YYXf9FesU-j1Z2=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/Tqkkytc_w5cHq8ukRuOkSgzdeGjI8UxaWwkjcFUL0jnt6RaXvnWa6z1i03YYXf9FesU-j1Z2=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/Tqkkytc_w5cHq8ukRuOkSgzdeGjI8UxaWwkjcFUL0jnt6RaXvnWa6z1i03YYXf9FesU-j1Z2=s800-c-k-c0x00ffffff-no-rj,800,800,Rag Doll,"Vegan, ethical, eco, sustainable, organic lifestyle magazine blog.  http://www.facebook.com/RagDollMagazine http://www.pinterest.com/RagDollMag https://ragdollmagazine.blogspot.com/ twitter: @priscillacita and @RagDollMagBlog Instagram: @rag_doll_magazine and @officialelysiamfanclub",,UU-CB-g60FwQ4U1sJ3ur-Bug,0,1,False,0,public,True,longUploadsUnspecified,Rag Doll,"Vegan, ethical, eco, sustainable, organic lifestyle magazine blog.  http://www.facebook.com/RagDollMagazine http://www.pinterest.com/RagDollMag https://ragdollmagazine.blogspot.com/ twitter: @priscillacita and @RagDollMagBlog Instagram: @rag_doll_magazine and @officialelysiamfanclub",,,,https://lh3.googleusercontent.com/De2JBJwcJZ1Fr1HhPCpwMvUgJA7Ge5FKUSxk5KFa7GM7BU6QOicyQuxyoKeYDbTRyfZxeGU7VNE,,,,,,,,,
youtube#channel,ykVyesJBz9L5DFXqpyLMGqx8Rfw,UC-CTMdsowLfsEAdajmuYCdA,Patty Casterline,,2021-02-10T03:02:43.938385Z,https://yt3.ggpht.com/ytc/AKedOLTSSbKo4cqOzpH_v6tvtk6_GU1vsnAa6H_Dy9Wf=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLTSSbKo4cqOzpH_v6tvtk6_GU1vsnAa6H_Dy9Wf=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLTSSbKo4cqOzpH_v6tvtk6_GU1vsnAa6H_Dy9Wf=s800-c-k-c0x00ffffff-no-rj,800,800,Patty Casterline,,,UU-CTMdsowLfsEAdajmuYCdA,1,0,False,1,public,True,longUploadsUnspecified,Patty Casterline,,,,,,,,,,,,,,
youtube#channel,zLoGnqYapIFY2Slw-wOgNp-7IIg,UC-DizFsb00Oa1EQsQ_LpkOA,Christian de mori,,2016-02-15T17:57:41Z,https://yt3.ggpht.com/ytc/AKedOLRQ2lnnalB4OWlsaruxA_jstwF-iNvi8GhhNK6Z=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLRQ2lnnalB4OWlsaruxA_jstwF-iNvi8GhhNK6Z=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLRQ2lnnalB4OWlsaruxA_jstwF-iNvi8GhhNK6Z=s800-c-k-c0x00ffffff-no-rj,800,800,Christian de mori,,,UU-DizFsb00Oa1EQsQ_LpkOA,0,2,False,0,public,True,longUploadsUnspecified,Christian de mori,,,,,https://lh3.googleusercontent.com/bZ5u46quGIYtLt0hnBJY3UEERaYZkgY01MBZo4e7fNk9lGBSw8Fj4pgkyokweCxj93zjwCXIiQ,,,,,,,,,
youtube#channel,uiSqgEjDzNH6Wb9OzXfFkPrXTUA,UC-e0uP4OlKxgiqdFsF_RCTw,Filippo Bradamante,,2013-01-09T22:08:11Z,https://yt3.ggpht.com/ytc/AKedOLS_IglZIOWWzfKC7L7fypOgezokcVoO88rH1fk_=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLS_IglZIOWWzfKC7L7fypOgezokcVoO88rH1fk_=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLS_IglZIOWWzfKC7L7fypOgezokcVoO88rH1fk_=s800-c-k-c0x00ffffff-no-rj,800,800,Filippo Bradamante,,,UU-e0uP4OlKxgiqdFsF_RCTw,6693,268,False,17,public,True,longUploadsUnspecified,Filippo Bradamante,,"['/m/019_rr', '/m/01k8wb']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Knowledge']",,https://yt3.ggpht.com/INbbdggYIMe7_yUy_xEUduylNBW1E1qrvne8Urmu3rg_f1tdMbkMp1MFVY0XZKvE9cKwAyPaByY,,,,,,,,,
youtube#channel,SpkszBSMtKwqHCosisJPcCqz3-8,UC-EGkVc39sy4Eo1cfLqYE9g,Pamela Shannon,,2021-03-22T00:16:19.281549Z,https://yt3.ggpht.com/ytc/AKedOLQhl3S7W5utzUVSryKzFFbVuli5lDfjgXdscA=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLQhl3S7W5utzUVSryKzFFbVuli5lDfjgXdscA=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLQhl3S7W5utzUVSryKzFFbVuli5lDfjgXdscA=s800-c-k-c0x00ffffff-no-rj,800,800,Pamela Shannon,,,UU-EGkVc39sy4Eo1cfLqYE9g,0,0,False,0,public,True,longUploadsUnspecified,Pamela Shannon,,,,,,,,,,,,,,
youtube#channel,1tqEJ6kcHQYlZYe_SorxaJQmAEs,UC-Fs9IhU9xzyG9IlF8JQAQQ,calletano garzia,,2015-01-12T23:47:34Z,https://yt3.ggpht.com/ytc/AKedOLQJyfZ0aYKEEVXW2ooRp6ESKYcHohd3qAaiiQ=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLQJyfZ0aYKEEVXW2ooRp6ESKYcHohd3qAaiiQ=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLQJyfZ0aYKEEVXW2ooRp6ESKYcHohd3qAaiiQ=s800-c-k-c0x00ffffff-no-rj,800,800,calletano garzia,,,UU-Fs9IhU9xzyG9IlF8JQAQQ,0,6,False,0,public,True,longUploadsUnspecified,calletano garzia,,,,,,,,,,,,,,
youtube#channel,po16TUmfpKA_IFQBSSfCBiXJ4xY,UC-GclJ4HWSYQRRBfIbwaZMA,Annie B,,2021-05-21T17:35:54.320093Z,https://yt3.ggpht.com/ytc/AKedOLRvlvZKIkRXFbUzy8eM-SJjJ97gl2bUoYCgUhNIOOukc02hYoVfQh8WiQO5Rsu9=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLRvlvZKIkRXFbUzy8eM-SJjJ97gl2bUoYCgUhNIOOukc02hYoVfQh8WiQO5Rsu9=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLRvlvZKIkRXFbUzy8eM-SJjJ97gl2bUoYCgUhNIOOukc02hYoVfQh8WiQO5Rsu9=s800-c-k-c0x00ffffff-no-rj,800,800,Annie B,,,UU-GclJ4HWSYQRRBfIbwaZMA,0,0,False,0,public,True,longUploadsUnspecified,Annie B,,,,,,,,,,,,,,
youtube#channel,rmfTAuEixivYXh8j-kdmDKpaPPg,UC-gI4Slj39Le-Veuesoq4iA,Emmy's Creative Corner,"A place where creative ideas are shared. 

Emmy R. Bennett is a published author who lives in Northern California with her husband, two children and their dog. She also has two adult children living out of state.
When she isn't at her desk writing, she's spending time with her family, gardening, crafting, or reading.
Emmy grew up in a Lutheran household. Although she's strong in her faith, she believes everyone has the right of free will, in their beliefs.
She loves to study genealogy and her family line has been traced back to the Vikings. It's one of the many inspirations from which she's drawn to write.
Check out my second channel Emmy Plays, below, where I stream video games. 
",2018-05-17T03:57:12Z,https://yt3.ggpht.com/ytc/AKedOLSxFF3tVFRM0ywgUe1T3hHzULlmqYrCxoyzfPP1=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLSxFF3tVFRM0ywgUe1T3hHzULlmqYrCxoyzfPP1=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLSxFF3tVFRM0ywgUe1T3hHzULlmqYrCxoyzfPP1=s800-c-k-c0x00ffffff-no-rj,800,800,Emmy's Creative Corner,"A place where creative ideas are shared. 

Emmy R. Bennett is a published author who lives in Northern California with her husband, two children and their dog. She also has two adult children living out of state.
When she isn't at her desk writing, she's spending time with her family, gardening, crafting, or reading.
Emmy grew up in a Lutheran household. Although she's strong in her faith, she believes everyone has the right of free will, in their beliefs.
She loves to study genealogy and her family line has been traced back to the Vikings. It's one of the many inspirations from which she's drawn to write.
Check out my second channel Emmy Plays, below, where I stream video games. 
",,UU-gI4Slj39Le-Veuesoq4iA,3298,50,False,61,public,True,longUploadsUnspecified,Emmy's Creative Corner,"A place where creative ideas are shared. 

Emmy R. Bennett is a published author who lives in Northern California with her husband, two children and their dog. She also has two adult children living out of state.
When she isn't at her desk writing, she's spending time with her family, gardening, crafting, or reading.
Emmy grew up in a Lutheran household. Although she's strong in her faith, she believes everyone has the right of free will, in their beliefs.
She loves to study genealogy and her family line has been traced back to the Vikings. It's one of the many inspirations from which she's drawn to write.
Check out my second channel Emmy Plays, below, where I stream video games. 
","['/m/019_rr', '/m/03glg']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Hobby']",,https://yt3.ggpht.com/UUhdmXfXUMVt6uDuh6aiEujIP5rANw6MPT_OlXDZgHXtx3OQOY5ADkFG2x--CppAf9-38dfn,"author ""fantasy writer"" ghosts ""work in progress"" ""real life"" ""get creative"" paranormal ""series author"" books reading ""creative ideas"" gardening tomatoes art crafting",,,,,,,,
