kind,etag,id,snippet.videoId,snippet.topLevelComment.kind,snippet.topLevelComment.etag,snippet.topLevelComment.id,snippet.topLevelComment.snippet.videoId,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.authorDisplayName,snippet.topLevelComment.snippet.authorProfileImageUrl,snippet.topLevelComment.snippet.authorChannelUrl,snippet.topLevelComment.snippet.authorChannelId.value,snippet.topLevelComment.snippet.canRate,snippet.topLevelComment.snippet.viewerRating,snippet.topLevelComment.snippet.likeCount,snippet.topLevelComment.snippet.publishedAt,snippet.topLevelComment.snippet.updatedAt,snippet.canReply,snippet.totalReplyCount,snippet.isPublic,replies.comments,snippet.topLevelComment.snippet.moderationStatus
youtube#commentThread,NuAoP7lnlbPefCI-e5s9Cbk6JQw,UgzhwXLYSiaK8VxjrTV4AaABAg,-1tZm19p_cc,youtube#comment,61wOnciekoANxcRGJIH75M9APJ0,UgzhwXLYSiaK8VxjrTV4AaABAg,-1tZm19p_cc,You have to be stoned when you watch this movie. That&#39;s the only way to experience it,You have to be stoned when you watch this movie. That's the only way to experience it,James P,https://yt3.ggpht.com/ytc/AKedOLQ3dSr-lomALFh5HTEg6wA5IqqcYBji0wKanIm-7A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCmeDhyqwXAjIWb4HnLqLlJA,UCmeDhyqwXAjIWb4HnLqLlJA,True,none,4,2017-10-27 06:34:03+00:00,2017-10-27T06:34:03Z,True,0,True,,
youtube#commentThread,ORg85Od8QWWGkHTvaNlSwFpEfbw,UgycZ8exgjD9GjbLTRl4AaABAg,-1tZm19p_cc,youtube#comment,lGENTBfX3gRVj6WwBt2sZ5zaMMo,UgycZ8exgjD9GjbLTRl4AaABAg,-1tZm19p_cc,"HIV - this was the director metaphor for this scene - movie was showing beginning of 1990s when AIDS was a mystery ,So.... on the beginning of the movie the opening song was the metaphor &quot;new gold dream&quot; - not for everyone! Good movie","HIV - this was the director metaphor for this scene - movie was showing beginning of 1990s when AIDS was a mystery ,So.... on the beginning of the movie the opening song was the metaphor ""new gold dream"" - not for everyone! Good movie",ThePHILIPANSELMO,https://yt3.ggpht.com/ytc/AKedOLTamONQP8CcO9JZJhaQwo1wFRo9hfwS_7np3mZVyw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCKnrlHLRytsTgklR9v8D0Yg,UCKnrlHLRytsTgklR9v8D0Yg,True,none,5,2017-09-14 20:17:01+00:00,2017-09-14T20:17:01Z,True,0,True,,
youtube#commentThread,f5spLb4Tn6gvBYYxl0BJculfP00,Ugy2P7XJqVKLliQ7tht4AaABAg,-1tZm19p_cc,youtube#comment,Eb88-fYaUyJMqdKyeHDA2dp_mKg,Ugy2P7XJqVKLliQ7tht4AaABAg,-1tZm19p_cc,"HIV - this was the director metaphor for this scene - movie was showing beginning of 1990s when AIDS was a mystery ,So.... on the beginning of the movie the opening song was the metaphor &quot;new gold dream&quot; - not for everyone! Good movie","HIV - this was the director metaphor for this scene - movie was showing beginning of 1990s when AIDS was a mystery ,So.... on the beginning of the movie the opening song was the metaphor ""new gold dream"" - not for everyone! Good movie",ThePHILIPANSELMO,https://yt3.ggpht.com/ytc/AKedOLTamONQP8CcO9JZJhaQwo1wFRo9hfwS_7np3mZVyw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCKnrlHLRytsTgklR9v8D0Yg,UCKnrlHLRytsTgklR9v8D0Yg,True,none,1,2017-09-14 20:17:01+00:00,2017-09-14T20:17:01Z,True,1,True,"[{'kind': 'youtube#comment', 'etag': '1iv71p_oHcl06ah98RPlQkDQd4E', 'id': 'Ugy2P7XJqVKLliQ7tht4AaABAg.8XViJ97X_tT8d9FAlGbWJ_', 'snippet': {'videoId': '-1tZm19p_cc', 'textDisplay': 'ThePHILIPANSELMO   <br><br>It was the early 1980’s', 'textOriginal': 'ThePHILIPANSELMO   \n\nIt was the early 1980’s', 'parentId': 'Ugy2P7XJqVKLliQ7tht4AaABAg', 'authorDisplayName': 'Aspelta', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AKedOLT7yGL36Bw21EWHouJIpl_WuUCPEKaxF0UnBKyFDw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/channel/UCMU2Ux9-bfUofVm826j1ixA', 'authorChannelId': {'value': 'UCMU2Ux9-bfUofVm826j1ixA'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2018-02-27T02:30:12Z', 'updatedAt': '2018-02-27T02:30:12Z'}}]",
youtube#commentThread,h9pXIO1UWzJt15hzl2SmtvucfXg,UgyTKgmjWZIuS8uDUgV4AaABAg,-4jFHVY6pm0,youtube#comment,P7OvkpN8-50bQbN5E-6Trygko6E,UgyTKgmjWZIuS8uDUgV4AaABAg,-4jFHVY6pm0,ambitchhh fuck you amberrr,ambitchhh fuck you amberrr,Im Nreenz,https://yt3.ggpht.com/ytc/AKedOLQBrkhZ_S8ok6lYTHFN7M1MtDISS2wAH8MymOko=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC1hKg2aA-UE4ROQgFRhH7dQ,UC1hKg2aA-UE4ROQgFRhH7dQ,True,none,1,2017-09-08 15:08:05+00:00,2017-09-08T15:08:05Z,True,0,True,,
youtube#commentThread,tZNPcWYvXSBt7UDyX0JqZUIKA8c,Ugxc4jmzzl0v4y54gAt4AaABAg,-h2nFG7fDg8,youtube#comment,TEl-CDIrYkVC3EAfEDbd4z-gGlE,Ugxc4jmzzl0v4y54gAt4AaABAg,-h2nFG7fDg8,I have to disagree completely on Harley Quinn&#39;s costume. #1!! I agree MS. Robe looked good in it and it is practical and I saw a lot of women wearing it around Halloween but I would have ranked it 5 or 6.,I have to disagree completely on Harley Quinn's costume. #1!! I agree MS. Robe looked good in it and it is practical and I saw a lot of women wearing it around Halloween but I would have ranked it 5 or 6.,George Williams,https://yt3.ggpht.com/ytc/AKedOLRNU7RnPwlr1CDhnbnPW0z8rOaJsayHkbDsEw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCt4kcsOiJWsVNzgLKJhZNkA,UCt4kcsOiJWsVNzgLKJhZNkA,True,none,0,2017-12-29 06:34:46+00:00,2017-12-29T06:34:46Z,True,0,True,,
youtube#commentThread,vV-qTwrALfC5EnLQXuNyBBF8hIk,UgyX6W0p8Obu_fFhlqR4AaABAg,-h2nFG7fDg8,youtube#comment,n7G0FM54-9a8TO0F5wUq0Y-5tv8,UgyX6W0p8Obu_fFhlqR4AaABAg,-h2nFG7fDg8,"I have to disagree with you about Mera&#39;s costume. It is comically accurate, believable and I saw some women wearing it at Halloween. At least the MCU didn&#39;t have the Scarlet Witch wear her comic book costume. That is very unbelievable, though sexy! Enchantress I think should be far lower;maybe not 11th but maybe 10th?","I have to disagree with you about Mera's costume. It is comically accurate, believable and I saw some women wearing it at Halloween. At least the MCU didn't have the Scarlet Witch wear her comic book costume. That is very unbelievable, though sexy! Enchantress I think should be far lower;maybe not 11th but maybe 10th?",George Williams,https://yt3.ggpht.com/ytc/AKedOLRNU7RnPwlr1CDhnbnPW0z8rOaJsayHkbDsEw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCt4kcsOiJWsVNzgLKJhZNkA,UCt4kcsOiJWsVNzgLKJhZNkA,True,none,0,2017-12-29 06:26:52+00:00,2017-12-29T06:26:52Z,True,0,True,,
youtube#commentThread,W7M9jP0T8l89O3imhBVkZArr7SM,Ugwvgt1FRRS97Y73bZd4AaABAg,-h2nFG7fDg8,youtube#comment,gsOd1wRYNYrhvScOI2BebFpQwrk,Ugwvgt1FRRS97Y73bZd4AaABAg,-h2nFG7fDg8,Mera and Enchantress deserved to be higher on the list imo,Mera and Enchantress deserved to be higher on the list imo,Dangerous Guy AKA Sparksy Chill,https://yt3.ggpht.com/ytc/AKedOLQO8XMAO3u2e2yMaaxsTdQwot3UCrC4Ul6Oa4VAGQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC70owCRQOK2uMyBjwNkPwhQ,UC70owCRQOK2uMyBjwNkPwhQ,True,none,0,2017-12-28 07:38:58+00:00,2017-12-28T07:38:58Z,True,0,True,,
youtube#commentThread,mxbYeopGAU1MS04QdeiIsN5EM9o,UgzVQS_Cu1jlua9qD4F4AaABAg,-h2nFG7fDg8,youtube#comment,ENVzvXnU0-iH5HU_o-8hcQ5dvDE,UgzVQS_Cu1jlua9qD4F4AaABAg,-h2nFG7fDg8,"The hotness factor of a female character can either be a hit or miss. For me, it makes a better impact if the character is correctly represented as their comic book counterpart. But if changes are made, it all comes down to characterisation.","The hotness factor of a female character can either be a hit or miss. For me, it makes a better impact if the character is correctly represented as their comic book counterpart. But if changes are made, it all comes down to characterisation.",Isaiah Allen,https://yt3.ggpht.com/ytc/AKedOLR2fhHc0sIqq6Pu004hp2dm5OjWzQmJOr9RCnUE=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCqWgr8iYXV-lRc7sb10h4mw,UCqWgr8iYXV-lRc7sb10h4mw,True,none,0,2017-12-20 23:24:36+00:00,2017-12-20T23:24:36Z,True,0,True,,
youtube#commentThread,PSPOiy6tUsfTQmW-nz70mnXB0iY,UgygrMLRV3PhvVXVwex4AaABAg,-h2nFG7fDg8,youtube#comment,YvM7iGw2gGlWNznTaxCRNB1Eg6Y,UgygrMLRV3PhvVXVwex4AaABAg,-h2nFG7fDg8,What about faora,What about faora,El_Diablojoseee,https://yt3.ggpht.com/OEGyOu4Es1VanTdVVJzu4kv-T9555mwO5GHwZwJSNnLHR1eDmP4pM_TDEpOlsZnc6QXyPapllXM=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCuaEfEjjNpknT4g4Q8Pi56g,UCuaEfEjjNpknT4g4Q8Pi56g,True,none,0,2017-12-06 18:20:57+00:00,2017-12-06T18:20:57Z,True,0,True,,
youtube#commentThread,R603EZZSsfU4bsRPkm1l3CkulTE,UgyyB-WsjBIwXXqbpNJ4AaABAg,-h2nFG7fDg8,youtube#comment,X_AZSTOsyYrUbr48qaCZKtEyzsU,UgyyB-WsjBIwXXqbpNJ4AaABAg,-h2nFG7fDg8,I hated Harley&#39;s costume all the way,I hated Harley's costume all the way,TheChadBradBradley123,https://yt3.ggpht.com/ytc/AKedOLT2Iai9OaEUFkX8IWKG_43HblHb3b6zofnd6g_Gaw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC6OHiY8mUq1xTScppT3aocg,UC6OHiY8mUq1xTScppT3aocg,True,none,0,2017-11-25 21:29:02+00:00,2017-11-25T21:29:02Z,True,0,True,,
